individual,road_points,test_outcome,description,timestamp
"[[90.34578398037361, 113.12253912362394, 74.51126353897325, 175.27931921199712, 119.2123091347297, 74.00094667471377, 181], [5.0, 30.988896498587252, 56, 80.78607355469762, 113.20146358285808, 139.17515269937832, 168]]","[(90.34578398037361, 5.0), (91.00977264957865, 5.783216430060014), (91.6302475507339, 6.565704523372205), (92.21009745258303, 7.347478104723246), (92.75210143559859, 8.128552497047076), (93.25893106678912, 8.908944456610723), (93.73315255768163, 9.688672109061644), (94.17722890548127, 10.467754886336683), (94.59352201740677, 11.246213464432598), (94.98429481820239, 12.024069702038187), (95.35171334082666, 12.801346580027976), (95.69784880031695, 13.578068141817523), (96.02467965083063, 14.354259434580266), (96.33409362586269, 15.129946451325996), (96.62788976163928, 15.905156073840846), (96.90778040368862, 16.679916016488978), (97.17539319658694, 17.454254770875725), (97.43227305688197, 18.228201551372422), (97.679884129192, 19.00178624150275), (97.91961172548167, 19.775039341190674), (98.1527642475142, 20.54799191487004), (98.38057509247979, 21.320675540455618), (98.6042045418004, 22.093122259175882), (98.82474163311105, 22.865364526267253), (99.04320601541721, 23.637435162529947), (99.26054978742901, 24.409367306745512), (99.47765931907146, 25.18119436895579), (99.69535705617093, 25.952949984603574), (99.91440330831863, 26.724667969534842), (100.13549801990939, 27.496382275862434), (100.35928252435818, 28.268126948691595), (100.58634128149167, 29.039936083706795), (100.8172035981172, 29.811843785620336), (101.05234533176743, 30.583884127482477), (101.29219057762143, 31.356091110853068), (101.53711333860284, 32.12849862683497), (101.78743917865334, 32.90114041796882), (102.04344685918342, 33.674050040989535), (102.30536995869886, 34.4472608304444), (102.57339847560381, 35.220805863172544), (102.84768041418073, 35.994717923646384), (103.12832335374544, 36.76902947017418), (103.41539600098011, 37.54377260196456), (103.70892972544148, 38.318979027052514), (104.0089200782456, 39.09468003108672), (104.31532829392984, 39.870906446978985), (104.62808277548969, 40.64768862541466), (104.94708056259358, 41.42505640622515), (105.27218878297298, 42.20303909062172), (105.60324608698895, 42.98166541429088), (105.94006406537599, 43.760963521351584), (106.28242865016082, 44.54096093917378), (106.63010149875882, 45.32168455405855), (106.98282136124602, 46.103160587780074), (107.34030543080773, 46.88541457498885), (107.70225067736405, 47.66847134147686), (108.06833516437031, 48.45235498330379), (108.4382193487958, 49.237088846785575), (108.81154736427725, 50.0226955093438), (109.18794828744936, 50.809196761217066), (109.56703738745229, 51.59661358803408), (109.94841735861384, 52.38496615424775), (110.33167953631, 53.1742737874316), (110.71640509600033, 53.964554963437195), (111.10216623544044, 54.75582729241337), (111.48852734007112, 55.548107505687234), (111.87504613158228, 56.34141144350616), (112.26127479965582, 57.13575404364222), (112.64676111688246, 57.93114933085738), (113.03104953685599, 58.72761040723076), (113.41368227544451, 59.52514944334752), (113.79420037523637, 60.323777670348804), (114.17214475316413, 61.12350537284397), (114.54705723130411, 61.924341882683876), (114.91848155085202, 62.726295573595955), (115.28596436927607, 63.529373856681026), (115.64905624064481, 64.33358317677111), (116.00731257913311, 65.1389290096498), (116.36029460570307, 65.94541586013312), (116.70757027796219, 66.75304726101285), (117.04871520319763, 67.56182577286097), (117.38331353458634, 68.37175298469569), (117.71095885058274, 69.1828295155094), (118.03125501748156, 69.99505501665779), (118.34381703515758, 70.8084281751108), (118.64827186598215, 71.62294671756523), (118.94425924691484, 72.43860741541845), (119.23143248477312, 73.25540609060448), (119.50945923467688, 74.07333762229094), (119.77802226167037, 74.89239595443782), (120.03682018552007, 75.7125741042182), (120.28556820868862, 76.53386417129978), (120.52399882748601, 77.35625734798883), (120.75186252639632, 78.17974393023506), (120.96892845558102, 79.00431332949856), (121.1749850915592, 79.82995408547804), (121.36984088106284, 80.65665387970049), (121.55332486807039, 81.48439954997316), (121.72528730401478, 82.31317710569614), (121.88560024116904, 83.14297174403723), (122.03415810920806, 83.97376786696829), (122.17087827494598, 84.8055490991627), (122.2957015852512, 85.63829830675508), (122.40859289313677, 86.47199761696217), (122.50954156702745, 87.30662843856535), (122.5985619832033, 88.14217148325481), (122.67569400141939, 88.97860678783539), (122.74100342370205, 89.81591373729366), (122.79458243632148, 90.65407108872706), (122.83655003494053, 91.49305699613426), (122.86705243294016, 92.3328490360673), (122.88626345292093, 93.1734242341451), (122.8943849013813, 94.0147590924289), (122.89164692657174, 94.8568296176589), (122.87830835952576, 95.69961135035274), (122.85465703826681, 96.54307939476553), (122.82101011519197, 97.38720844971128), (122.7777143476318, 98.23197284024626), (122.72514637158656, 99.07734655021346), (122.6637129586388, 99.92330325564926), (122.59385125604238, 100.76981635905094), (122.51602900998792, 101.61685902450657), (122.43074477204429, 102.46440421368573), (122.33852808877695, 103.3124247226924), (122.23993967454228, 104.16089321977908), (122.13557156745841, 105.00978228392266), (122.02604726855256, 105.85906444426186), (121.9120218640843, 106.70871222039611), (121.79418213104593, 107.55869816354624), (121.67324662583833, 108.40899489857651), (121.54996575612401, 109.25957516687855), (121.42512183585589, 110.11041187011647), (121.29952912348287, 110.96147811483388), (121.17403384333159, 111.8127472579224), (121.04951419016447, 112.66419295295165), (120.92688031691439, 113.51578919736102), (120.80707430559549, 114.36751038051273), (120.69107012139041, 115.21933133260698), (120.579873549914, 116.07122737445798), (120.47452211765317, 116.92317436813218), (120.37608499558347, 117.77514876844783), (120.28566288596161, 118.62712767533603), (120.20438789229473, 119.47908888706363), (120.13342337248574, 120.33101095431739), (120.0739637751552, 121.18287323515008), (120.0272344591396, 122.03465595078777), (119.99449149616588, 122.88634024229907), (119.97702145670233, 123.73790822812575), (119.976141178986, 124.58934306247492), (119.99319752122629, 125.440628994573), (120.02956709698518, 126.29175142878098), (120.08665599373336, 127.14269698557152), (120.16589947458326, 127.99345356336744), (120.26876166319818, 128.84401040124206), (120.3967352118777, 129.69435814248078), (120.55134095281969, 130.5444888990044), (120.73412753255857, 131.3943963166542), (120.94667102957985, 132.24407564133827), (121.19057455511124, 133.09352378603978), (121.46746783708996, 133.94273939868643), (121.77900678730656, 134.79172293088183), (122.1268730517249, 135.64047670749832), (122.51277354397874, 136.48900499713136), (122.93843996204455, 137.33731408341563), (123.40562828809078, 138.18541233720245), (123.91611827150331, 139.0333102895991), (124.47171289508759, 139.88102070586945), (125.07423782444671, 140.72855866019637), (125.72554084053647, 141.5759416113057), (126.42749125539606, 142.42318947895166), (127.1819793110557, 143.2703247212639), (127.99091556162038, 144.11737241295637), (128.8562302385301, 144.96436032439735), (129.77987259899626, 145.81131900154142), (130.76381025761475, 146.65828184672287), (131.81002850115505, 147.50528520031062), (132.92052958652596, 148.35236842322496), (134.09733202191762, 149.19957398031556), (135.34246983111998, 150.04694752460134), (136.6579918010173, 150.8945379823718), (138.0459607122595, 151.7423976391499), (139.50845255310946, 152.59058222651657), (141.04755571646717, 153.43915100979683), (142.66537018006963, 154.28816687660753), (144.36400666986765, 155.13769642626642), (146.14558580657868, 155.98781006006317), (148.01223723541628, 156.8385820723917), (149.9660987389957, 157.69009074274427), (152.0093153334161, 158.5424184285671), (154.14403834751877, 159.39565165897727), (156.37242448532217, 160.2498812293419), (158.69663487163285, 161.10520229671815), (161.1188340808333, 161.96171447615535), (163.64118914884568, 162.8195219378584), (166.26586856827205, 163.67873350521296), (168.99504126671124, 164.53946275367207), (171.83087556825154, 165.40182811050437), (174.77553813814046, 166.26595295540406), (177.83119291063016, 167.13196572196225), (181.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-10_cxpb-0.8_mutpb-0.8\2-RUN_POP-10_cxpb-0.8_mutpb-0.8_04062022-091549/sim_test_8244_04062022-091549,04062022-093725
"[[111.08364500493408, 20.259428505228644, 131.29544839960798, 60.54966301438851, 97.11820783105233, 95.59384686943251, 76], [5.0, 23.692543622824036, 59.54254156649119, 83.45100853151696, 105.82977484239923, 142.14425232827088, 168]]","[(111.08364500493408, 5.0), (108.42071947358025, 5.570019679273955), (105.90496212977455, 6.152599274639051), (103.53075962213546, 6.747309193525871), (101.29264796475707, 7.353728754086591), (99.18531003216852, 7.97144610539555), (97.20357307408527, 8.600058147528516), (95.3424062499524, 9.239170451520806), (93.59691818328047, 9.888397179204105), (91.96235453577283, 10.547361002922122), (90.4340956012457, 11.215693025124986), (89.00765391934016, 11.893032697842449), (87.67867190902587, 12.57902774203584), (86.44291952189754, 13.273334066828795), (85.29629191526288, 13.975615688616765), (84.23480714502335, 14.68554465005534), (83.2546038783463, 15.402800938927271), (82.35193912612995, 16.127072406888356), (81.52318599525978, 16.85805468809204), (80.76483146065752, 17.595451117692768), (80.07347415712216, 18.33897265022824), (79.445822190963, 19.088337777880295), (78.87869097142483, 19.843272448614666), (78.36900106190525, 20.60350998419947), (77.91377605096397, 21.368790998102444), (77.51014044312463, 22.138863313267084), (77.15531756946827, 22.9134818797674), (76.84662751801908, 23.692408692341544), (76.58148508392242, 24.475412707804225), (76.35739773941462, 25.262269762337763), (76.17196362358543, 26.05276248866217), (76.02286955193189, 26.846680233083713), (75.90788904570498, 27.643818972422537), (75.824880381048, 28.443981230818814), (75.77178465792694, 29.246975996417806), (75.74662388885358, 30.052618637933755), (75.74749910739997, 30.860730821092368), (75.77258849650558, 31.671140424952252), (75.82014553657626, 32.48368145810506), (75.88849717337526, 33.2981939747543), (75.97604200570693, 34.11452399067324), (76.08124849289163, 34.93252339904113), (76.20265318203354, 35.75204988615867), (76.33885895508033, 36.57296684704193), (76.48853329567456, 37.39514330089505), (76.65040657579802, 38.21845380646211), (76.82327036220727, 39.0427783772571), (77.00597574266207, 39.868002396673376), (77.19743167194545, 40.69401653297141), (77.39660333767584, 41.520716654145446), (77.60251054591203, 42.34800374266906), (77.81422612654907, 43.175783810119306), (78.03087435850755, 44.00396781167977), (78.25162941471399, 44.832471560522336), (78.47571382687383, 45.66121564206774), (78.70239697003669, 46.490125328125), (78.93099356695305, 47.319130490909316), (79.16086221222403, 48.14816551693924), (79.39140391624237, 48.97716922081211), (79.62206066892595, 49.80608475885856), (79.85231402324382, 50.634859542675926), (80.08168369853314, 51.463445152539826), (80.3097262036098, 52.291797250695396), (80.53603347966988, 53.11987549452653), (80.76023156298388, 53.94764344960426), (80.98197926738301, 54.775068502614026), (81.2009668865371, 55.60212177416122), (81.41691491602552, 56.42877803145624), (81.62957279519938, 57.25501560087759), (81.83871766883617, 58.08081628041419), (82.0441531685869, 58.90616525198655), (82.24570821421428, 59.73105099364609), (82.44323583462445, 60.55546519165417), (82.63661200868967, 61.37940265243906), (82.8257345258635, 62.20286121443208), (83.01052186658856, 63.0258416597827), (83.19091210249537, 63.84834762595173), (83.36686181639458, 64.67038551718422), (83.53834504206007, 65.49196441586032), (83.7053522238052, 66.31309599372531), (83.86788919585058, 67.13379442299858), (84.02597618148383, 67.95407628736065), (84.17964681201224, 68.77396049282005), (84.32894716550669, 69.59346817845795), (84.4739348253381, 70.41262262705217), (84.61467795850612, 71.23144917557995), (84.75125441375921, 72.04997512559899), (84.88375083950821, 72.868229653508), (85.01226182153039, 73.68624372068538), (85.13688904046688, 74.5040499835071), (85.25774044911171, 75.32168270324327), (85.37492946949267, 76.13917765583302), (85.48857420974508, 76.95657204153919), (85.59879670077696, 77.7739043944806), (85.70572215272657, 78.59121449204393), (85.80947823121225, 79.4085432641742), (85.9101943533738, 80.22593270254347), (86.00800100370698, 81.04342576959944), (86.10302906968896, 81.86106630749161), (86.19540919719668, 82.67889894687704), (86.28527116571723, 83.49696901560463), (86.37274328334985, 84.31532244727796), (86.45795180160069, 85.13400568969729), (86.54102034996934, 85.95306561318014), (86.62206939032748, 86.7725494187606), (86.70121569108969, 87.59250454626749), (86.77857182117644, 88.41297858228133), (86.85424566376916, 89.23401916796996), (86.92833994985732, 90.0556739068031), (87.00095181157778, 90.87799027214557), (87.07217235534618, 91.70101551472928), (87.14208625478044, 92.52479657000401), (87.21077136341641, 93.34937996536723), (87.27829834721557, 94.17481172727213), (87.344730336865, 95.00113728821493), (87.41012259986924, 95.82840139360077), (87.47452223243447, 96.65664800848832), (87.53796787114462, 97.48592022421343), (87.6004894244298, 98.31626016489113), (87.66210782382682, 99.14770889379685), (87.72283479503142, 99.98030631962598), (87.78267264874336, 100.81409110263273), (87.8416140913029, 101.64910056064721), (87.89964205511987, 102.48537057497171), (87.95672954889463, 103.32293549615552), (88.01283952763121, 104.1618280496486), (88.06792478244263, 105.0020792413341), (88.12192785014813, 105.84371826293948), (88.17478094266285, 106.68677239732662), (88.22640589617927, 107.53126692366047), (88.27671414014097, 108.37722502245671), (88.32560668600856, 109.224667680508), (88.37297413581744, 110.07361359568927), (88.41869671052811, 110.9240790816412), (88.46264429816813, 111.77607797233337), (88.50467652176656, 112.62962152650533), (88.5446428270803, 113.4847183319869), (88.58238259011267, 114.34137420989735), (88.61772524442401, 115.19959211872285), (88.65049042823448, 116.05937205827317), (88.68048815131894, 116.92071097351709), (88.70751898169391, 117.78360265829625), (88.73137425209671, 118.64803765891827), (88.75183628625666, 119.51400317762818), (88.76867864495847, 120.38148297595899), (88.78166639189763, 121.2504572779608), (88.79055637932807, 122.12090267330876), (88.79509755350175, 122.99279202028994), (88.79503127990053, 123.8660943486687), (88.79009168826012, 124.7407747624311), (88.78000603738604, 125.61679434240791), (88.76449509976182, 126.49411004877649), (88.74327356594927, 127.37267462344138), (88.71605046878082, 128.25243649229387), (88.68252962734414, 129.13333966734984), (88.64241011075862, 130.01532364876715), (88.59538672174413, 130.89832332674095), (88.54115049998198, 131.78226888327853), (88.47938924526778, 132.66708569385244), (88.40978806045652, 133.55269422893252), (88.33202991419985, 134.43900995539684), (88.24579622347527, 135.32594323782126), (88.15076745590768, 136.21339923964783), (88.04662375188289, 137.10127782423191), (87.9330455664532, 137.9894734557683), (87.80971433103534, 138.87787510009562), (87.67631313490017, 139.76636612538013), (87.53252742645486, 140.65482420267784), (87.37804573431691, 141.54312120637564), (87.21256040818041, 142.43112311451097), (87.03576837947446, 143.3186899089706), (86.84737194181355, 144.20567547556794), (86.64707955124024, 145.09192750399907), (86.43460664625977, 145.97728738767796), (86.20967648766694, 146.8615901234499), (85.97202101816507, 147.74466421118402), (85.72138174177698, 148.62633155324468), (85.45751062304825, 149.5064073538414), (85.18017100604237, 150.38470001825772), (84.88913855312835, 151.26101105195875), (84.58420220356, 152.13513495957753), (84.26516515184773, 153.00685914378013), (83.9318458459222, 153.87596380400973), (83.5840790050903, 154.74222183510912), (83.22171665778299, 155.60539872582228), (82.84462919909552, 156.46525245717453), (82.45270646811956, 157.3215334007316), (82.04585884506754, 158.1739842167375), (81.62401836818916, 159.02233975213102), (81.18713987047985, 159.866326938441), (80.73520213618156, 160.7056646895606), (80.26820907707543, 161.5400637994), (79.7861909285668, 162.3692268394184), (79.28920546556216, 163.19284805603414), (78.77733923813837, 164.0106132679141), (78.25070882700383, 164.82219976314175), (77.70946211875192, 165.62727619626372), (77.15377960090645, 166.42550248521553), (76.58387567675928, 167.21652970812596), (76.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-10_cxpb-0.8_mutpb-0.8\2-RUN_POP-10_cxpb-0.8_mutpb-0.8_04062022-091549/sim_test_8346_04062022-091549,04062022-102842
"[[106.1746863467033, 35, 97, 113, 96, 144, 134], [5.0, 28, 56, 84, 112, 140, 168]]","[(106.1746863467033, 5.0), (104.07870669974866, 5.695348586589357), (102.08091174964588, 6.394409486632874), (100.17863901697389, 7.097108271086306), (98.3692696378002, 7.803371635744042), (96.6502281106555, 8.51312738984853), (95.0189820412026, 9.226304444757629), (93.47304188460049, 9.942832802669944), (92.00996068556327, 10.662643545408132), (90.62733381611386, 11.385668823260175), (89.32279871103319, 12.11184184387861), (88.09403460100356, 12.841096861237734), (86.9387622434475, 13.573369164648785), (85.85474365106124, 14.308595067833089), (84.8397818180431, 15.046711898053116), (83.89172044401705, 15.78765798530163), (83.00844365565102, 16.531372651548672), (82.18787572597007, 17.277796200046602), (81.42798079136469, 18.026869904693072), (80.72676256629354, 18.77853599945192), (80.08226405568196, 19.53273766783217), (79.4925672650146, 20.289419032424842), (78.95579290812331, 21.048525144497845), (78.47010011267002, 21.81000197364873), (78.03368612332419, 22.57379639751554), (77.64478600263578, 23.339856191545493), (77.30167232960254, 24.10813001882178), (77.00265489593254, 24.878567419948148), (76.74608040000162, 25.651118802991668), (76.53033213850553, 26.425735433483204), (76.35382969580732, 27.202369424476156), (76.21502863097945, 27.980973726662906), (76.11242016254083, 28.76150211854939), (76.04453085088889, 29.543909196687586), (76.00992227842625, 30.32815036596588), (76.0071907273829, 31.114181829957655), (76.03496685533277, 31.90196058132752), (76.09191536840531, 32.69144439229578), (76.17673469219241, 33.482591805160716), (76.28815664034946, 34.275362122878825), (76.42494608089237, 35.06971539970322), (76.58590060018825, 35.8656124318797), (76.76985016464239, 36.66301474840105), (76.97565678007899, 37.461884601819186), (77.20221414881733, 38.26218495911522), (77.44844732444326, 39.06387949262768), (77.71331236427444, 39.866932571038404), (77.9957959795219, 40.67130925041677), (78.29491518314558, 41.47697526532155), (78.60971693540485, 42.28389701996089), (78.9392777871047, 43.09204157941034), (79.2827035205358, 43.901376660888666), (79.6391287881103, 44.71187062509173), (80.00771674869216, 45.52349246758435), (80.38765870162236, 46.33621181025009), (80.77817371843967, 47.14999889279914), (81.178508272295, 47.96482456433373), (81.58793586506239, 48.780660274972306), (82.00575665214342, 49.59747806753081), (82.43129706496731, 50.415250569262454), (82.86390943118619, 51.23395098365552), (83.30297159256409, 52.05355308228851), (83.74788652056256, 52.87403119674414), (84.19808192961965, 53.69536021058056), (84.65300988812463, 54.5175155513609), (85.11214642708788, 55.34047318274089), (85.57499114650444, 56.164209596613865), (86.04106681941437, 56.988701805314655), (86.5099189936561, 57.81392733388056), (86.98111559131607, 58.639864212370725), (87.45424650587286, 59.4664909682437), (87.9289231970358, 60.29378661879221), (88.40477828327933, 61.12173066363684), (88.88146513207171, 61.95030307727692), (89.35865744779856, 62.77948430169977), (89.83604885738208, 63.60925523904795), (90.313352493594, 64.43959724434401), (90.79030057606468, 65.27049211827398), (91.26664398998636, 66.10192210002802), (91.74215186251148, 66.9338698601996), (92.21661113684611, 67.76631849374253), (92.68982614403792, 68.59925151298555), (93.16161817245982, 69.43265284070563), (93.63182503498751, 70.26650680325858), (94.10030063387268, 71.10079812376792), (94.56691452331118, 71.93551191537182), (95.03155146970522, 72.77063367452752), (95.49411100962183, 73.60614927437447), (95.95450700544504, 74.44204495815478), (96.41266719872365, 75.27830733269184), (96.868532761214, 76.11492336192728), (97.32205784361669, 76.95188036051505), (97.77320912200987, 77.7891659874745), (98.22196534197582, 78.62676823990061), (98.66831686042343, 79.46467544673251), (99.11226518510546, 80.30287626258021), (99.55382251183008, 81.14135966160852), (99.99301125936861, 81.98011493148007), (100.42986360205668, 82.81913166735524), (100.86442100009144, 83.6583997659506), (101.29673372752333, 84.4979094196554), (101.72686039794243, 85.33765111070556), (102.15486748786027, 86.17761560541611), (102.58082885778637, 87.01779394847136), (103.00482527099943, 87.85817745727299), (103.42694391001396, 88.6987577163463), (103.84727789074131, 89.53952657180423), (104.26592577434592, 90.38047612586959), (104.68299107679651, 91.22159873145488), (105.09858177611203, 92.06288698680048), (105.51280981730258, 92.90433373017059), (105.92579061500537, 93.74593203460708), (106.33764255381548, 94.58767520274165), (106.74848648631155, 95.42955676166534), (107.15844522877644, 96.27157045785673), (107.56764305461274, 97.11371025216756), (107.97620518545332, 97.95597031486658), (108.38425727996673, 98.79834502074132), (108.7919249203574, 99.64082894425776), (109.19933309656109, 100.48341685477804), (109.60660568813483, 101.32610371183605), (110.0138649438422, 102.16888466047125), (110.42123095893315, 103.01175502662005), (110.82882115011921, 103.85471031256542), (111.23674972824296, 104.69774619244443), (111.64512716864311, 105.54085850781382), (112.05405967921416, 106.38404326327334), (112.46364866616086, 107.22729662214721), (112.8739901974478, 108.07061490222358), (113.28517446394396, 108.91399457155177), (113.69728523826205, 109.7574322442977), (114.11039933129283, 110.60092467665714), (114.52458604643414, 111.44446876282706), (114.93990663151543, 112.28806153103469), (115.35641372841637, 113.13170013962484), (115.77415082038128, 113.97538187320507), (116.19315167702767, 114.81910413884877), (116.61343979705038, 115.66286446235637), (117.03502784862, 116.50666048457418), (117.4579171074769, 117.35048995777166), (117.88209689271956, 118.19435074207634), (118.3075440002882, 119.03824080196674), (118.73422213414325, 119.8821582028234), (119.16208133513854, 120.72610110753773), (119.59105740758986, 121.57006777317883), (120.02107134353787, 122.41405654771849), (120.45202874470641, 123.25806586681378), (120.88381924215554, 124.10209425064805), (121.3163159136294, 124.9461403008295), (121.74937469859921, 125.790202697348), (122.18283381100103, 126.63428019558971), (122.61651314966846, 127.47837162340969), (123.05021370646035, 128.32247587826262), (123.48371697208341, 129.16659192439133), (123.91678433960959, 130.01071879007327), (124.34915650568863, 130.85485556492517), (124.78055286945522, 131.69900139726536), (125.21067092913148, 132.54315549153435), (125.63918567632405, 133.3873171057732), (126.06574898801608, 134.23148554915994), (126.48998901625451, 135.0756601796038), (126.9115095755317, 135.91984040139766), (127.32988952786259, 136.7640256629283), (127.74468216555634, 137.60821545444466), (128.15541459168304, 138.45240930588403), (128.56158709823546, 139.2966067847562), (128.9626725419854, 140.14080749408575), (129.35811571803535, 140.98501107041204), (129.7473327310649, 141.82921718184744), (130.12971036427183, 142.6734255261932), (130.50460544600867, 143.51763582911366), (130.87134421411355, 144.3618478423681), (131.2292216779366, 145.20606134210078), (131.57750097806067, 146.05027612718897), (131.9154127437174, 146.8944920176486), (132.24215444789812, 147.7387088530982), (132.55688976015944, 148.58292649128094), (132.85874789712418, 149.42714480664415), (133.14682297067674, 150.27136368897732), (133.42017333385388, 151.11558304210763), (133.6778209244299, 151.95980278265375), (133.9187506061973, 152.8040228388375), (134.14190950794188, 153.6482431493535), (134.34620636011306, 154.4924636622968), (134.53051082918893, 155.3366843341483), (134.6936528497365, 156.18090512881844), (134.83442195416646, 157.02512601674863), (134.95156660018324, 157.86934697407085), (135.04379349592978, 158.71356798182492), (135.10976692282725, 159.55778902523394), (135.1481080561099, 160.40201009303775), (135.15739428305432, 161.2462311768842), (135.13615851890432, 162.09045227077848), (135.08288852049012, 162.93467337059047), (134.99602619754282, 163.77889447361977), (134.87396692170364, 164.62311557821923), (134.7150588332281, 165.4673366834758), (134.51760214538524, 166.31155778894987), (134.27984844655157, 167.15577889447243), (134.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-10_cxpb-0.8_mutpb-0.8\2-RUN_POP-10_cxpb-0.8_mutpb-0.8_04062022-091549/sim_test_8352_04062022-091549,04062022-103127
