individual,road_points,test_outcome,description,timestamp
"[[118.27495526066714, 49.62023369768994, 135.55242963975925, 41, 149, 185.1397714730116, 62], [5.0, 31.648803991430633, 58.166680042865266, 84, 112, 136.76650733909742, 168]]","[(118.27495526066714, 5.0), (116.26267429913817, 5.803430562018235), (114.36249482640011, 6.606753957713995), (112.56955794041369, 7.409962895946344), (110.87916329451727, 8.21305081427906), (109.28676598821549, 9.016011853103107), (107.78797348370469, 9.81884083016493), (106.37854254813631, 10.62153321550063), (105.05437622161791, 11.424085106776008), (103.8115208109514, 12.226493205032497), (102.64616290910918, 13.028754790838919), (101.55462644044785, 13.830867700849169), (100.53336973165888, 14.632830304765712), (99.57898260845778, 15.434641482708992), (98.68818351800981, 16.236300602992653), (97.85781667709422, 17.037807500304712), (97.08484924600529, 17.839162454294534), (96.36636852819127, 18.64036616856569), (95.6995791956309, 19.441419750074715), (95.0818005399472, 20.242324688935643), (94.51046374925922, 21.04308283863058), (93.98310921077109, 21.84369639662593), (93.49738383909862, 22.644167885394733), (93.05103843033356, 23.444500133844603), (92.64192504184518, 24.24469625915175), (92.26799439781993, 25.044759649000778), (91.92729332053803, 25.844693944230404), (91.617962187388, 26.644503021884912), (91.33823241361871, 27.444190978671696), (91.08642396082864, 28.243762114824406), (90.86094287119332, 29.04322091837225), (90.66027882742975, 29.842572049814905), (90.48300273849867, 30.641820327203487), (90.32776435104442, 31.440970711627276), (90.19328988657189, 32.2400282931063), (90.07837970436186, 33.03899827688996), (89.98190599012302, 33.837885970161274), (89.90281047038226, 34.63669676914718), (89.84010215261193, 35.43543614663462), (89.79285509109492, 36.2341096398925), (89.76020617852777, 37.03272283899959), (89.74135296336009, 37.83128137557813), (89.7355514928729, 38.629790911933526), (89.74211418199383, 39.42825713059975), (89.76040770784955, 40.226685724290576), (89.789850930057, 41.02508238625697), (89.82991283675034, 41.82345280104985), (89.88011051634736, 42.621802635689285), (89.94000715505207, 43.4201375312392), (90.00921006009528, 44.21846309478787), (90.08736870871323, 45.01678489183474), (90.17417282286277, 45.81510843908258), (90.26935046967503, 46.61343919763586), (90.37266618764615, 47.411782566604856), (90.48391913856551, 48.21014387711566), (90.60294128518218, 49.008528386726134), (90.7295955946077, 49.806941274247365), (90.86377426745781, 50.60538763497172), (91.00539699273075, 51.40387247630592), (91.1544092284233, 52.20240071381054), (91.31078050788499, 53.0009771676454), (91.47450277190869, 53.79960655942022), (91.64558872656016, 54.598293509452034), (91.82407022674396, 55.39704253442772), (92.0099966855074, 56.19585804547273), (92.20343350908259, 56.994744346625865), (92.40446055766454, 57.793705633719256), (92.61317063192874, 58.59274599366517), (92.82966798528474, 59.39186940414781), (93.05406686186791, 60.191079733721466), (93.28649006026913, 60.99038074231454), (93.52706752300085, 61.78977608213898), (93.77593495170237, 62.58926929900632), (94.03323244808107, 63.388863834048934), (94.29910318059216, 64.18856302584742), (94.57369207685602, 64.988370112964), (94.85714454181203, 65.78828823688144), (95.1496052016116, 66.58832044534817), (95.45121667324732, 67.38846969612906), (95.76211835992032, 68.18873886116216), (96.08244527214538, 68.98913073112138), (96.41232687459268, 69.78964802038463), (96.75188595866851, 70.59029337240861), (97.10123754083214, 71.39106936550863), (97.46048778665106, 72.19197851904481), (97.82973296059377, 72.99302330001409), (98.20905840155946, 73.79420613004774), (98.5985375241462, 74.59552939281546), (98.99823084565588, 75.39699544183453), (99.40818503883712, 76.1986066086854), (99.82843201036576, 77.000365211633), (100.25898800506239, 77.8022735646536), (100.6998527358483, 78.6043339868683), (101.15100853943821, 79.40654881238146), (101.61241955777083, 80.20892040052564), (102.08403094517739, 81.01145114651234), (102.56576810128657, 81.81414349248809), (103.0575359296686, 82.61699993899728), (103.55921812221554, 83.42002305685008), (104.07067646925962, 84.22321549939656), (104.59175019542955, 85.02658001520683), (105.12225532124349, 85.8301194611566), (105.66198405044037, 86.63383681591904), (106.21070418304845, 87.43773519386237), (106.7681585541913, 88.24181785935319), (107.3340644986316, 89.04608824146584), (107.90811334105236, 89.8505499490976), (108.48996991207568, 90.6552067864896), (109.07927209001905, 91.46006276915394), (109.67563036838942, 92.26512214020622), (110.27862744911442, 93.07038938710441), (110.88781786151156, 93.87586925879316), (111.50272760699474, 94.6815667832544), (112.12285382951823, 95.4874872854634), (112.74766451175863, 96.29363640575096), (113.37659819703379, 97.10002011857148), (114.00906373695977, 97.90664475167661), (114.64444006484516, 98.71351700569524), (115.28207599482292, 99.52064397411884), (115.92129004671985, 100.32803316369315), (116.5613702966636, 101.13569251521531), (117.20157425342718, 101.94363042473717), (117.84112876051115, 102.75185576517438), (118.47922992396322, 103.5603779083213), (119.11504306593541, 104.36920674727169), (119.747702703979, 105.17835271924555), (120.3763125560767, 105.98782682882162), (120.99994557141257, 106.79764067157576), (121.61764398687951, 107.6078064581252), (122.22841940932412, 108.41833703857874), (122.83125292352948, 109.2292459273928), (123.42509522593492, 110.04054732863315), (124.00886678409402, 110.85225616164294), (124.58145802186955, 111.66438808711604), (125.1417295303664, 112.47695953357665), (125.68851230460182, 113.28998772426473), (126.2206080059132, 114.10349070442703), (126.73678925010387, 114.91748736901452), (127.2357999213255, 115.73199749078495), (127.71635551169918, 116.54704174881198), (128.17714348667317, 117.36264175739977), (128.61682367611866, 118.17882009540357), (129.0340286911631, 118.99560033595623), (129.42736436676066, 119.81300707660029), (129.79541023000073, 120.63106596982647), (130.13671999415385, 121.44980375401744), (130.44982207845493, 122.2692482847979), (130.73322015362436, 123.0894285667903), (130.9853937131265, 123.91037478577651), (131.2047986701658, 124.73211834126532), (131.38986798042032, 125.5546918794659), (131.53901229051303, 126.37812932666694), (131.6506206122206, 127.2024659230218), (131.7230610224195, 128.0277382567397), (131.75468138877008, 128.8539842986823), (131.7438101211378, 129.68124343736656), (131.6887569487523, 130.50955651437337), (131.58781372310395, 131.33896586016203), (131.43925524657777, 132.16951533029055), (131.24134012682518, 133.00125034204174), (130.99231165687314, 133.83421791145557), (130.69039872097093, 134.66846669076676), (130.3338167261744, 135.50404700624892), (129.9207685596678, 136.3410108964641), (129.4494455718232, 137.1794121509182), (128.91802858499744, 138.01930634912264), (128.32468892806668, 138.86075090006145), (127.66758949669844, 139.7038050820645), (126.94488583936112, 140.54853008308663), (126.15472726907133, 141.39498904139234), (125.29525800087858, 142.24324708664662), (124.36461831508741, 143.0933713814117), (123.36094574621751, 143.94543116304942), (122.28237629770081, 144.79949778602963), (121.12704568231655, 145.65564476464448), (119.89309058836389, 146.51394781612834), (118.57864997157182, 147.37448490418404), (117.18186637274685, 148.23733628291455), (115.70088726115802, 149.10258454116075), (114.1338664036599, 149.97031464724495), (112.47896525955255, 150.8406139941203), (110.73435440117962, 151.71357244492623), (108.89821496026356, 152.58928237894963), (106.96874009997856, 153.46783873799183), (104.9441365127611, 154.3493390731415), (102.82262594385809, 155.23388359195354), (100.60244674061218, 156.12157520603358), (98.28185542748531, 157.01251957902875), (95.859128306819, 157.90682517502387), (93.33256308533291, 158.80460330734383), (90.7004805263606, 159.70596818776158), (87.9612261278228, 160.61103697611233), (85.11317182593854, 161.51992983031323), (82.15471772467328, 162.43276995678934), (79.08429385092533, 163.34968366130497), (75.90036193544924, 164.27080040020132), (72.601417219517, 165.19625283203985), (69.18599028731668, 166.12617686965132), (65.65264892408885, 167.06071173259113), (62.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.7_mutpb-0.95\9-RUN_POP-25_cxpb-0.7_mutpb-0.95_30052022-153918/sim_test_20857_30052022-153918,30052022-162514
"[[83.04541597785422, 148, 181, 145, 149, 53, 170], [5.0, 28, 56, 84, 112, 140, 168]]","[(83.04541597785422, 5.0), (84.9916493159893, 5.695348586589357), (86.91313047662669, 6.394409486632874), (88.80934451811304, 7.097108271086306), (90.67980822925108, 7.803371635744042), (92.52406924968588, 8.51312738984853), (94.34170520300874, 9.226304444757629), (96.1323228425802, 9.942832802669944), (97.89555721007152, 10.662643545408132), (99.63107080672461, 11.385668823260175), (101.33855277733068, 12.11184184387861), (103.0177181069276, 12.841096861237734), (104.66830683021551, 13.573369164648785), (106.29008325369122, 14.308595067833089), (107.88283519050094, 15.046711898053116), (109.44637320801229, 15.78765798530163), (110.98052988810394, 16.531372651548672), (112.48515910017456, 17.277796200046602), (113.96013528686996, 18.026869904693072), (115.40535276252882, 18.77853599945192), (116.82072502434738, 19.53273766783217), (118.20618407626226, 20.289419032424842), (119.56167976555216, 21.048525144497845), (120.88717913215793, 21.81000197364873), (122.18266577072116, 22.57379639751554), (123.44813920534187, 23.339856191545493), (124.68361427705425, 24.10813001882178), (125.88912054402093, 24.878567419948148), (127.0647016944465, 25.651118802991668), (128.21041497220858, 26.425735433483204), (129.3263306152086, 27.202369424476156), (130.4125313064403, 27.980973726662906), (131.4691116377771, 28.76150211854939), (132.49617758647847, 29.543909196687586), (133.49384600441363, 30.32815036596588), (134.46224412000575, 31.114181829957655), (135.4015090528927, 31.90196058132752), (136.31178734130802, 32.69144439229578), (137.1932344821796, 33.482591805160716), (138.0460144839467, 34.275362122878825), (138.87029943209686, 35.06971539970322), (139.66626906741948, 35.8656124318797), (140.43411037698, 36.66301474840105), (141.174017197811, 37.461884601819186), (141.8861898333225, 38.26218495911522), (142.5708346824319, 39.06387949262768), (143.22816388140996, 39.866932571038404), (143.85839495844814, 40.67130925041677), (144.46175050094288, 41.47697526532155), (145.0384578354984, 42.28389701996089), (145.5887487206495, 43.09204157941034), (146.11285905230093, 43.901376660888666), (146.61102858188727, 44.71187062509173), (147.0835006472499, 45.52349246758435), (147.5305219162333, 46.33621181025009), (147.9523421430004, 47.14999889279914), (148.34921393706466, 47.96482456433373), (148.72139254504324, 48.780660274972306), (149.06913564512675, 49.59747806753081), (149.3927031542683, 50.415250569262454), (149.69235704809194, 51.23395098365552), (149.96836119351747, 52.05355308228851), (150.2209811941067, 52.87403119674414), (150.45048424812597, 53.69536021058056), (150.65713901932818, 54.5175155513609), (150.84121552045409, 55.34047318274089), (151.00298500944993, 56.164209596613865), (151.1427198984069, 56.988701805314655), (151.26069367521617, 57.81392733388056), (151.3571808379441, 58.639864212370725), (151.4324568419262, 59.4664909682437), (151.4867980595782, 60.29378661879221), (151.52048175292745, 61.12173066363684), (151.53378605886198, 61.95030307727692), (151.52698998709764, 62.77948430169977), (151.50037343086572, 63.60925523904795), (151.45421719031626, 64.43959724434401), (151.388803008643, 65.27049211827398), (151.30441362092475, 66.10192210002802), (151.20133281568602, 66.9338698601996), (151.07984550917686, 67.76631849374253), (150.9402378323697, 68.59925151298555), (150.78279723067692, 69.43265284070563), (150.60781257638496, 70.26650680325858), (150.4155742938083, 71.10079812376792), (150.20637449716176, 71.93551191537182), (149.98050714115047, 72.77063367452752), (149.7382681842804, 73.60614927437447), (149.47995576488512, 74.44204495815478), (149.20587038987293, 75.27830733269184), (148.91631513619194, 76.11492336192728), (148.61159586501296, 76.95188036051505), (148.2920214486329, 77.7891659874745), (147.9579040100946, 78.62676823990061), (147.60955917552664, 79.46467544673251), (147.2473063392014, 80.30287626258021), (146.87146894131098, 81.14135966160852), (146.48237475846335, 81.98011493148007), (146.08035620689512, 82.81913166735524), (145.66575065840414, 83.6583997659506), (145.23890076900076, 84.4979094196554), (144.80015482027656, 85.33765111070556), (144.34986707349296, 86.17761560541611), (143.88839813638756, 87.01779394847136), (143.41611534269938, 87.85817745727299), (142.9333931444126, 88.6987577163463), (142.44061351671903, 89.53952657180423), (141.93816637569887, 90.38047612586959), (141.42645000872034, 91.22159873145488), (140.9058715175577, 92.06288698680048), (140.37684727422797, 92.90433373017059), (139.8398033895462, 93.74593203460708), (139.2951761943993, 94.58767520274165), (138.74341273373824, 95.42955676166534), (138.18497127328948, 96.27157045785673), (137.62032181898408, 97.11371025216756), (137.04994664910618, 97.95597031486658), (136.47434085915958, 98.79834502074132), (135.89401291945322, 99.64082894425776), (135.3094852454047, 100.48341685477804), (134.72129478056323, 101.32610371183605), (134.12999359235042, 102.16888466047125), (133.53614948051987, 103.01175502662005), (132.94034659833568, 103.85471031256542), (132.34318608646885, 104.69774619244443), (131.74528671961298, 105.54085850781382), (131.14728556581815, 106.38404326327334), (130.54983865854328, 107.22729662214721), (129.9536216814276, 108.07061490222358), (129.35933066577996, 108.91399457155177), (128.76768270078742, 109.7574322442977), (128.179416656442, 110.60092467665714), (127.59529391918603, 111.44446876282706), (127.01609914027638, 112.28806153103469), (126.4426409968669, 113.13170013962484), (125.8757529658096, 113.97538187320507), (125.31629411017457, 114.81910413884877), (124.76514987848822, 115.66286446235637), (124.22323291669011, 116.50666048457418), (123.69148389280869, 117.35048995777166), (123.17087233435524, 118.19435074207634), (122.66239747843645, 119.03824080196674), (122.16708913458595, 119.8821582028234), (121.68600856031387, 120.72610110753773), (121.22024934937534, 121.57006777317883), (120.77093833275757, 122.41405654771849), (120.33923649238525, 123.25806586681378), (119.92633988754488, 124.10209425064805), (119.53348059402737, 124.9461403008295), (119.16192765598942, 125.790202697348), (118.81298805053343, 126.63428019558971), (118.48800766500585, 127.47837162340969), (118.18837228701446, 128.32247587826262), (117.91550860716373, 129.16659192439133), (117.67088523450929, 130.01071879007327), (117.45601372473052, 130.85485556492517), (117.27244962102213, 131.69900139726536), (117.12179350770393, 132.54315549153435), (117.00569207654945, 133.3873171057732), (116.9258392058331, 134.23148554915994), (116.8839770520958, 135.0756601796038), (116.8818971546293, 135.91984040139766), (116.921441552679, 136.7640256629283), (117.00450391536546, 137.60821545444466), (117.13303068432435, 138.45240930588403), (117.30902222906508, 139.2966067847562), (117.53453401504802, 140.14080749408575), (117.81167778448017, 140.98501107041204), (118.14262274982961, 141.82921718184744), (118.52959680005837, 142.6734255261932), (118.97488771957393, 143.51763582911366), (119.48084441989931, 144.3618478423681), (120.04987818406178, 145.20606134210078), (120.68446392370005, 146.05027612718897), (121.38714144889009, 146.8944920176486), (122.1605167506896, 147.7387088530982), (123.00726329640096, 148.58292649128094), (123.93012333755276, 149.42714480664415), (124.9319092306001, 150.27136368897732), (126.01550477034306, 151.11558304210763), (127.1838665360643, 151.95980278265375), (128.44002525038474, 152.8040228388375), (129.7870871508381, 153.6482431493535), (131.228235374164, 154.4924636622968), (132.76673135331956, 155.3366843341483), (134.4059162272095, 156.18090512881844), (136.14921226313518, 157.02512601674863), (138.00012429196173, 157.86934697407085), (139.96224115600415, 158.71356798182492), (142.03923716963183, 159.55778902523394), (144.23487359259158, 160.40201009303775), (146.5530001160494, 161.2462311768842), (148.9975563613507, 162.09045227077848), (151.57257339149942, 162.93467337059047), (154.2821752353549, 163.77889447361977), (157.13058042454855, 164.62311557821923), (160.122103543118, 165.4673366834758), (163.26115678986045, 166.31155778894987), (166.55225155340435, 167.15577889447243), (170.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.7_mutpb-0.95\9-RUN_POP-25_cxpb-0.7_mutpb-0.95_30052022-153918/sim_test_20931_30052022-153918,30052022-163726
"[[90.6949104290102, 135.30993918027278, 194, 178, 106, 85.89472503228859, 191], [5.0, 28.387653431772037, 56, 84, 112, 143.45984975428394, 168]]","[(90.6949104290102, 5.0), (92.04519424464341, 5.706745897055525), (93.40480342265109, 6.416634272872274), (94.77242326014054, 7.129607888550995), (96.14676363441953, 7.845610298405267), (97.52655895783211, 8.56458585035586), (98.91056813137045, 9.286479686115364), (100.29757449706331, 10.011237741163194), (101.68638578914118, 10.738806744510907), (103.07583408397745, 11.469134218257846), (104.46477574880686, 12.202168476937128), (105.85209138921974, 12.937858626651986), (107.23668579543302, 13.676154564002362), (108.61748788733797, 14.417006974801946), (109.99345065832382, 15.160367332585425), (111.36355111787869, 15.906187896906179), (112.7267902329664, 16.654421711424224), (114.08219286818017, 17.405022601784527), (115.42880772467245, 18.15794517328565), (116.76570727786144, 18.913144808338675), (118.09198771391442, 19.670577663716575), (119.40676886500715, 20.43020066759378), (120.70919414335977, 21.1919715163762), (121.99843047404967, 21.95584867132145), (123.27366822660007, 22.72179135494954), (124.53412114534616, 23.489759547243782), (125.77902627857678, 24.259713981642136), (127.0076439064531, 25.031616140818752), (128.21925746770378, 25.805428252256036), (129.41317348509622, 26.58111328360678), (130.58872148968524, 27.358634937846933), (131.7452539438369, 28.137957648218443), (132.8821461630304, 28.919046572962593), (133.9987962364351, 29.701867589843605), (135.09462494626467, 30.486387290462492), (136.16907568590804, 31.272572974361506), (137.22161437683604, 32.060392642918565), (138.2517293842855, 32.84981499303231), (139.25893143171902, 33.640809410597356), (140.24275351406138, 34.43334596376977), (141.20275080971362, 35.227395396023226), (142.13850059134126, 36.02292911899503), (143.04960213544166, 36.819919205122915), (143.93567663068612, 37.61833838007184), (144.7963670850386, 38.418160014951255), (145.6313382316526, 39.21935811832282), (146.4402764335417, 40.02190732799809), (147.2228895870296, 40.82578290262703), (147.97890702397456, 41.63096071307644), (148.7080794127709, 42.437417233598836), (149.41017865812788, 43.24512953279188), (150.08499779962366, 44.054075264347766), (150.73235090903682, 44.86423265759324), (151.35207298645386, 45.67558050781981), (151.94401985515347, 46.488098166404285), (152.50806805526744, 47.30176553071985), (153.04411473621724, 48.11656303383694), (153.55207754792823, 48.93247163401528), (154.03189453081987, 49.74947280398541), (154.4835240045716, 50.56754852002102), (154.90694445566757, 51.38668125080173), (155.30215442371457, 52.206853946065515), (155.66917238653969, 53.028050025052494), (156.00803664406203, 53.850253364738016), (156.31880520094236, 54.67344828785682), (156.60155564800937, 55.49761955071724), (156.85638504246023, 56.32275233080552), (157.08340978684137, 57.14883221418106), (157.28276550680224, 57.97584518266135), (157.45460692762737, 58.80377760079758), (157.5991077495454, 59.632616202640726), (157.71646052181242, 60.46234807829734), (157.80687651557446, 61.29296066027653), (157.87058559550462, 62.12444170962659), (157.90783609021716, 62.95677930186218), (157.91889466145918, 63.78996181268214), (157.9040461720764, 64.62397790347688), (157.86359355275843, 65.45881650662713), (157.79785766755796, 66.29446681059203), (157.707177178188, 67.13091824478823), (157.59190840709545, 67.96816046425907), (157.4524251993096, 68.8061833341339), (157.28911878307034, 69.64497691387828), (157.1023976292292, 70.48453144133386), (156.8926873094295, 71.32483731654904), (156.6604303530624, 72.16588508539992), (156.40608610299807, 73.0076654230012), (156.13013057009576, 73.85016911690803), (155.83305628648833, 74.69338705010759), (155.51537215764415, 75.53731018380138), (155.177603313206, 76.3819295399779), (154.8202909566046, 77.22723618377499), (154.44399221345154, 78.07322120563364), (154.0492799787058, 78.91987570324108), (153.63674276261875, 79.76719076326461), (153.20698453545495, 80.61515744287618), (152.7606245709888, 81.46376675106619), (152.2982972887796, 82.31300962974912), (151.82065209522074, 83.16287693465803), (151.32835322336695, 84.01335941603043), (150.82207957153824, 84.86444769908405), (150.30252454069856, 85.71613226428286), (149.77039587061313, 86.56840342739365), (149.22641547478094, 87.42125131933294), (148.6713192741442, 88.27466586580398), (148.105857029574, 89.12863676672426), (147.53079217313294, 89.98315347544349), (146.94690163811387, 90.83820517775148), (146.35497568785536, 91.69378077067688), (145.7558177433333, 92.54986884107579), (145.15024420952977, 93.40645764401104), (144.5390843005775, 94.26353508092154), (143.9231798636815, 95.12108867758229), (143.30338520181675, 95.97910556185425), (142.68056689520287, 96.83757244122498), (142.05560362155484, 97.69647558013942), (141.42938597511042, 98.55580077712095), (140.80281628443407, 99.41553334168302), (140.17680842899748, 100.27565807103076), (139.5522876545363, 101.13615922655315), (138.93019038718376, 101.99702051010553), (138.31146404638042, 102.8582250400824), (137.6970668565607, 103.71975532728052), (137.0879676576158, 104.58159325055229), (136.48514571413307, 105.4437200322496), (135.8895905234121, 106.30611621345801), (135.30230162225706, 107.16876162902109), (134.72428839254562, 108.03163538235523), (134.15656986557448, 108.8947158200548), (133.60017452518133, 109.75798050628751), (133.0561401096432, 110.62140619698025), (132.5255134123516, 111.48496881379513), (132.0093500812638, 112.34864341789608), (131.50871441713096, 113.21240418350541), (131.02467917050248, 114.07622437125097), (130.5583253375071, 114.94007630130372), (130.11074195441034, 115.80393132630525), (129.6830258909484, 116.66775980408616), (129.2762816424387, 117.53153107017424), (128.89162112066705, 118.39521341009336), (128.5301634435508, 119.25877403145252), (128.19303472357922, 120.12217903582527), (127.88136785502971, 120.98539339041955), (127.59630229996091, 121.84838089953755), (127.33898387298234, 122.71110417582639), (127.11056452480022, 123.57352461131876), (126.9122021245401, 124.4356023482639), (126.74506024084589, 125.2972962497492), (126.61030792175526, 126.15856387011173), (126.50911947335194, 127.01936142514057), (126.44267423719396, 127.87964376206901), (126.41215636651887, 128.7393643293573), (126.41875460122523, 129.59847514626583), (126.46366204163067, 130.4569267722185), (126.54807592100644, 131.31466827595636), (126.67319737688847, 132.17164720448181), (126.84023122116488, 133.02780955179284), (127.0503857089401, 133.88309972740788), (127.30487230617548, 134.73746052468087), (127.60490545610625, 135.59083308890655), (127.9517023444351, 136.44315688521624), (128.34648266330237, 137.29436966626386), (128.7904683740326, 138.14440743970235), (129.28488346865748, 138.99320443545045), (129.83095373021564, 139.84069307274962), (130.4299064918286, 140.68680392701143), (131.0829703945534, 141.53146569645537), (131.79137514401168, 142.37460516853685), (132.55635126579546, 143.21614718616553), (133.37912985964894, 144.0560146137141), (134.2609423524274, 144.8941283028172), (135.20302024983215, 145.73040705796095), (136.20659488692215, 146.56476760186254), (137.27289717740229, 147.39712454064028), (138.40315736168776, 148.227390328774), (139.5986047537455, 149.05547523385565), (140.8604674867115, 149.8812873011305), (142.18997225728518, 150.7047323178283), (143.58834406889997, 151.52571377728515), (145.05680597367044, 152.34413284285534), (146.59657881311588, 153.15988831161388), (148.2088809576606, 153.97287657784912), (149.89492804491044, 154.78299159634565), (151.65593271670613, 155.5901248454579), (153.4931043549527, 156.3941652899735), (155.40764881622582, 157.19499934376762), (157.40076816515446, 157.992510832247), (159.47366040657994, 158.78658095458496), (161.62751921649192, 159.5770882457461), (163.86353367174019, 160.36390853830176), (166.18288797852358, 161.14691492403583), (168.5867611996551, 161.9259777153404), (171.0763269806036, 162.70096440640248), (173.65275327431226, 163.4717396341804), (176.31720206479275, 164.238165139171), (179.07082908949693, 165.00009972596672), (181.91478356046431, 165.7573992236035), (184.85020788424623, 166.50991644569856), (187.87823738060678, 167.25750115037897), (191.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.7_mutpb-0.95\9-RUN_POP-25_cxpb-0.7_mutpb-0.95_30052022-153918/sim_test_21031_30052022-153918,30052022-170220
