individual,road_points,test_outcome,description,timestamp
"[[117.94098552813625, 58, 32, 185, 131, 82, 33], [5.0, 28, 56, 84, 112, 140, 168]]","[(117.94098552813625, 5.0), (116.14693882634835, 5.695348586589357), (114.38074273185141, 6.394409486632874), (112.64442647410456, 7.097108271086306), (110.93990253522875, 7.803371635744042), (109.26896919851721, 8.51312738984853), (107.63331307440704, 9.226304444757629), (106.03451160391245, 9.942832802669944), (104.4740355395199, 10.662643545408132), (102.9532514035442, 11.385668823260175), (101.47342392394702, 12.11184184387861), (100.03571844761638, 12.841096861237734), (98.64120333110759, 13.573369164648785), (97.29085230884664, 14.308595067833089), (95.98554683879385, 15.046711898053116), (94.72607842557052, 15.78765798530163), (93.51315092104602, 16.531372651548672), (92.34738280238716, 17.277796200046602), (91.22930942756878, 18.026869904693072), (90.15938526834594, 18.77853599945192), (89.13798612068796, 19.53273766783217), (88.16541129267375, 20.289419032424842), (87.24188576984902, 21.048525144497845), (86.36756235804448, 21.81000197364873), (85.5425238036563, 22.57379639751554), (84.76678489138791, 23.339856191545493), (84.0402945194532, 24.10813001882178), (83.36293775224146, 24.878567419948148), (82.73453785044387, 25.651118802991668), (82.1548582786416, 26.425735433483204), (81.6236046903554, 27.202369424476156), (81.14042689055702, 27.980973726662906), (80.7049207756417, 28.76150211854939), (80.31663025086289, 29.543909196687586), (79.97504912522788, 30.32815036596588), (79.67962298385572, 31.114181829957655), (79.42975103779605, 31.90196058132752), (79.22478795130992, 32.69144439229578), (79.0640456466122, 33.482591805160716), (78.94679508607499, 34.275362122878825), (78.8722680318938, 35.06971539970322), (78.8396587832138, 35.8656124318797), (78.84812589071899, 36.66301474840105), (78.89679384868217, 37.461884601819186), (78.98475476447645, 38.26218495911522), (79.1110700055493, 39.06387949262768), (79.27477182385648, 39.866932571038404), (79.47486495775948, 40.67130925041677), (79.71032821138303, 41.47697526532155), (79.9801160114348, 42.28389701996089), (80.283159941487, 43.09204157941034), (80.61837025371874, 43.901376660888666), (80.98463735812064, 44.71187062509173), (81.3808332891609, 45.52349246758435), (81.80581314991264, 46.33621181025009), (82.25841653364324, 47.14999889279914), (82.73746892286478, 47.96482456433373), (83.24178306584665, 48.780660274972306), (83.77016033058923, 49.59747806753081), (84.32139203625924, 50.415250569262454), (84.89426076208721, 51.23395098365552), (85.48754163372541, 52.05355308228851), (86.10000358706864, 52.87403119674414), (86.73041060953574, 53.69536021058056), (87.3775229588128, 54.5175155513609), (88.0400983590586, 55.34047318274089), (88.71689317457025, 56.164209596613865), (89.4066635609122, 56.988701805314655), (90.10816659350527, 57.81392733388056), (90.82016137367812, 58.639864212370725), (91.54141011218022, 59.4664909682437), (92.2706791901558, 60.29378661879221), (93.00674019758033, 61.12173066363684), (93.7483709491578, 61.95030307727692), (94.4943564776798, 62.77948430169977), (95.24349000484663, 63.60925523904795), (95.99457388954899, 64.43959724434401), (96.74642055361238, 65.27049211827398), (97.49785338500236, 66.10192210002802), (98.24770761849143, 66.9338698601996), (98.99483119378807, 67.76631849374253), (99.73808559112626, 68.59925151298555), (100.47634664431808, 69.43265284070563), (101.20850533126631, 70.26650680325858), (101.93346854193977, 71.10079812376792), (102.65015982380991, 71.93551191537182), (103.35752010474839, 72.77063367452752), (104.05450839338741, 73.60614927437447), (104.74010245694033, 74.44204495815478), (105.41329947648507, 75.27830733269184), (106.07311667970816, 76.11492336192728), (106.71859195111062, 76.95188036051505), (107.34878441967598, 77.7891659874745), (107.96277502399899, 78.62676823990061), (108.55966705487648, 79.46467544673251), (109.13858667535993, 80.30287626258021), (109.69868341826867, 81.14135966160852), (110.23913066116623, 81.98011493148007), (110.75912607879665, 82.81913166735524), (111.25789207298341, 83.6583997659506), (111.73467617998976, 84.4979094196554), (112.18875145534008, 85.33765111070556), (112.61941683610362, 86.17761560541611), (113.02599748063933, 87.01779394847136), (113.40784508580228, 87.85817745727299), (113.76433818161178, 88.6987577163463), (114.09488240338122, 89.53952657180423), (114.39891074130907, 90.38047612586959), (114.6758837675319, 91.22159873145488), (114.92528984063873, 92.06288698680048), (115.14664528764696, 92.90433373017059), (115.33949456343997, 93.74593203460708), (115.50341038766649, 94.58767520274165), (115.63799385910087, 95.42955676166534), (115.74287454746583, 96.27157045785673), (115.81771056271609, 97.11371025216756), (115.86218860178388, 97.95597031486658), (115.87602397278611, 98.79834502074132), (115.85896059669281, 99.64082894425776), (115.81077098645744, 100.48341685477804), (115.7312562036087, 101.32610371183605), (115.62024579230376, 102.16888466047125), (115.4775976908434, 103.01175502662005), (115.30319812064829, 103.85471031256542), (115.09696145269729, 104.69774619244443), (114.85883005142702, 105.54085850781382), (114.58877409609322, 106.38404326327334), (114.28679137959341, 107.22729662214721), (113.95290708475152, 108.07061490222358), (113.58717353806365, 108.91399457155177), (113.18966994090593, 109.7574322442977), (112.7605020782034, 110.60092467665714), (112.29980200456093, 111.44446876282706), (111.80772770785539, 112.28806153103469), (111.28446275028969, 113.13170013962484), (110.73021588690817, 113.97538187320507), (110.14522066157357, 114.81910413884877), (109.52973498040588, 115.66286446235637), (108.8840406626823, 116.50666048457418), (108.20844296919917, 117.35048995777166), (107.50327010809536, 118.19435074207634), (106.7688727181371, 119.03824080196674), (106.00562332946467, 119.8821582028234), (105.21391580180023, 120.72610110753773), (104.39416474011786, 121.57006777317883), (103.54680488777451, 122.41405654771849), (102.67229049710315, 123.25806586681378), (101.77109467746679, 124.10209425064805), (100.84370872077483, 124.9461403008295), (99.89064140446055, 125.790202697348), (98.91241827192019, 126.63428019558971), (97.90958089041374, 127.47837162340969), (96.88268608642727, 128.32247587826262), (95.83230515849677, 129.16659192439133), (94.75902306749369, 130.01071879007327), (93.663437604372, 130.85485556492517), (92.54615853537679, 131.69900139726536), (91.4078067247145, 132.54315549153435), (90.24901323468465, 133.3873171057732), (89.0704184032733, 134.23148554915994), (87.872670899208, 135.0756601796038), (86.65642675447425, 135.91984040139766), (85.42234837429373, 136.7640256629283), (84.17110352456376, 137.60821545444466), (82.90336429675885, 138.45240930588403), (81.6198060502934, 139.2966067847562), (80.32110633234612, 140.14080749408575), (79.00794377514606, 140.98501107041204), (77.68099697072017, 141.82921718184744), (76.34094332310255, 142.6734255261932), (74.98845787800512, 143.51763582911366), (73.62421212994994, 144.3618478423681), (72.24887280686316, 145.20606134210078), (70.86310063213045, 146.05027612718897), (69.46754906411407, 146.8944920176486), (68.06286301313156, 147.7387088530982), (66.64967753589593, 148.58292649128094), (65.22861650741748, 149.42714480664415), (63.80029127036701, 150.27136368897732), (62.365299261901086, 151.11558304210763), (60.92422261794833, 151.95980278265375), (59.47762675495763, 152.8040228388375), (58.026058929107876, 153.6482431493535), (56.57004677297904, 154.4924636622968), (55.11009680968528, 155.3366843341483), (53.646692944469265, 156.18090512881844), (52.18029493375812, 157.02512601674863), (50.711336831681166, 157.86934697407085), (49.24022541404889, 158.71356798182492), (47.767338579793915, 159.55778902523394), (46.293023729873156, 160.40201009303775), (44.817596123631844, 161.2462311768842), (43.34133721262897, 162.09045227077848), (41.864492951924255, 162.93467337059047), (40.38727208882698, 163.77889447361977), (38.90984442910611, 164.62311557821923), (37.43233908066207, 165.4673366834758), (35.954842674660185, 166.31155778894987), (34.477397564125674, 167.15577889447243), (33.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-75_cxpb-0.95_mutpb-0.1\6-RUN_POP-75_cxpb-0.95_mutpb-0.1_13062022-082235/sim_test_9112_13062022-082235,13062022-083203
"[[83.36453989905988, 142, 195, 65, 42, 17, 126], [5.0, 28, 56, 84, 112, 140, 168]]","[(83.36453989905988, 5.0), (85.12986295266981, 5.695348586589357), (86.88827813431863, 6.394409486632874), (88.63724311118195, 7.097108271086306), (90.3743188775049, 7.803371635744042), (92.09716779958596, 8.51312738984853), (93.80355167827007, 9.226304444757629), (95.4913298289526, 9.942832802669944), (97.15845717909394, 10.662643545408132), (98.80298238324372, 11.385668823260175), (100.42304595557634, 12.11184184387861), (102.01687841993635, 12.841096861237734), (103.58279847739419, 13.573369164648785), (105.11921119131264, 14.308595067833089), (106.62460618992317, 15.046711898053116), (108.09755588641339, 15.78765798530163), (109.5367137165242, 16.531372651548672), (110.94081239365777, 17.277796200046602), (112.30866218149566, 18.026869904693072), (113.6391491841273, 18.77853599945192), (114.93123365368938, 19.53273766783217), (116.18394831551487, 20.289419032424842), (117.39639671079294, 21.048525144497845), (118.56775155673915, 21.81000197364873), (119.69725312427576, 22.57379639751554), (120.78420763322315, 23.339856191545493), (121.82798566500071, 24.10813001882178), (122.82802059283873, 24.878567419948148), (123.78380702950071, 25.651118802991668), (124.69489929251539, 26.425735433483204), (125.5609098869201, 27.202369424476156), (126.38150800551387, 27.980973726662906), (127.15641804662107, 28.76150211854939), (127.88541814936562, 29.543909196687586), (128.56833874645508, 30.32815036596588), (129.2050611344761, 31.114181829957655), (129.79551606169906, 31.90196058132752), (130.33968233339402, 32.69144439229578), (130.83758543465675, 33.482591805160716), (131.2892961707448, 34.275362122878825), (131.69492932492494, 35.06971539970322), (132.05464233382946, 35.8656124318797), (132.36863398032466, 36.66301474840105), (132.63714310388823, 37.461884601819186), (132.86044732849743, 38.26218495911522), (133.03886180802894, 39.06387949262768), (133.17273798916645, 39.866932571038404), (133.26246239182132, 40.67130925041677), (133.30845540706218, 41.47697526532155), (133.3111701125549, 42.28389701996089), (133.2710911055139, 43.09204157941034), (133.18873335316272, 43.901376660888666), (133.06464106070572, 44.71187062509173), (132.89938655680996, 45.52349246758435), (132.6935691965971, 46.33621181025009), (132.44781428214702, 47.14999889279914), (132.1627720005093, 47.96482456433373), (131.8391163792283, 48.780660274972306), (131.47754425937578, 49.59747806753081), (131.0787742860955, 50.415250569262454), (130.64354591665827, 51.23395098365552), (130.17261844602587, 52.05355308228851), (129.66677004992752, 52.87403119674414), (129.12679684544517, 53.69536021058056), (128.55351196910922, 54.5175155513609), (127.9477446725063, 55.34047318274089), (127.31033943539461, 56.164209596613865), (126.6421550963325, 56.988701805314655), (125.94406400081579, 57.81392733388056), (125.21695116692541, 58.639864212370725), (124.46171346848689, 59.4664909682437), (123.67925883573808, 60.29378661879221), (122.87050547350943, 61.12173066363684), (122.03638109691309, 61.95030307727692), (121.1778221845429, 62.77948430169977), (120.29577324918554, 63.60925523904795), (119.3911861260403, 64.43959724434401), (118.46501927845125, 65.27049211827398), (117.51823712114833, 66.10192210002802), (116.55180936099954, 66.9338698601996), (115.5667103552734, 67.76631849374253), (114.56391848741126, 68.59925151298555), (113.54441556031128, 69.43265284070563), (112.50918620712133, 70.26650680325858), (111.45921731954319, 71.10079812376792), (110.395497493647, 71.93551191537182), (109.31901649319562, 72.77063367452752), (108.23076473048029, 73.60614927437447), (107.13173276466568, 74.44204495815478), (106.022910817646, 75.27830733269184), (104.90528830741147, 76.11492336192728), (103.77985339892439, 76.95188036051505), (102.64759257250704, 77.7891659874745), (101.50949020973847, 78.62676823990061), (100.36652819686277, 79.46467544673251), (99.21968554570722, 80.30287626258021), (98.06993803211053, 81.14135966160852), (96.91825785186256, 81.98011493148007), (95.76561329415323, 82.81913166735524), (94.61296843253244, 83.6583997659506), (93.46128283338041, 84.4979094196554), (92.31151128188802, 85.33765111070556), (91.16460352554797, 86.17761560541611), (90.02150403515614, 87.01779394847136), (88.8831517833232, 87.85817745727299), (87.75048004049691, 88.6987577163463), (86.62441618849455, 89.53952657180423), (85.5058815515459, 90.38047612586959), (84.39579124484659, 91.22159873145488), (83.29505404062164, 92.06288698680048), (82.20457225169979, 92.90433373017059), (81.12524163259782, 93.74593203460708), (80.05795129811541, 94.58767520274165), (79.00358365944052, 95.42955676166534), (77.96301437776499, 96.27157045785673), (76.93711233541055, 97.11371025216756), (75.92673962446533, 97.95597031486658), (74.93275155293053, 98.79834502074132), (73.9559966683779, 99.64082894425776), (72.99731679911706, 100.48341685477804), (72.05754711287368, 101.32610371183605), (71.13751619297783, 102.16888466047125), (70.2380461320626, 103.01175502662005), (69.35995264327354, 103.85471031256542), (68.504045188988, 104.69774619244443), (67.67112712704517, 105.54085850781382), (66.86199587448635, 106.38404326327334), (66.07744308880574, 107.22729662214721), (65.3182548667115, 108.07061490222358), (64.5852119603973, 108.91399457155177), (63.879090011324195, 109.7574322442977), (63.200659801512884, 110.60092467665714), (62.55068752234641, 111.44446876282706), (61.92993506088324, 112.28806153103469), (61.33916030368067, 113.13170013962484), (60.77911745812874, 113.97538187320507), (60.2505573912944, 114.81910413884877), (59.75422798627616, 115.66286446235637), (59.29087451606911, 116.50666048457418), (58.86124003494031, 117.35048995777166), (58.466065787314605, 118.19435074207634), (58.106091634170795, 119.03824080196674), (57.78205649694821, 119.8821582028234), (57.49469881896367, 120.72610110753773), (57.244757044338854, 121.57006777317883), (57.032970114438, 122.41405654771849), (56.86007798181614, 123.25806586681378), (56.72682214167749, 124.10209425064805), (56.63394618084444, 124.9461403008295), (56.58219634423689, 125.790202697348), (56.57232211886188, 126.63428019558971), (56.605076835313675, 127.47837162340969), (56.68121828678427, 128.32247587826262), (56.80150936558428, 129.16659192439133), (56.9667187171741, 130.01071879007327), (57.177621411705644, 130.85485556492517), (57.43499963307434, 131.69900139726536), (57.73964338548153, 132.54315549153435), (58.09235121750736, 133.3873171057732), (58.49393096369384, 134.23148554915994), (58.945200503638645, 135.0756601796038), (59.4469885385989, 135.91984040139766), (60.00013538560565, 136.7640256629283), (60.60549378908867, 137.60821545444466), (61.2639297500115, 138.45240930588403), (61.97632337251706, 139.2966067847562), (62.743569728083585, 140.14080749408575), (63.56657973719091, 140.98501107041204), (64.44628106849727, 141.82921718184744), (65.3836190555263, 142.6734255261932), (66.37955763086455, 143.51763582911366), (67.43508027786945, 144.3618478423681), (68.55119099988745, 145.20606134210078), (69.72891530698287, 146.05027612718897), (70.96930122017675, 146.8944920176486), (72.2734202931964, 147.7387088530982), (73.64236865173523, 148.58292649128094), (75.07726805022293, 149.42714480664415), (76.57926694610623, 150.27136368897732), (78.14954159163968, 151.11558304210763), (79.78929714318717, 151.95980278265375), (81.49976878803373, 152.8040228388375), (83.28222288870761, 153.6482431493535), (85.13795814481301, 154.4924636622968), (87.06830677237285, 155.3366843341483), (89.0746357006822, 156.18090512881844), (91.15834778667198, 157.02512601674863), (93.32088304678314, 157.86934697407085), (95.56371990635124, 158.71356798182492), (97.88837646650107, 159.55778902523394), (100.29641178855226, 160.40201009303775), (102.78942719593476, 161.2462311768842), (105.36906759361499, 162.09045227077848), (108.03702280503241, 162.93467337059047), (110.79502892654614, 163.77889447361977), (113.64486969939234, 164.62311557821923), (116.5883778991519, 165.4673366834758), (119.6274367427283, 166.31155778894987), (122.76398131283611, 167.15577889447243), (126.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-75_cxpb-0.95_mutpb-0.1\6-RUN_POP-75_cxpb-0.95_mutpb-0.1_13062022-082235/sim_test_9140_13062022-082235,13062022-083938
"[[80.12654318580765, 60, 77, 177, 23, 22, 146], [5.0, 28, 56, 84, 112, 140, 168]]","[(80.12654318580765, 5.0), (79.53388824815278, 5.695348586589357), (78.97000667457878, 6.394409486632874), (78.43546838544675, 7.097108271086306), (77.93076055161161, 7.803371635744042), (77.45629012740328, 8.51312738984853), (77.01238635687474, 9.226304444757629), (76.59930325331688, 9.942832802669944), (76.21722205204027, 10.662643545408132), (75.86625363642386, 11.385668823260175), (75.54644093723068, 12.11184184387861), (75.2577613051902, 12.841096861237734), (75.00012885684765, 13.573369164648785), (74.77339679368042, 14.308595067833089), (74.5773596944809, 15.046711898053116), (74.41175578100689, 15.78765798530163), (74.27626915689821, 16.531372651548672), (74.17053201986066, 17.277796200046602), (74.09412684711661, 18.026869904693072), (74.04658855412256, 18.77853599945192), (74.02740662655376, 19.53273766783217), (74.03602722555537, 20.289419032424842), (74.07185526626087, 21.048525144497845), (74.13425646957715, 21.81000197364873), (74.22255938723627, 22.57379639751554), (74.33605740011481, 23.339856191545493), (74.4740106898194, 24.10813001882178), (74.6356481835394, 24.878567419948148), (74.82016947216655, 25.651118802991668), (75.02674670168139, 26.425735433483204), (75.25452643780662, 27.202369424476156), (75.50263150392736, 27.980973726662906), (75.7701627922783, 28.76150211854939), (76.05620104839764, 29.543909196687586), (76.35980862884794, 30.32815036596588), (76.68003123220421, 31.114181829957655), (77.0158996033082, 31.90196058132752), (77.36643121079025, 32.69144439229578), (77.73063189785772, 33.482591805160716), (78.10749750635, 34.275362122878825), (78.4960154740615, 35.06971539970322), (78.89516640532976, 35.8656124318797), (79.30392561489238, 36.66301474840105), (79.72126464500944, 37.461884601819186), (80.14615275585327, 38.26218495911522), (80.57755838916555, 39.06387949262768), (81.01445060518016, 39.866932571038404), (81.45580049281442, 40.67130925041677), (81.900582553126, 41.47697526532155), (82.34777605603702, 42.28389701996089), (82.79636637032566, 43.09204157941034), (83.24534626688371, 43.901376660888666), (83.69371719524173, 44.71187062509173), (84.14049053336072, 45.52349246758435), (84.58468881069075, 46.33621181025009), (85.02534690449694, 47.14999889279914), (85.46151320945113, 47.96482456433373), (85.892250780492, 48.780660274972306), (86.31663844895094, 49.59747806753081), (86.73377191194503, 50.415250569262454), (87.14276479503754, 51.23395098365552), (87.54274968816411, 52.05355308228851), (87.9328791548273, 52.87403119674414), (88.31232671455679, 53.69536021058056), (88.68028779863684, 54.5175155513609), (89.03598067910147, 55.34047318274089), (89.37864737099467, 56.164209596613865), (89.70755450789974, 56.988701805314655), (90.0219941907337, 57.81392733388056), (90.32128480980941, 58.639864212370725), (90.60477184016493, 59.4664909682437), (90.87182861015849, 60.29378661879221), (91.12185704333196, 61.12173066363684), (91.35428837353994, 61.95030307727692), (91.5685838333462, 62.77948430169977), (91.76423531568746, 63.60925523904795), (91.94076600880292, 64.43959724434401), (92.09773100443208, 65.27049211827398), (92.2347178792783, 66.10192210002802), (92.35134724973972, 66.9338698601996), (92.4472732999074, 67.76631849374253), (92.52218428282937, 68.59925151298555), (92.57580299504282, 69.43265284070563), (92.60788722437219, 70.26650680325858), (92.6182301709945, 71.10079812376792), (92.60666084177186, 71.93551191537182), (92.57304441785006, 72.77063367452752), (92.51728259552523, 73.60614927437447), (92.43931390037618, 74.44204495815478), (92.3391139746644, 75.27830733269184), (92.21669583800096, 76.11492336192728), (92.07211012127932, 76.95188036051505), (91.90544527387678, 77.7891659874745), (91.71682774412106, 78.62676823990061), (91.50642213302474, 79.46467544673251), (91.27443132128666, 80.30287626258021), (91.02109656955918, 81.14135966160852), (90.74669759198399, 81.98011493148007), (90.45155260299325, 82.81913166735524), (90.13601833737839, 83.6583997659506), (89.80049004362593, 84.4979094196554), (89.4454014505194, 85.33765111070556), (89.07122470700918, 86.17761560541611), (88.67847029534853, 87.01779394847136), (88.26768691749655, 87.85817745727299), (87.83946135478837, 88.6987577163463), (87.394418300872, 89.53952657180423), (86.93322016791204, 90.38047612586959), (86.45656686606041, 91.22159873145488), (85.96519555619376, 92.06288698680048), (85.45988037591819, 92.90433373017059), (84.94143213884023, 93.74593203460708), (84.41069800710534, 94.58767520274165), (83.86856113720276, 95.42955676166534), (83.31594029903786, 96.27157045785673), (82.75378946827065, 97.11371025216756), (82.18309739192176, 97.95597031486658), (81.604887127245, 98.79834502074132), (81.02021555386698, 99.64082894425776), (80.43017285919355, 100.48341685477804), (79.83588199708304, 101.32610371183605), (79.23849811978656, 102.16888466047125), (78.63920798315509, 103.01175502662005), (78.03922932511337, 103.85471031256542), (77.43981021740093, 104.69774619244443), (76.84222839057975, 105.54085850781382), (76.24779053230904, 106.38404326327334), (75.65783155888651, 107.22729662214721), (75.07371386005721, 108.07061490222358), (74.49682651708845, 108.91399457155177), (73.92858449411231, 109.7574322442977), (73.3704278027346, 110.60092467665714), (72.8238206399108, 111.44446876282706), (72.29025049908911, 112.28806153103469), (71.77122725462006, 113.13170013962484), (71.2682822194332, 113.97538187320507), (70.7829671759807, 114.81910413884877), (70.31685338044774, 115.66286446235637), (69.87153054022977, 116.50666048457418), (69.44860576467686, 117.35048995777166), (69.04970248910462, 118.19435074207634), (68.67645937207239, 119.03824080196674), (68.33052916592789, 119.8821582028234), (68.01357756061921, 120.72610110753773), (67.72728200077326, 121.57006777317883), (67.47333047604141, 122.41405654771849), (67.25342028471195, 123.25806586681378), (67.06925677058933, 124.10209425064805), (66.92255203314039, 124.9461403008295), (66.81502361090749, 125.790202697348), (66.74839313818846, 126.63428019558971), (66.72438497498344, 127.47837162340969), (66.74472481020871, 128.32247587826262), (66.81113823817732, 129.16659192439133), (66.92534930834657, 130.01071879007327), (67.08907904833252, 130.85485556492517), (67.30404396019122, 131.69900139726536), (67.571954489967, 132.54315549153435), (67.89451347050748, 133.3873171057732), (68.2734145375456, 134.23148554915994), (68.71034051904851, 135.0756601796038), (69.20696179783323, 135.91984040139766), (69.7649346474494, 136.7640256629283), (70.38589954132875, 137.60821545444466), (71.07147943520161, 138.45240930588403), (71.8232780227801, 139.2966067847562), (72.64287796470839, 140.14080749408575), (73.5318390907798, 140.98501107041204), (74.4916965754208, 141.82921718184744), (75.52395908644178, 142.6734255261932), (76.63010690705492, 143.51763582911366), (77.81159003115877, 144.3618478423681), (79.06982623188973, 145.20606134210078), (80.40619910344068, 146.05027612718897), (81.82205607614601, 146.8944920176486), (83.31870640483399, 147.7387088530982), (84.89741913044583, 148.58292649128094), (86.55942101492158, 149.42714480664415), (88.30589444935322, 150.27136368897732), (90.13797533540406, 151.11558304210763), (92.0567509399957, 151.95980278265375), (94.06325772326133, 152.8040228388375), (96.15847913976629, 153.6482431493535), (98.3433434129954, 154.4924636622968), (100.61872128310699, 155.3366843341483), (102.98542372795414, 156.18090512881844), (105.44419965737258, 157.02512601674863), (107.99573358073548, 157.86934697407085), (110.6406432477755, 158.71356798182492), (113.37947726267305, 159.55778902523394), (116.21271267141198, 160.40201009303775), (119.14075252240207, 161.2462311768842), (122.16392340036813, 162.09045227077848), (125.28247293350657, 162.93467337059047), (128.49656727390803, 163.77889447361977), (131.80628855124758, 164.62311557821923), (135.2116322997416, 165.4673366834758), (138.7125048583715, 166.31155778894987), (142.30872074437417, 167.15577889447243), (146.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-75_cxpb-0.95_mutpb-0.1\6-RUN_POP-75_cxpb-0.95_mutpb-0.1_13062022-082235/sim_test_9141_13062022-082235,13062022-084009
