individual,road_points,test_outcome,description,timestamp
"[[113.34831437766431, 38.093143878104925, 93.31102453934632, 153.79622708493042, 47, 19, 147], [5.0, 29.28336448671433, 58.228309492228234, 87.15246908100356, 112, 140, 168]]","[(113.34831437766431, 5.0), (111.1284164236265, 5.733915571848821), (109.00544658097269, 6.471291345280208), (106.97748334116598, 7.212056266839373), (105.04259645137289, 7.956139475262243), (103.19884795897028, 8.703470325128666), (101.44429324383789, 9.453978410140815), (99.77698203843809, 10.20759358602686), (98.19495943568202, 10.964245993069861), (96.69626688458214, 11.72386607826192), (95.27894317369197, 12.486384617083575), (93.94102540233192, 13.251732734908407), (92.68054993960195, 14.019841928032946), (91.49555337118083, 14.790644084331754), (90.38407343391184, 15.564071503537761), (89.34414993817545, 16.340056917147916), (88.37382567804829, 17.11853350795396), (87.4711473292489, 17.899434929198552), (86.63416633486992, 18.68269532335657), (85.86093977889702, 19.46824934054164), (85.14953124751463, 20.25603215653798), (84.49801167819783, 21.045979490457444), (83.90446019659134, 21.838027622021777), (83.36696494117476, 22.632113408470143), (82.88362387571439, 23.42817430109191), (82.45254558950222, 24.226148361384652), (82.07185008538092, 25.0259742768374), (81.73966955555555, 25.82759137633912), (81.45414914519242, 26.630939645212482), (81.21344770380348, 27.435959739872757), (81.0157385244187, 28.242593002112134), (80.85921007054382, 29.050781473009103), (80.74206669090565, 29.860467906463168), (80.66252932198321, 30.671595782354846), (80.61883617832603, 31.48410931933071), (80.60924343065902, 32.29795348721398), (80.63202587177355, 33.11307401904005), (80.68547757020563, 33.92941742271749), (80.76791251170039, 34.74693099231414), (80.8776652284632, 35.56556281896849), (81.01309141619772, 36.38526180142636), (81.17256853893001, 37.205977656202705), (81.35449642161973, 38.02766092736879), (81.55729783055797, 38.850262995964556), (81.77941904155095, 39.67373608903606), (82.01933039589166, 40.49803328829859), (82.27552684411654, 41.32310853842442), (82.54652847755028, 42.1489166549564), (82.83088104763614, 42.9754133318464), (83.12715647305325, 43.80255514861904), (83.4339533346209, 44.630299577160926), (83.74989735798863, 45.458604988134745), (84.07364188411385, 46.28743065701893), (84.40386832752525, 47.11673676977229), (84.73928662237334, 47.946484428124165), (85.07863565626772, 48.77663565448965), (85.4206836919001, 49.60715339650989), (85.76422877645518, 50.43800153121816), (86.10809913880713, 51.26914486883055), (86.45115357450297, 52.100549156162245), (86.79228181853318, 52.93218107966921), (87.13040490588763, 53.764008268114445), (87.46447551989952, 54.59599929486039), (87.79347832837504, 55.4281236797858), (88.11643030750977, 56.260351890828275), (88.43238105359232, 57.09265534515203), (88.74041308249326, 57.92500640994047), (89.0396421169424, 58.75737840281479), (89.32921736159119, 59.58974559187702), (89.60832176586239, 60.42208319537873), (89.87617227458671, 61.25436738101512), (90.13202006642484, 62.08657526484372), (90.3751507800778, 62.91868490982917), (90.60488472828233, 63.750675324012555), (90.8205770995937, 64.58252645830626), (91.02161814795542, 65.41421920391429), (91.20743337005442, 66.24573538937717), (91.37748367046416, 67.07705777724294), (91.53126551457342, 67.90817006036265), (91.66831106930212, 68.73905685781155), (91.78818833160396, 69.56970371043542), (91.89050124475466, 70.40009707602188), (91.97488980242836, 71.23022432409739), (92.04103014055934, 72.0600737303492), (92.08863461699084, 72.88963447067249), (92.11745187891079, 73.71889661484309), (92.12726691807327, 74.54785111981488), (92.11790111380787, 75.37648982264315), (92.0892122638144, 76.20480543303252), (92.0410946027449, 77.0327915255105), (91.97347880857242, 77.8604425312264), (91.8863319967455, 78.6877537293747), (91.7796577021306, 79.51472123824497), (91.65349584873994, 80.34134200589574), (91.50792270724658, 81.16761380045438), (91.34305084028611, 81.99353520004212), (91.15902903554439, 82.81910558232377), (90.956042226633, 83.64432511368376), (90.73431140175005, 84.46919473802619), (90.49409350012843, 85.29371616520098), (90.23568129627058, 86.11789185905499), (89.9594032719693, 86.9417250251083), (89.66562347611595, 87.76521959785579), (89.354741372295, 88.58838022769409), (89.02719167416467, 89.41121226747354), (88.68344416862506, 90.2337217586756), (88.32400352677216, 91.05591541721535), (87.94940910263897, 91.87780061886934), (87.56023471972294, 92.69938538432866), (87.15708844530006, 93.52067836387711), (86.74061235252573, 94.34168882169489), (86.31148227032207, 95.16242661978717), (85.87040752105194, 95.9829022015384), (85.41813064597947, 96.80312657489124), (84.9554271185174, 97.62311129515125), (84.48310504526077, 98.44286844741656), (84.00200485480747, 99.26241062863289), (83.51299897436516, 100.08175092927374), (83.01699149414516, 100.90090291464584), (82.51491781954252, 101.71988060581991), (82.00774431110297, 102.53869846018645), (81.49646791227651, 103.35737135163718), (80.98211576495746, 104.17591455037123), (80.4657448128112, 104.99434370232696), (79.94844139238748, 105.81267480823873), (79.43132081202057, 106.63092420231918), (78.91552691851561, 107.44910853056659), (78.4022316516219, 108.26724472869746), (77.89263458629273, 109.08534999970446), (77.38796246273175, 109.90344179103948), (76.88946870422599, 110.72153777142204), (76.39843292276561, 111.53965580727275), (75.91616041245001, 112.3578139387725), (75.44398163068082, 113.17603035554606), (74.98325166714132, 113.99432337197183), (74.53534970056258, 114.81271140211615), (74.10167844327617, 115.63121293429313), (73.68366357355343, 116.44984650524992), (73.28275315573151, 117.26863067397666), (72.90041704812583, 118.08758399514224), (72.53814629872932, 118.90672499215505), (72.19745252869812, 119.72607212984889), (71.8798673036241, 120.54564378679436), (71.58694149259372, 121.36545822723522), (71.32024461503377, 122.1855335726503), (71.08136417534358, 123.00588777294026), (70.87190498531382, 123.82653857723994), (70.69348847433201, 124.64750350435591), (70.54775198737457, 125.46879981282895), (70.43634807078554, 126.2904444706222), (70.36094374584191, 127.11245412443425), (70.32321977010542, 127.93484506863751), (70.32486988656123, 128.75763321384204), (70.36760006054298, 129.58083405508435), (70.4531277044446, 130.40446263964154), (70.58318089021861, 131.22853353447073), (70.7594975496612, 132.05306079327374), (70.98382466248378, 132.87805792318682), (71.2579174321712, 133.70353785109603), (71.5835384496265, 134.52951288957723), (71.96245684460257, 135.35599470246208), (72.39644742491993, 136.18299427002853), (72.88728980347156, 137.01052185381715), (73.43676751301422, 137.83858696107237), (74.04666710874618, 138.66719830880896), (74.71877725867189, 139.49636378750404), (75.45488782175302, 140.32609042441393), (76.25678891384618, 141.15638434651646), (77.12626996142737, 141.98725074307876), (78.06511874310281, 142.81869382784961), (79.07512041890664, 143.65071680087783), (80.158056547385, 144.48332180995533), (81.31570409046692, 145.31650991168564), (82.54983440612175, 146.1502810321778), (83.86221222880307, 146.98463392736502), (85.25459463767945, 147.81956614294924), (86.7287300126517, 148.6550739739704), (88.2863569781566, 149.49115242400117), (89.92920333475773, 150.32779516396698), (91.65898497852211, 151.16499449059114), (93.47740480818432, 152.00274128446526), (95.38615162009646, 152.84102496774486), (97.38689899096545, 153.67983346147048), (99.48130414837641, 154.51915314251366), (101.67100682910277, 155.3589688001484), (103.9576281252031, 156.1992635922478), (106.3427693179046, 157.04001900110583), (108.82801069927292, 157.88121478888468), (111.4149103816691, 158.72282895268688), (114.10500309499238, 159.56483767925306), (116.8997989717104, 160.4072152992847), (119.80078231967546, 161.24993424139225), (122.80941038272765, 162.0929649856685), (125.92711208908476, 162.93627601688706), (129.15528678751815, 163.77983377732625), (132.49530297131605, 164.62360261921808), (135.94849699003282, 165.46754475682263), (139.51617174902532, 166.31162021812744), (143.19959539677552, 167.1557867961725), (147.0, 168.0)]",FAIL,Car drove out of the lane gabe_search_variants_results\gabe_search_variant_c\POP-25_cxpb-0.9_mutpb-0.9\12-RUN_POP-25_cxpb-0.9_mutpb-0.9_05032022-033715/sim_test_1671_05032022-033715,05032022-035709
"[[90.78575466590527, 53, 105, 129, 22, 18, 137], [5.0, 28, 56, 84, 112, 140, 168]]","[(90.78575466590527, 5.0), (89.68019579945994, 5.695348586589357), (88.64086333605277, 6.394409486632874), (87.66596973321657, 7.097108271086306), (86.75373230748357, 7.803371635744042), (85.90237395245849, 8.51312738984853), (85.1101238467675, 9.226304444757629), (84.37521815188367, 9.942832802669944), (83.695900699829, 10.662643545408132), (83.07042367075239, 11.385668823260175), (82.49704826038473, 12.11184184387861), (81.97404533736979, 12.841096861237734), (81.49969609047176, 13.573369164648785), (81.07229266565918, 14.308595067833089), (80.69013879306509, 15.046711898053116), (80.35155040382406, 15.78765798530163), (80.05485623678501, 16.531372651548672), (79.7983984351009, 17.277796200046602), (79.58053313269468, 18.026869904693072), (79.39963103060127, 18.77853599945192), (79.2540779631867, 19.53273766783217), (79.14227545424316, 20.289419032424842), (79.0626412629604, 21.048525144497845), (79.01360991977369, 21.81000197364873), (78.99363325208815, 22.57379639751554), (79.00118089987963, 23.339856191545493), (79.03474082117177, 24.10813001882178), (79.09281978738946, 24.878567419948148), (79.17394386858898, 25.651118802991668), (79.27665890856404, 26.425735433483204), (79.39953098982897, 27.202369424476156), (79.54114688847753, 27.980973726662906), (79.7001145189186, 28.76150211854939), (79.87506336848824, 29.543909196687586), (80.06464492193776, 30.32815036596588), (80.2675330757989, 31.114181829957655), (80.4824245426246, 31.90196058132752), (80.70803924510696, 32.69144439229578), (80.94312070007099, 33.482591805160716), (81.18643639234477, 34.275362122878825), (81.436778138507, 35.06971539970322), (81.69296244050919, 35.8656124318797), (81.95383082917607, 36.66301474840105), (82.21825019758127, 37.461884601819186), (82.48511312429942, 38.26218495911522), (82.75333818653567, 39.06387949262768), (83.0218702631301, 39.866932571038404), (83.28968082743994, 40.67130925041677), (83.55576823009729, 41.47697526532155), (83.81915797164342, 42.28389701996089), (84.07890296504006, 43.09204157941034), (84.33408378805603, 43.901376660888666), (84.58380892553129, 44.71187062509173), (84.82721500151676, 45.52349246758435), (85.06346700129077, 46.33621181025009), (85.29175848325214, 47.14999889279914), (85.51131178068884, 47.96482456433373), (85.7213781934243, 48.780660274972306), (85.921238169339, 49.59747806753081), (86.11020147576899, 50.415250569262454), (86.28760736078107, 51.23395098365552), (86.45282470432333, 52.05355308228851), (86.60525215925364, 52.87403119674414), (86.74431828224307, 53.69536021058056), (86.86948165455657, 54.5175155513609), (86.98023099271009, 55.34047318274089), (87.07608524900319, 56.164209596613865), (87.15659370192952, 56.988701805314655), (87.2213360364622, 57.81392733388056), (87.2699224142166, 58.639864212370725), (87.30199353348942, 59.4664909682437), (87.31722067917337, 60.29378661879221), (87.3153057625495, 61.12173066363684), (87.2959813509549, 61.95030307727692), (87.25901068732718, 62.77948430169977), (87.2041876996258, 63.60925523904795), (87.1313370001286, 64.43959724434401), (87.0403138746062, 65.27049211827398), (86.93100426137178, 66.10192210002802), (86.80332472020757, 66.9338698601996), (86.65722239116798, 67.76631849374253), (86.49267494325838, 68.59925151298555), (86.30969051299157, 69.43265284070563), (86.10830763281929, 70.26650680325858), (85.88859514944092, 71.10079812376792), (85.65065213198866, 71.93551191537182), (85.39460777008821, 72.77063367452752), (85.12062126179731, 73.60614927437447), (84.82888169141914, 74.44204495815478), (84.51960789719338, 75.27830733269184), (84.19304832886299, 76.11492336192728), (83.84948089511713, 76.95188036051505), (83.48921280091164, 77.7891659874745), (83.1125803746647, 78.62676823990061), (82.71994888532936, 79.46467544673251), (82.31171234934287, 80.30287626258021), (81.88829332745142, 81.14135966160852), (81.4501427114126, 81.98011493148007), (80.997739500573, 82.81913166735524), (80.53159056832305, 83.6583997659506), (80.05223041842797, 84.4979094196554), (79.56022093123494, 85.33765111070556), (79.05615109975714, 86.17761560541611), (78.54063675563373, 87.01779394847136), (78.01432028496656, 87.85817745727299), (77.47787033403297, 88.6987577163463), (76.93198150487542, 89.53952657180423), (76.37737404076705, 90.38047612586959), (75.81479350155396, 91.22159873145488), (75.24501042887384, 92.06288698680048), (74.6688200012509, 92.90433373017059), (74.08704167906728, 93.74593203460708), (73.5005188394109, 94.58767520274165), (72.91011840079952, 95.42955676166534), (72.3167304377816, 96.27157045785673), (71.72126778541299, 97.11371025216756), (71.12466563361069, 97.95597031486658), (70.5278811113823, 98.79834502074132), (69.93189286093255, 99.64082894425776), (69.33770060164576, 100.48341685477804), (68.74632468394482, 101.32610371183605), (68.15880563302684, 102.16888466047125), (67.57620368247467, 103.01175502662005), (66.99959829774541, 103.85471031256542), (66.43008768953484, 104.69774619244443), (65.86878831701866, 105.54085850781382), (65.31683438096972, 106.38404326327334), (64.77537730675196, 107.22729662214721), (64.24558521719075, 108.07061490222358), (63.72864239531937, 108.91399457155177), (63.22574873700218, 109.7574322442977), (62.738119193434, 110.60092467665714), (62.26698320351608, 111.44446876282706), (61.81358411610821, 112.28806153103469), (61.37917860215752, 113.13170013962484), (60.96503605670349, 113.97538187320507), (60.572437990759404, 114.81910413884877), (60.20267741307024, 115.66286446235637), (59.857058201746995, 116.50666048457418), (59.53689446577728, 117.35048995777166), (59.24350989641246, 118.19435074207634), (58.97823710843112, 119.03824080196674), (58.74241697127897, 119.8821582028234), (58.53739793008512, 120.72610110753773), (58.364535316554765, 121.57006777317883), (58.225190649738316, 122.41405654771849), (58.12073092667687, 123.25806586681378), (58.05252790292414, 124.10209425064805), (58.02195736294475, 124.9461403008295), (58.030398380388895, 125.790202697348), (58.07923256824357, 126.63428019558971), (58.16984331885997, 127.47837162340969), (58.30361503385746, 128.32247587826262), (58.481932343903914, 129.16659192439133), (58.70617931837238, 130.01071879007327), (58.97773866487428, 130.85485556492517), (59.29799091866887, 131.69900139726536), (59.668313621949224, 132.54315549153435), (60.090080493004564, 133.3873171057732), (60.56466058525896, 134.23148554915994), (61.09341743618654, 135.0756601796038), (61.677708206102956, 135.91984040139766), (62.31888280683336, 136.7640256629283), (63.01828302025683, 137.60821545444466), (63.777241606727024, 138.45240930588403), (64.59708140336936, 139.2966067847562), (65.4791144122546, 140.14080749408575), (66.4246408784488, 140.98501107041204), (67.4349483579397, 141.82921718184744), (68.51131077543945, 142.6734255261932), (69.6549874720638, 143.51763582911366), (70.86722224288766, 144.3618478423681), (72.14924236437714, 145.20606134210078), (73.50225761169789, 146.05027612718897), (74.92745926589983, 146.8944920176486), (76.42601911097839, 147.7387088530982), (77.99908842081213, 148.58292649128094), (79.64779693597666, 149.42714480664415), (81.37325183043514, 150.27136368897732), (83.17653666810494, 151.11558304210763), (85.05871034930095, 151.95980278265375), (87.02080604705512, 152.8040228388375), (89.06383013331249, 153.6482431493535), (91.18876109500371, 154.4924636622968), (93.39654843999361, 155.3366843341483), (95.68811159290661, 156.18090512881844), (98.06433878082828, 157.02512601674863), (100.52608590888335, 157.86934697407085), (103.07417542569024, 158.71356798182492), (105.7093951786917, 159.55778902523394), (108.43249725936215, 160.40201009303775), (111.24419683829134, 161.2462311768842), (114.14517099014427, 162.09045227077848), (117.1360575084979, 162.93467337059047), (120.21745371055361, 163.77889447361977), (123.38991523172672, 164.62311557821923), (126.65395481011207, 165.4673366834758), (130.010041060826, 166.31155778894987), (133.45859724022483, 167.15577889447243), (137.0, 168.0)]",FAIL,Car drove out of the lane gabe_search_variants_results\gabe_search_variant_c\POP-25_cxpb-0.9_mutpb-0.9\12-RUN_POP-25_cxpb-0.9_mutpb-0.9_05032022-033715/sim_test_1729_05032022-033715,05032022-040327
"[[114.93135378271407, 69, 57, 182, 16, 106, 153], [5.0, 28, 56, 84, 112, 140, 168]]","[(114.93135378271407, 5.0), (113.55959783047419, 5.695348586589357), (112.21504600508402, 6.394409486632874), (110.89908920928286, 7.097108271086306), (109.61300330112127, 7.803371635744042), (108.35795247218712, 8.51312738984853), (107.13499258725884, 9.226304444757629), (105.9450744853864, 9.942832802669944), (104.78904724240036, 10.662643545408132), (103.66766139484773, 11.385668823260175), (102.58157212535684, 12.11184184387861), (101.53134240942852, 12.841096861237734), (100.51744612365592, 13.573369164648785), (99.54027111537148, 14.308595067833089), (98.60012223372165, 15.046711898053116), (97.69722432216963, 15.78765798530163), (96.83172517242548, 16.531372651548672), (96.00369843980383, 17.277796200046602), (95.21314652000957, 18.026869904693072), (94.46000338735074, 18.77853599945192), (93.74413739437988, 19.53273766783217), (93.0653540329622, 20.289419032424842), (92.423398656772, 21.048525144497845), (91.81795916521656, 21.81000197364873), (91.24866864878746, 22.57379639751554), (90.71510799584027, 23.339856191545493), (90.21680846080126, 24.10813001882178), (89.75325419380191, 24.878567419948148), (89.32388473174146, 25.651118802991668), (88.9280974507765, 26.425735433483204), (88.56524998023912, 27.202369424476156), (88.23466257798167, 27.980973726662906), (87.93562046715029, 28.76150211854939), (87.6673761343852, 29.543909196687586), (87.4291515894491, 30.32815036596588), (87.22014058628339, 31.114181829957655), (87.03951080549169, 31.90196058132752), (86.88640599825129, 32.69144439229578), (86.75994809165225, 33.482591805160716), (86.6592392554638, 34.275362122878825), (86.58336393032948, 35.06971539970322), (86.53139081738836, 35.8656124318797), (86.5023748293253, 36.66301474840105), (86.4953590028485, 37.461884601819186), (86.50937637259402, 38.26218495911522), (86.54345180645943, 39.06387949262768), (86.59660380236329, 39.866932571038404), (86.6678462464342, 40.67130925041677), (86.7561901326261, 41.47697526532155), (86.8606452437617, 42.28389701996089), (86.98022179400421, 43.09204157941034), (87.11393203275551, 43.901376660888666), (87.26079180998316, 44.71187062509173), (87.41982210297434, 45.52349246758435), (87.59005050451779, 46.33621181025009), (87.77051267251368, 47.14999889279914), (87.96025374101012, 47.96482456433373), (88.15832969266889, 48.780660274972306), (88.36380869265746, 49.59747806753081), (88.57577238396935, 50.415250569262454), (88.79331714417256, 51.23395098365552), (89.01555530358421, 52.05355308228851), (89.24161632487484, 52.87403119674414), (89.47064794409886, 53.69536021058056), (89.701817273153, 54.5175155513609), (89.93431186366348, 55.34047318274089), (90.16734073229877, 56.164209596613865), (90.40013534751243, 56.988701805314655), (90.63195057771178, 57.81392733388056), (90.86206560085502, 58.639864212370725), (91.08978477547633, 59.4664909682437), (91.3144384731376, 60.29378661879221), (91.53538387230904, 61.12173066363684), (91.75200571367674, 61.95030307727692), (91.96371701687784, 62.77948430169977), (92.16995975866419, 63.60925523904795), (92.37020551249235, 64.43959724434401), (92.56395604954272, 65.27049211827398), (92.7507439011653, 66.10192210002802), (92.93013288275345, 66.9338698601996), (93.10171857904574, 67.76631849374253), (93.26512879085443, 68.59925151298555), (93.42002394322307, 69.43265284070563), (93.56609745501042, 70.26650680325858), (93.70307606990282, 71.10079812376792), (93.83072014885423, 71.93551191537182), (93.94882392395324, 72.77063367452752), (94.057215713719, 73.60614927437447), (94.1557580998235, 74.44204495815478), (94.24434806524232, 75.27830733269184), (94.32291709383317, 76.11492336192728), (94.3914312313411, 76.95188036051505), (94.4498911078329, 77.7891659874745), (94.49833192155779, 78.62676823990061), (94.53682338423657, 79.46467544673251), (94.56546962777841, 80.30287626258021), (94.5844090724246, 81.14135966160852), (94.59381425632127, 81.98011493148007), (94.59389162651841, 82.81913166735524), (94.5848812913975, 83.6583997659506), (94.56705673452657, 84.4979094196554), (94.54072448994258, 85.33765111070556), (94.50622377886201, 86.17761560541611), (94.46392610781893, 87.01779394847136), (94.41423482823052, 87.85817745727299), (94.35758465739059, 88.6987577163463), (94.29444116089059, 89.53952657180423), (94.22530019646834, 90.38047612586959), (94.15068731928454, 91.22159873145488), (94.0711571486267, 92.06288698680048), (93.98729269604107, 92.90433373017059), (93.89970465489196, 93.74593203460708), (93.80903065134895, 94.58767520274165), (93.71593445680156, 95.42955676166534), (93.62110516170196, 96.27157045785673), (93.52525631083485, 97.11371025216756), (93.42912500001546, 97.95597031486658), (93.33347093421497, 98.79834502074132), (93.23907544711383, 99.64082894425776), (93.1467404820824, 100.48341685477804), (93.05728753458959, 101.32610371183605), (92.9715565560392, 102.16888466047125), (92.89040481903356, 103.01175502662005), (92.81470574406526, 103.85471031256542), (92.7453476876364, 104.69774619244443), (92.68323269180533, 105.54085850781382), (92.62927519516153, 106.38404326327334), (92.58440070522755, 107.22729662214721), (92.54954443228927, 108.07061490222358), (92.52564988465323, 108.91399457155177), (92.51366742533226, 109.7574322442977), (92.51455279015808, 110.60092467665714), (92.52926556732228, 111.44446876282706), (92.55876763834445, 112.28806153103469), (92.60402158046827, 113.13170013962484), (92.66598903048518, 113.97538187320507), (92.74562900998568, 114.81910413884877), (92.84389621203852, 115.66286446235637), (92.96173924929718, 116.50666048457418), (93.10009886353448, 117.35048995777166), (93.25990609660454, 118.19435074207634), (93.4420804228325, 119.03824080196674), (93.647527842832, 119.8821582028234), (93.87713893875026, 120.72610110753773), (94.1317868909408, 121.57006777317883), (94.41232545606393, 122.41405654771849), (94.71958690661494, 123.25806586681378), (95.05437993187977, 124.10209425064805), (95.41748750031857, 124.9461403008295), (95.80966468337682, 125.790202697348), (96.23163644072423, 126.63428019558971), (96.68409536692111, 127.47837162340969), (97.16769939951271, 128.32247587826262), (97.68306948855101, 129.16659192439133), (98.23078722754423, 130.01071879007327), (98.81139244583406, 130.85485556492517), (99.42538076240061, 131.69900139726536), (100.07320110109484, 132.54315549153435), (100.75525316729903, 133.3873171057732), (101.47188488601446, 134.23148554915994), (102.22338980137715, 135.0756601796038), (103.01000443760105, 135.91984040139766), (103.83190562134911, 136.7640256629283), (104.68920776553176, 137.60821545444466), (105.5819601145333, 138.45240930588403), (106.51014395086591, 139.2966067847562), (107.47366976325122, 140.14080749408575), (108.47237437612966, 140.98501107041204), (109.50601804059755, 141.82921718184744), (110.57428148677167, 142.6734255261932), (111.67676293758174, 143.51763582911366), (112.81297508399037, 144.3618478423681), (113.98234202164076, 145.20606134210078), (115.18419614893226, 146.05027612718897), (116.4177750265232, 146.8944920176486), (117.6822181982618, 147.7387088530982), (118.97656397354453, 148.58292649128094), (120.29974617110224, 149.42714480664415), (121.65059082421395, 150.27136368897732), (123.02781284734822, 151.11558304210763), (124.43001266423232, 151.95980278265375), (125.85567279734909, 152.8040228388375), (127.30315441886134, 153.6482431493535), (128.7706938629641, 154.4924636622968), (130.25639909966435, 155.3366843341483), (131.75824616998858, 156.18090512881844), (133.27407558261794, 157.02512601674863), (134.80158867195127, 157.86934697407085), (136.3383439175954, 158.71356798182492), (137.88175322528357, 159.55778902523394), (139.42907816922113, 160.40201009303775), (140.9774261958593, 161.2462311768842), (142.52374678909626, 162.09045227077848), (144.06482759690627, 162.93467337059047), (145.597290519396, 163.77889447361977), (147.1175877582891, 164.62311557821923), (148.6219978278379, 165.4673366834758), (150.10662152716318, 166.31155778894987), (151.56737787402147, 167.15577889447243), (153.0, 168.0)]",FAIL,Car drove out of the lane gabe_search_variants_results\gabe_search_variant_c\POP-25_cxpb-0.9_mutpb-0.9\12-RUN_POP-25_cxpb-0.9_mutpb-0.9_05032022-033715/sim_test_1780_05032022-033715,05032022-040545
