POP,MUTPB,CXPB,Test Run,Tests,Passed,Invalid,Failed,P(fail),Frechet,Spars.,TTF
50,0.95,0.95,1,167,132,34,1,0.006,nan,nan,129
50,0.95,0.95,2,157,120,35,2,0.0127,3.48,8.617,151
50,0.95,0.95,3,172,119,37,16,0.093,2.4,6.526,25
50,0.95,0.95,4,167,128,39,0,0.0,nan,nan,nan
50,0.95,0.95,5,188,134,54,0,0.0,nan,nan,nan
50,0.95,0.95,6,175,129,38,8,0.0457,5.18,10.696,85
50,0.95,0.95,7,172,134,34,4,0.0233,0.97,7.226,1
50,0.95,0.95,8,159,132,26,1,0.0063,nan,nan,137
50,0.95,0.95,9,189,147,42,0,0.0,nan,nan,nan
50,0.95,0.95,10,179,127,37,15,0.0838,1.33,6.771,46
75,0.1,0.7,1,185,116,42,27,0.1459,9.39,14.043,24
75,0.1,0.7,2,186,131,53,2,0.0108,0.0,6.676,140
75,0.1,0.7,3,175,129,46,0,0.0,nan,nan,nan
75,0.1,0.7,4,177,141,36,0,0.0,nan,nan,nan
75,0.1,0.7,5,186,133,51,2,0.0108,70.09,15.827,3
75,0.1,0.7,6,188,139,49,0,0.0,nan,nan,nan
75,0.1,0.7,7,184,132,49,3,0.0163,0.37,13.919,128
75,0.1,0.7,8,187,131,56,0,0.0,nan,nan,nan
75,0.1,0.7,9,185,135,50,0,0.0,nan,nan,nan
75,0.1,0.7,10,201,137,64,0,0.0,nan,nan,nan
75,0.1,0.8,1,175,136,39,0,0.0,nan,nan,nan
75,0.1,0.8,2,191,132,59,0,0.0,nan,nan,nan
75,0.1,0.8,3,195,138,57,0,0.0,nan,nan,nan
75,0.1,0.8,4,188,129,52,7,0.0372,0.0,5.185,57
75,0.1,0.8,5,178,136,42,0,0.0,nan,nan,nan
75,0.1,0.8,6,192,133,52,7,0.0365,47.15,18.617,55
75,0.1,0.8,7,191,126,42,23,0.1204,0.29,5.327,40
75,0.1,0.8,8,188,131,50,7,0.0372,14.83,15.494,22
75,0.1,0.8,9,183,142,41,0,0.0,nan,nan,nan
75,0.1,0.8,10,181,139,42,0,0.0,nan,nan,nan
75,0.1,0.9,1,193,139,54,0,0.0,nan,nan,nan
75,0.1,0.9,2,188,135,53,0,0.0,nan,nan,nan
75,0.1,0.9,3,195,133,62,0,0.0,nan,nan,nan
75,0.1,0.9,4,178,134,44,0,0.0,nan,nan,nan
75,0.1,0.9,5,190,132,58,0,0.0,nan,nan,nan
75,0.1,0.9,6,182,138,44,0,0.0,nan,nan,nan
75,0.1,0.9,7,181,127,41,13,0.0718,36.65,19.637,23
75,0.1,0.9,8,186,130,53,3,0.0161,0.0,9.231,36
75,0.1,0.9,9,182,130,42,10,0.0549,37.39,16.181,51
75,0.1,0.9,10,174,134,40,0,0.0,nan,nan,nan
75,0.1,0.95,1,177,126,48,3,0.0169,0.0,2.468,92
75,0.1,0.95,2,178,130,43,5,0.0281,0.0,7.068,21
