individual,road_points,test_outcome,description,timestamp
"[[88.41367279582924, 20, 49, 97, 187, 122, 68], [5.0, 28, 56, 84, 112, 140, 168]]","[(88.41367279582924, 5.0), (86.38764913914747, 5.695348586589357), (84.43424122544292, 6.394409486632874), (82.5522890298808, 7.097108271086306), (80.74065434747489, 7.803371635744042), (78.99822007776666, 8.51312738984853), (77.32388951998877, 9.226304444757629), (75.71658567871434, 9.942832802669944), (74.1752505799916, 10.662643545408132), (72.69884459796347, 11.385668823260175), (71.28634579197303, 12.11184184387861), (69.93674925415374, 12.841096861237734), (68.64906646750514, 13.573369164648785), (67.42232467445416, 14.308595067833089), (66.25556625590107, 15.046711898053116), (65.14784812075159, 15.78765798530163), (64.09824110593357, 16.531372651548672), (63.10582938689946, 17.277796200046602), (62.16970989861374, 18.026869904693072), (61.28899176702584, 18.77853599945192), (60.462795751028445, 19.53273766783217), (59.69025369490096, 20.289419032424842), (58.970507991238314, 21.048525144497845), (58.30271105436509, 21.81000197364873), (57.686024804234876, 22.57379639751554), (57.119620160815174, 23.339856191545493), (56.602676548957334, 24.10813001882178), (56.134381413751925, 24.878567419948148), (55.713929746369416, 25.651118802991668), (55.340523620386094, 26.425735433483204), (55.01337173859541, 27.202369424476156), (54.73168899030449, 27.980973726662906), (54.4946960191161, 28.76150211854939), (54.30161880119584, 29.543909196687586), (54.15168823402447, 30.32815036596588), (54.04413973563601, 31.114181829957655), (53.97821285434063, 31.90196058132752), (53.953150888933195, 32.69144439229578), (53.968200519387, 33.482591805160716), (54.02261144803259, 34.275362122878825), (54.11563605122256, 35.06971539970322), (54.24652904148068, 35.8656124318797), (54.41454714013724, 36.66301474840105), (54.61894876044925, 37.461884601819186), (54.85899370120574, 38.26218495911522), (55.133942850819146, 39.06387949262768), (55.44305790190092, 39.866932571038404), (55.78560107632355, 40.67130925041677), (56.160834860767054, 41.47697526532155), (56.568021752751065, 42.28389701996089), (57.00642401715254, 43.09204157941034), (57.475303453208184, 43.901376660888666), (57.97392117200264, 44.71187062509173), (58.50153738444177, 45.52349246758435), (59.057411199711275, 46.33621181025009), (59.64080043422086, 47.14999889279914), (60.2509614310331, 47.96482456433373), (60.88714888977844, 48.780660274972306), (61.54861570705478, 49.59747806753081), (62.23461282731269, 50.415250569262454), (62.94438910422617, 51.23395098365552), (63.677191172547914, 52.05355308228851), (64.43226333045104, 52.87403119674414), (65.20884743235506, 53.69536021058056), (66.00618279223764, 54.5175155513609), (66.82350609743202, 55.34047318274089), (67.66005133290865, 56.164209596613865), (68.51504971604359, 56.988701805314655), (69.3877296418709, 57.81392733388056), (70.2773166388211, 58.639864212370725), (71.18303333494487, 59.4664909682437), (72.1040994346215, 60.29378661879221), (73.03973170575365, 61.12173066363684), (73.9891439774463, 61.95030307727692), (74.95154714817181, 62.77948430169977), (75.92614920442011, 63.60925523904795), (76.91215524983372, 64.43959724434401), (77.90876754482889, 65.27049211827398), (78.91518555670137, 66.10192210002802), (79.93060602021778, 66.9338698601996), (80.9542230086924, 67.76631849374253), (81.98522801554869, 68.59925151298555), (83.02281004636714, 69.43265284070563), (84.06615572141733, 70.26650680325858), (85.11444938867592, 71.10079812376792), (86.16687324733014, 71.93551191537182), (87.2226074817656, 72.77063367452752), (88.28083040604082, 73.60614927437447), (89.34071861884574, 74.44204495815478), (90.40144716894642, 75.27830733269184), (91.46218973111479, 76.11492336192728), (92.52211879254327, 76.95188036051505), (93.58040584974562, 77.7891659874745), (94.6362216159422, 78.62676823990061), (95.68873623893097, 79.46467544673251), (96.73711952944397, 80.30287626258021), (97.78054119998829, 81.14135966160852), (98.81817111417372, 81.98011493148007), (99.84917954652428, 82.81913166735524), (100.87273745277585, 83.6583997659506), (101.88801675065925, 84.4979094196554), (102.89419061116782, 85.33765111070556), (103.89043376031114, 86.17761560541611), (104.8759227913538, 87.01779394847136), (105.84983648753905, 87.85817745727299), (106.8113561552984, 88.6987577163463), (107.75966596794629, 89.53952657180423), (108.69395331985969, 90.38047612586959), (109.61340919114365, 91.22159873145488), (110.51722852278166, 92.06288698680048), (111.40461060227167, 92.90433373017059), (112.27475945974696, 93.74593203460708), (113.12688427458296, 94.58767520274165), (113.96019979248874, 95.42955676166534), (114.7739267530842, 96.27157045785673), (115.56729232796242, 97.11371025216756), (116.33953056923744, 97.95597031486658), (117.08988286857708, 98.79834502074132), (117.81759842672146, 99.64082894425776), (118.52193473348646, 100.48341685477804), (119.20215805825265, 101.32610371183605), (119.85754395093961, 102.16888466047125), (120.48737775346541, 103.01175502662005), (121.09095512169137, 103.85471031256542), (121.66758255785237, 104.69774619244443), (122.21657795347217, 105.54085850781382), (122.73727114276426, 106.38404326327334), (123.22900446651785, 107.22729662214721), (123.69113334646936, 108.07061490222358), (124.12302687015894, 108.91399457155177), (124.52406838627263, 109.7574322442977), (124.89365611046956, 110.60092467665714), (125.23120374169454, 111.44446876282706), (125.53614108897611, 112.28806153103469), (125.80791470870957, 113.13170013962484), (126.04598855242564, 113.97538187320507), (126.24984462504423, 114.81910413884877), (126.41898365361364, 115.66286446235637), (126.55292576653493, 116.50666048457418), (126.65121118327174, 117.35048995777166), (126.71340091454536, 118.19435074207634), (126.73907747301499, 119.03824080196674), (126.72784559444364, 119.8821582028234), (126.67933296934878, 120.72610110753773), (126.59319098513903, 121.57006777317883), (126.46909547873538, 122.41405654771849), (126.30674749967837, 123.25806586681378), (126.10587408372017, 124.10209425064805), (125.86622903690211, 124.9461403008295), (125.58759373011759, 125.790202697348), (125.2697779041601, 126.63428019558971), (124.91262048525672, 127.47837162340969), (124.51599041108689, 128.32247587826262), (124.07978746728641, 129.16659192439133), (123.60394313443685, 130.01071879007327), (123.08842144554022, 130.85485556492517), (122.53321985397886, 131.69900139726536), (121.9383701119609, 132.54315549153435), (121.30393915945065, 133.3873171057732), (120.63003002358465, 134.23148554915994), (119.9167827285728, 135.0756601796038), (119.16437521608488, 135.91984040139766), (118.37302427612245, 136.7640256629283), (117.54298648837582, 137.60821545444466), (116.67455917406662, 138.45240930588403), (115.76808135827554, 139.2966067847562), (114.82393474275526, 140.14080749408575), (113.84254468922896, 140.98501107041204), (112.82438121317382, 141.82921718184744), (111.76995998809014, 142.6734255261932), (110.67984336025555, 143.51763582911366), (109.55464137396456, 144.3618478423681), (108.39501280725358, 145.20606134210078), (107.20166621811089, 146.05027612718897), (105.9753610011724, 146.8944920176486), (104.71690845490231, 147.7387088530982), (103.42717285925926, 148.58292649128094), (102.10707256384785, 149.42714480664415), (100.75758108655515, 150.27136368897732), (99.37972822267295, 151.11558304210763), (97.97460116450512, 151.95980278265375), (96.54334563146007, 152.8040228388375), (95.08716701062893, 153.6482431493535), (93.60733150784864, 154.4924636622968), (92.10516730925065, 155.3366843341483), (90.58206575329481, 156.18090512881844), (89.03948251328845, 157.02512601674863), (87.47893879039101, 157.86934697407085), (85.90202251710372, 158.71356798182492), (84.3103895712448, 159.55778902523394), (82.70576500040988, 160.40201009303775), (81.08994425691772, 161.2462311768842), (79.46479444324123, 162.09045227077848), (77.83225556792372, 162.93467337059047), (76.19434181198076, 163.77889447361977), (74.55314280578698, 164.62311557821923), (72.91082491644835, 165.4673366834758), (71.26963254565982, 166.31155778894987), (69.63188943804815, 167.15577889447243), (68.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-50_cxpb-0.7_mutpb-0.7\1-RUN_POP-50_cxpb-0.7_mutpb-0.7_31052022-082230/sim_test_27123_31052022-082230,31052022-084356
"[[108.0953583214596, 20, 106, 51, 195, 133, 118], [5.0, 28, 56, 84, 112, 140, 168]]","[(108.0953583214596, 5.0), (105.50436697617822, 5.695348586589357), (103.0405515994982, 6.394409486632874), (100.69933570874713, 7.097108271086306), (98.47628681293918, 7.803371635744042), (96.36711326385449, 8.51312738984853), (94.36766113961548, 9.226304444757629), (92.47391116076115, 9.942832802669944), (90.681975638819, 10.662643545408132), (88.9880954573744, 11.385668823260175), (87.3886370856381, 12.11184184387861), (85.88008962451069, 12.841096861237734), (84.4590618851453, 13.573369164648785), (83.12227950000775, 14.308595067833089), (81.86658206643396, 15.046711898053116), (80.68892032268582, 15.78765798530163), (79.5863533565039, 16.531372651548672), (78.55604584615844, 17.277796200046602), (77.59526533399745, 18.026869904693072), (76.70137953249277, 18.77853599945192), (75.87185366278375, 19.53273766783217), (75.10424782571863, 20.289419032424842), (74.39621440539334, 21.048525144497845), (73.74549550518807, 21.81000197364873), (73.14992041630154, 22.57379639751554), (72.60740311878293, 23.339856191545493), (72.11593981506134, 24.10813001882178), (71.67360649597296, 24.878567419948148), (71.27855653928594, 25.651118802991668), (70.92901834072269, 26.425735433483204), (70.62329297748019, 27.202369424476156), (70.35975190424762, 27.980973726662906), (70.13683468172185, 28.76150211854939), (69.9530467376204, 29.543909196687586), (69.80695716019207, 30.32815036596588), (69.6971965242255, 31.114181829957655), (69.62245474955495, 31.90196058132752), (69.5814789920641, 32.69144439229578), (69.57307156718718, 33.482591805160716), (69.59608790590784, 34.275362122878825), (69.64943454325609, 35.06971539970322), (69.73206713930202, 35.8656124318797), (69.84298853264805, 36.66301474840105), (69.98124682641833, 37.461884601819186), (70.14593350674565, 38.26218495911522), (70.33618159375679, 39.06387949262768), (70.55116382505433, 39.866932571038404), (70.79009087169729, 40.67130925041677), (71.05220958667856, 41.47697526532155), (71.33680128590028, 42.28389701996089), (71.64318006164716, 43.09204157941034), (71.97069112855681, 43.901376660888666), (72.3187092020884, 44.71187062509173), (72.6866369094883, 45.52349246758435), (73.07390323325392, 46.33621181025009), (73.4799619870951, 47.14999889279914), (73.90429032439256, 47.96482456433373), (74.34638727915505, 48.780660274972306), (74.80577233947312, 49.59747806753081), (75.28198405347105, 50.415250569262454), (75.77457866775676, 51.23395098365552), (76.2831287983682, 52.05355308228851), (76.80722213421883, 52.87403119674414), (77.34646017303979, 53.69536021058056), (77.90045698981983, 54.5175155513609), (78.46883803774354, 55.34047318274089), (79.051238981626, 56.164209596613865), (79.64730456384652, 56.988701805314655), (80.25668750277892, 57.81392733388056), (80.87904742371983, 58.639864212370725), (81.514049822315, 59.4664909682437), (82.16136506048235, 60.29378661879221), (82.82066739483388, 61.12173066363684), (83.49163403759407, 61.95030307727692), (84.1739442500166, 62.77948430169977), (84.86727846829875, 63.60925523904795), (85.57131746199283, 64.43959724434401), (86.285741524916, 65.27049211827398), (87.01022969855741, 66.10192210002802), (87.74445902798269, 66.9338698601996), (88.48810385023683, 67.76631849374253), (89.24083511524367, 68.59925151298555), (90.00231973920431, 69.43265284070563), (90.77221999049192, 70.26650680325858), (91.55019290804502, 71.10079812376792), (92.33588975225824, 71.93551191537182), (93.12895548837014, 72.77063367452752), (93.92902830234989, 73.60614927437447), (94.73573914928025, 74.44204495815478), (95.54871133423914, 75.27830733269184), (96.36756012567865, 76.11492336192728), (97.191892401301, 76.95188036051505), (98.02130632643352, 77.7891659874745), (98.85539106489986, 78.62676823990061), (99.69372652238971, 79.46467544673251), (100.53588312232623, 80.30287626258021), (101.38142161422995, 81.14135966160852), (102.22989291458235, 81.98011493148007), (103.08083798018501, 82.81913166735524), (103.93378771401767, 83.6583997659506), (104.78826290359382, 84.4979094196554), (105.64377419181315, 85.33765111070556), (106.49982208031271, 86.17761560541611), (107.35589696531504, 87.01779394847136), (108.21147920597399, 87.85817745727299), (109.06603922521846, 88.6987577163463), (109.9190376430937, 89.53952657180423), (110.76992544260001, 90.38047612586959), (111.61814416802939, 91.22159873145488), (112.46312615579973, 92.06288698680048), (113.30429479778653, 92.90433373017059), (114.14106483715248, 93.74593203460708), (114.97284269667469, 94.58767520274165), (115.79902683956902, 95.42955676166534), (116.6190081628131, 96.27157045785673), (117.43217042296585, 97.11371025216756), (118.23789069448554, 97.95597031486658), (119.03553986054494, 98.79834502074132), (119.82448313634444, 99.64082894425776), (120.60408062492263, 100.48341685477804), (121.3736879054646, 101.32610371183605), (122.1326566541079, 102.16888466047125), (122.88033529724618, 103.01175502662005), (123.61606969733019, 103.85471031256542), (124.33920387116699, 104.69774619244443), (125.04908074071619, 105.54085850781382), (125.74504291638432, 106.38404326327334), (126.42643351281649, 107.22729662214721), (127.09259699718606, 108.07061490222358), (127.74288006998142, 108.91399457155177), (128.37663257829112, 109.7574322442977), (128.993208461586, 110.60092467665714), (129.5919667299993, 111.44446876282706), (130.17227247510465, 112.28806153103469), (130.73349791319077, 113.13170013962484), (131.2750234610352, 113.97538187320507), (131.7962388441743, 114.81910413884877), (132.29654423767204, 115.66286446235637), (132.7753514393856, 116.50666048457418), (133.23208507572895, 117.35048995777166), (133.6661838399344, 118.19435074207634), (134.077101762811, 119.03824080196674), (134.4643095160015, 119.8821582028234), (134.82729574773614, 120.72610110753773), (135.1655684510848, 121.57006777317883), (135.47865636470604, 122.41405654771849), (135.7661104060946, 123.25806586681378), (136.02750513732602, 124.10209425064805), (136.2624402632988, 124.9461403008295), (136.47054216247486, 125.790202697348), (136.65146545011692, 126.63428019558971), (136.80489457402385, 127.47837162340969), (136.93054544276376, 128.32247587826262), (137.02816708640464, 129.16659192439133), (137.09754334974252, 130.01071879007327), (137.1384946180275, 130.85485556492517), (137.15087957518713, 131.69900139726536), (137.1345969945479, 132.54315549153435), (137.08958756205396, 133.3873171057732), (137.01583573198343, 134.23148554915994), (136.91337161516296, 135.0756601796038), (136.78227289967919, 135.91984040139766), (136.62266680408828, 136.7640256629283), (136.43473206312314, 137.60821545444466), (136.218700945898, 138.45240930588403), (135.97486130661085, 139.2966067847562), (135.7035586677435, 140.14080749408575), (135.40519833575922, 140.98501107041204), (135.08024754929806, 141.82921718184744), (134.72923765986985, 142.6734255261932), (134.35276634504487, 143.51763582911366), (133.9514998541419, 144.3618478423681), (133.52617528641443, 145.20606134210078), (133.07760290173397, 146.05027612718897), (132.60666846377137, 146.8944920176486), (132.11433561567563, 147.7387088530982), (131.60164828825043, 148.58292649128094), (131.06973314062827, 149.42714480664415), (130.5198020334422, 150.27136368897732), (129.9531545344953, 151.11558304210763), (129.37118045692782, 151.95980278265375), (128.77536242988174, 152.8040228388375), (128.16727850166336, 153.6482431493535), (127.5486047754031, 154.4924636622968), (126.92111807721336, 155.3366843341483), (126.28669865684378, 156.18090512881844), (125.64733292083406, 157.02512601674863), (125.00511619816481, 157.86934697407085), (124.36225553840559, 158.71356798182492), (123.72107254236089, 159.55778902523394), (123.08400622521376, 160.40201009303775), (122.45361591216682, 161.2462311768842), (121.83258416658134, 162.09045227077848), (121.22371975061347, 162.93467337059047), (120.6299606183485, 163.77889447361977), (120.05437694143272, 164.62311557821923), (119.50017416720269, 165.4673366834758), (118.9706961093124, 166.31155778894987), (118.46942807085799, 167.15577889447243), (118.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-50_cxpb-0.7_mutpb-0.7\1-RUN_POP-50_cxpb-0.7_mutpb-0.7_31052022-082230/sim_test_27237_31052022-082230,31052022-085536
"[[113.01958219896481, 16, 83, 67, 194, 128, 84], [5.0, 28, 56, 84, 112, 140, 168]]","[(113.01958219896481, 5.0), (110.15587332498839, 5.695348586589357), (107.4127198852678, 6.394409486632874), (104.78652035731366, 7.097108271086306), (102.27377708166794, 7.803371635744042), (99.87109393626426, 8.51312738984853), (97.57517403569092, 9.226304444757629), (95.382817455357, 9.942832802669944), (93.29091898056164, 10.662643545408132), (91.29646588046613, 11.385668823260175), (89.39653570696929, 12.11184184387861), (87.58829411848586, 12.841096861237734), (85.86899272862752, 13.573369164648785), (84.23596697978762, 14.308595067833089), (82.68663404162815, 15.046711898053116), (81.21849073447069, 15.78765798530163), (79.82911147758944, 16.531372651548672), (78.51614626240796, 17.277796200046602), (77.27731865059866, 18.026869904693072), (76.1104237970852, 18.77853599945192), (75.01332649794841, 19.53273766783217), (73.98395926323474, 20.289419032424842), (73.02032041466794, 21.048525144497845), (72.12047220826386, 21.81000197364873), (71.28253898184796, 22.57379639751554), (70.50470532747651, 23.339856191545493), (69.78521428875997, 24.10813001882178), (69.12236558309017, 24.878567419948148), (68.51451384876997, 25.651118802991668), (67.96006691704625, 26.425735433483204), (67.45748410904596, 27.202369424476156), (67.00527455761495, 27.980973726662906), (66.60199555406015, 28.76150211854939), (66.2462509197946, 29.543909196687586), (65.93668940288528, 30.32815036596588), (65.67200309950464, 31.114181829957655), (65.45092590028456, 31.90196058132752), (65.27223196157351, 32.69144439229578), (65.13473420159694, 33.482591805160716), (65.03728282152022, 34.275362122878825), (64.9787638514155, 35.06971539970322), (64.95809772113037, 35.8656124318797), (64.97423785606082, 36.66301474840105), (65.02616929782636, 37.461884601819186), (65.1129073498483, 38.26218495911522), (65.23349624783181, 39.06387949262768), (65.38700785514959, 39.866932571038404), (65.57254038313026, 40.67130925041677), (65.78921713624838, 41.47697526532155), (66.03618528221818, 42.28389701996089), (66.31261464699044, 43.09204157941034), (66.61769653465176, 43.901376660888666), (66.9506425722278, 44.71187062509173), (67.31068357938854, 45.52349246758435), (67.69706846305728, 46.33621181025009), (68.10906313692264, 47.14999889279914), (68.54594946585303, 47.96482456433373), (69.00702423521491, 48.780660274972306), (69.49159814509346, 49.59747806753081), (69.99899482941666, 50.415250569262454), (70.52854989998235, 51.23395098365552), (71.07961001538801, 52.05355308228851), (71.65153197486414, 52.87403119674414), (72.24368183701017, 53.69536021058056), (72.85543406343355, 54.5175155513609), (73.48617068729226, 55.34047318274089), (74.13528050673939, 56.164209596613865), (74.80215830327208, 56.988701805314655), (75.48620408498233, 57.81392733388056), (76.18682235471141, 58.639864212370725), (76.90342140310739, 59.4664909682437), (77.63541262658512, 60.29378661879221), (78.38220987019015, 61.12173066363684), (79.1432287953648, 61.95030307727692), (79.91788627261766, 62.77948430169977), (80.70559979909649, 63.60925523904795), (81.50578694106318, 64.43959724434401), (82.31786480127282, 65.27049211827398), (83.14124951125514, 66.10192210002802), (83.97535574849911, 66.9338698601996), (84.81959627854084, 67.76631849374253), (85.67338152195391, 68.59925151298555), (86.53611914624364, 69.43265284070563), (87.40721368264347, 70.26650680325858), (88.28606616781495, 71.10079812376792), (89.1720738104508, 71.93551191537182), (90.06462968278028, 72.77063367452752), (90.96312243697875, 73.60614927437447), (91.86693604647918, 74.44204495815478), (92.77544957218733, 75.27830733269184), (93.68803695359995, 76.11492336192728), (94.60406682482537, 76.95188036051505), (95.52290235550815, 77.7891659874745), (96.44390111665597, 78.62676823990061), (97.36641497136968, 79.46467544673251), (98.2897899904769, 80.30287626258021), (99.2133663930677, 81.14135966160852), (100.13647851193456, 81.98011493148007), (101.05845478391406, 82.81913166735524), (101.97861776513255, 83.6583997659506), (102.89628417115466, 84.4979094196554), (103.81076494203438, 85.33765111070556), (104.72136533226968, 86.17761560541611), (105.62738502566012, 87.01779394847136), (106.52811827506713, 87.85817745727299), (107.42285406707776, 88.6987577163463), (108.31087631157128, 89.53952657180423), (109.19146405618855, 90.38047612586959), (110.06389172570509, 91.22159873145488), (110.92742938630636, 92.06288698680048), (111.78134303476686, 92.90433373017059), (112.62489491253159, 93.74593203460708), (113.45734384470111, 94.58767520274165), (114.27794560391919, 95.42955676166534), (115.08595329916378, 96.27157045785673), (115.88061778944086, 97.11371025216756), (116.66118812238145, 97.95597031486658), (117.42691199774148, 98.79834502074132), (118.17703625580496, 99.64082894425776), (118.91080739068984, 100.48341685477804), (119.62747208855721, 101.32610371183605), (120.32627779072341, 102.16888466047125), (121.00647328167514, 103.01175502662005), (121.66730930198763, 103.85471031256542), (122.30803918614595, 104.69774619244443), (122.92791952526912, 105.54085850781382), (123.52621085473756, 106.38404326327334), (124.10217836672324, 107.22729662214721), (124.6550926476233, 108.07061490222358), (125.18423044039608, 108.91399457155177), (125.68887543180084, 109.7574322442977), (126.1683190645401, 110.60092467665714), (126.6218613743052, 111.44446876282706), (127.04881185172472, 112.28806153103469), (127.44849032921617, 113.13170013962484), (127.82022789274052, 113.97538187320507), (128.16336781845988, 114.81910413884877), (128.47726653429808, 115.66286446235637), (128.76129460640456, 116.50666048457418), (129.01483775052083, 117.35048995777166), (129.23729786825055, 118.19435074207634), (129.42809410823207, 119.03824080196674), (129.58666395221454, 119.8821582028234), (129.7124643260365, 120.72610110753773), (129.80497273550804, 121.57006777317883), (129.8636884271956, 122.41405654771849), (129.88813357411004, 123.25806586681378), (129.8778544862976, 124.10209425064805), (129.83242284633388, 124.9461403008295), (129.75143696972123, 125.790202697348), (129.6345230901885, 126.63428019558971), (129.48133666989435, 127.47837162340969), (129.2915637345335, 128.32247587826262), (129.06492223334592, 129.16659192439133), (128.80116342402908, 130.01071879007327), (128.5000732825532, 130.85485556492517), (128.16147393787958, 131.69900139726536), (127.78522513158212, 132.54315549153435), (127.37122570237156, 133.3873171057732), (126.9194150955229, 134.23148554915994), (126.429774897206, 135.0756601796038), (125.902330393719, 135.91984040139766), (125.33715215562488, 136.7640256629283), (124.73435764679097, 137.60821545444466), (124.09411285833167, 138.45240930588403), (123.41663396745405, 139.2966067847562), (122.70218902120645, 140.14080749408575), (121.95109964513033, 140.98501107041204), (121.16374277681483, 141.82921718184744), (120.34055242435483, 142.6734255261932), (119.48202144971143, 143.51763582911366), (118.58870337697613, 144.3618478423681), (117.66121422553745, 145.20606134210078), (116.70023436815097, 146.05027612718897), (115.70651041391233, 146.8944920176486), (114.68085711613311, 147.7387088530982), (113.62415930511995, 148.58292649128094), (112.53737384585656, 149.42714480664415), (111.42153162058877, 150.27136368897732), (110.2777395363128, 151.11558304210763), (109.10718255716625, 151.95980278265375), (107.91112576172247, 152.8040228388375), (106.69091642518771, 153.6482431493535), (105.44798612650122, 154.4924636622968), (104.18385288033892, 155.3366843341483), (102.90012329401944, 156.18090512881844), (101.5984947493136, 157.02512601674863), (100.28075760915684, 157.86934697407085), (98.94879744926455, 158.71356798182492), (97.60459731465068, 159.55778902523394), (96.2502400010492, 160.40201009303775), (94.88791036123861, 161.2462311768842), (93.5198976362696, 162.09045227077848), (92.14859781159551, 162.93467337059047), (90.77651599810618, 163.77889447361977), (89.4062688380645, 164.62311557821923), (88.04058693594624, 165.4673366834758), (86.6823173141826, 166.31155778894987), (85.33442589380628, 167.15577889447243), (84.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-50_cxpb-0.7_mutpb-0.7\1-RUN_POP-50_cxpb-0.7_mutpb-0.7_31052022-082230/sim_test_27378_31052022-082230,31052022-091716
