individual,road_points,test_outcome,description,timestamp
"[[99.14056985327404, 20, 99, 48, 158, 46, 136], [5.0, 28, 56, 84, 112, 140, 168]]","[(99.14056985327404, 5.0), (96.81359648657332, 5.695348586589357), (94.60211279427014, 6.394409486632874), (92.50192701079513, 7.097108271086306), (90.50897460267365, 7.803371635744042), (88.6193154566468, 8.51312738984853), (86.82913109948954, 9.226304444757629), (85.13472194952733, 9.942832802669944), (83.53250459985156, 10.662643545408132), (82.01900913323219, 11.385668823260175), (80.59087646872965, 12.11184184387861), (79.24485574000414, 12.841096861237734), (77.9778017053238, 13.573369164648785), (76.78667218927042, 14.308595067833089), (75.66852555614393, 15.046711898053116), (74.62051821506498, 15.78765798530163), (73.63990215677556, 16.531372651548672), (72.72402252213797, 17.277796200046602), (71.87031520233211, 18.026869904693072), (71.07630447075059, 18.77853599945192), (70.33960064659269, 19.53273766783217), (69.65789779015601, 20.289419032424842), (69.02897142982656, 21.048525144497845), (68.45067632076704, 21.81000197364873), (67.92094423530328, 22.57379639751554), (67.43778178500905, 23.339856191545493), (66.99926827448894, 24.10813001882178), (66.60355358685956, 24.878567419948148), (66.24885610092888, 25.651118802991668), (65.93346064007372, 26.425735433483204), (65.65571645281588, 27.202369424476156), (65.41403522509579, 27.980973726662906), (65.20688912424508, 28.76150211854939), (65.03280887465691, 29.543909196687586), (64.89038186515458, 30.32815036596588), (64.77825028805873, 31.114181829957655), (64.69510930995216, 31.90196058132752), (64.63970527414344, 32.69144439229578), (64.61083393482835, 33.482591805160716), (64.60733872294955, 34.275362122878825), (64.62810904375507, 35.06971539970322), (64.67207860605394, 35.8656124318797), (64.73822378317112, 36.66301474840105), (64.82556200559998, 37.461884601819186), (64.93315018535304, 38.26218495911522), (65.06008317201163, 39.06387949262768), (65.2054922404725, 39.866932571038404), (65.36854361039394, 40.67130925041677), (65.54843699733941, 41.47697526532155), (65.7444041956193, 42.28389701996089), (65.95570769283157, 43.09204157941034), (66.18163931609982, 43.901376660888666), (66.42151891001014, 44.71187062509173), (66.67469304624595, 45.52349246758435), (66.94053376492103, 46.33621181025009), (67.21843734761114, 47.14999889279914), (67.50782312208295, 47.96482456433373), (67.80813229872251, 48.780660274972306), (68.11882683866077, 49.59747806753081), (68.43938835359779, 50.415250569262454), (68.76931703732562, 51.23395098365552), (69.10813062894815, 52.05355308228851), (69.4553634078008, 52.87403119674414), (69.81056522006702, 53.69536021058056), (70.1733005370938, 54.5175155513609), (70.54314754540539, 55.34047318274089), (70.9196972684145, 56.164209596613865), (71.30255271983287, 56.988701805314655), (71.69132808877913, 57.81392733388056), (72.0856479565851, 58.639864212370725), (72.48514654530085, 59.4664909682437), (72.88946699789696, 60.29378661879221), (73.29826069016605, 61.12173066363684), (73.71118657432187, 61.95030307727692), (74.12791055429675, 62.77948430169977), (74.54810489273758, 63.60925523904795), (74.97144764969933, 64.43959724434401), (75.39762215303762, 65.27049211827398), (75.8263165004989, 66.10192210002802), (76.25722309350907, 66.9338698601996), (76.69003820266039, 67.76631849374253), (77.12446156489632, 68.59925151298555), (77.56019601239508, 69.43265284070563), (77.99694713315091, 70.26650680325858), (78.43442296325375, 71.10079812376792), (78.87233371086747, 71.93551191537182), (79.31039151190556, 72.77063367452752), (79.74831021740592, 73.60614927437447), (80.18580521260311, 74.44204495815478), (80.62259326769941, 75.27830733269184), (81.05839242033377, 76.11492336192728), (81.4929218897488, 76.95188036051505), (81.92590202265674, 77.7891659874745), (82.35705427080266, 78.62676823990061), (82.78610120022667, 79.46467544673251), (83.21276653222398, 80.30287626258021), (83.63677521600299, 81.14135966160852), (84.05785353304235, 81.98011493148007), (84.47572923314529, 82.81913166735524), (84.89013170219286, 83.6583997659506), (85.30079216159518, 84.4979094196554), (85.70744389944066, 85.33765111070556), (86.1098225333439, 86.17761560541611), (86.50766630499153, 87.01779394847136), (86.90071640638621, 87.85817745727299), (87.28871733778901, 88.6987577163463), (87.67141729736002, 89.53952657180423), (88.0485686024971, 90.38047612586959), (88.41992814287278, 91.22159873145488), (88.78525786516951, 92.06288698680048), (89.14432528951315, 92.90433373017059), (89.49690405760452, 93.74593203460708), (89.84277451254944, 94.58767520274165), (90.18172431038647, 95.42955676166534), (90.51354906331366, 96.27157045785673), (90.83805301461274, 97.11371025216756), (91.15504974527202, 97.95597031486658), (91.46436291230732, 98.79834502074132), (91.76582701878121, 99.64082894425776), (92.05928821552031, 100.48341685477804), (92.34460513453101, 101.32610371183605), (92.6216497541133, 102.16888466047125), (92.89030829567282, 103.01175502662005), (93.15048215223118, 103.85471031256542), (93.40208884863439, 104.69774619244443), (93.6450630334597, 105.54085850781382), (93.87935750262056, 106.38404326327334), (94.10494425466956, 107.22729662214721), (94.32181557780015, 108.07061490222358), (94.529985168546, 108.91399457155177), (94.72948928217895, 109.7574322442977), (94.92038791480499, 110.60092467665714), (95.10276601715863, 111.44446876282706), (95.27673474009528, 112.28806153103469), (95.442432711782, 113.13170013962484), (95.60002734658653, 113.97538187320507), (95.74971618566421, 114.81910413884877), (95.89172826924363, 115.66286446235637), (96.02632554060999, 116.50666048457418), (96.15380428178702, 117.35048995777166), (96.27449658091705, 118.19435074207634), (96.38877183133911, 119.03824080196674), (96.49703826236563, 119.8821582028234), (96.59974450175689, 120.72610110753773), (96.69738116989407, 121.57006777317883), (96.79048250565036, 122.41405654771849), (96.87962802396032, 123.25806586681378), (96.96544420508746, 124.10209425064805), (97.04860621558994, 124.9461403008295), (97.1298396609847, 125.790202697348), (97.20992237010965, 126.63428019558971), (97.28968621118415, 127.47837162340969), (97.37001893956753, 128.32247587826262), (97.45186607721625, 129.16659192439133), (97.53623282383879, 130.01071879007327), (97.62418599974909, 130.85485556492517), (97.71685602041805, 131.69900139726536), (97.81543890272337, 132.54315549153435), (97.92119830289747, 133.3873171057732), (98.03546758617372, 134.23148554915994), (98.15965192813094, 135.0756601796038), (98.29523044773597, 135.91984040139766), (98.4437583720846, 136.7640256629283), (98.60686923284064, 137.60821545444466), (98.78627709437322, 138.45240930588403), (98.98377881359234, 139.2966067847562), (99.20125633148267, 140.14080749408575), (99.44067899633544, 140.98501107041204), (99.70410591867869, 141.82921718184744), (99.99368835790571, 142.6734255261932), (100.31167214060154, 143.51763582911366), (100.66040011056805, 144.3618478423681), (101.04231461054681, 145.20606134210078), (101.45995999564046, 146.05027612718897), (101.91598517843227, 146.8944920176486), (102.41314620580381, 147.7387088530982), (102.95430886745096, 148.58292649128094), (103.542451336098, 149.42714480664415), (104.18066683941016, 150.27136368897732), (104.87216636360405, 151.11558304210763), (105.62028138875667, 151.95980278265375), (106.42846665581229, 152.8040228388375), (107.30030296528788, 153.6482431493535), (108.23950000767658, 154.4924636622968), (109.24989922554936, 155.3366843341483), (110.33547670735493, 156.18090512881844), (111.500346112918, 157.02512601674863), (112.74876163063558, 157.86934697407085), (114.0851209663717, 158.71356798182492), (115.51396836405004, 159.55778902523394), (117.0399976579451, 160.40201009303775), (118.66805535667135, 161.2462311768842), (120.40314375887084, 162.09045227077848), (122.25042410059889, 162.93467337059047), (124.21521973440788, 163.77889447361977), (126.30301934012947, 164.62311557821923), (128.51948016735494, 165.4673366834758), (130.87043130961388, 166.31155778894987), (133.36187701025068, 167.15577889447243), (136.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.9_mutpb-0.7\9-RUN_POP-25_cxpb-0.9_mutpb-0.7_27052022-040008/sim_test_7826_27052022-040008,27052022-040928
"[[103.8138249774732, 13.29177802610184, 53, 44.80692884728585, 120.71712125880566, 161, 93], [5.0, 24.64096549785058, 52.65638278408435, 80.20710007905755, 114.91675560738514, 141.58450606259981, 168]]","[(103.8138249774732, 5.0), (101.13339631026744, 5.595339699254735), (98.54895319571251, 6.19689110574798), (96.05788835452029, 6.804525179497548), (93.65766313029204, 7.418116480525006), (91.34580621816922, 8.037543080682468), (89.11991240346217, 8.662686476465963), (86.97764131025716, 9.293431502815517), (84.91671616000184, 9.92966624790176), (82.9349225400688, 10.571281968899273), (81.0301071822977, 11.218173008746476), (79.2001767515157, 11.870236713892224), (77.44309664403558, 12.527373353028976), (75.75688979613325, 13.189486036812635), (74.13963550250219, 13.85648063856896), (72.58946824468771, 14.528265715986715), (71.1045765294981, 15.204752433797351), (69.68320173739514, 15.885854487441351), (68.32363698086213, 16.57148802772126), (67.02422597275078, 17.26157158644119), (65.78336190460607, 17.956026003033212), (64.59948633496968, 18.654774352170104), (63.47108808766128, 19.357741872364947), (62.39670216003865, 20.06485589555723), (61.37490864123559, 20.776045777685578), (60.404331640378665, 21.49124283024726), (59.4836382247817, 22.210380252844125), (58.61153736811897, 22.93339306671532), (57.78677890857655, 23.660218049256585), (57.00815251698181, 24.39079366952615), (56.274486674911586, 25.12506002473735), (55.58464766277825, 25.862958777737777), (54.93753855789435, 26.604433095475112), (54.33209824251537, 27.34942758844962), (53.76730042186085, 28.09788825115314), (53.24215265211396, 28.849762403494942), (52.75569537839903, 29.604998633213974), (52.30700098273779, 30.363546739277893), (51.895172841983545, 31.125357676268678), (51.519344395733725, 31.890383499754797), (51.178678224221144, 32.65857731265027), (50.87236513618277, 33.42989321255995), (50.599623266707574, 34.20428624011187), (50.35969718506225, 34.9817123282759), (50.151857012495185, 35.76212825266911), (49.975397550019174, 36.545491582848), (49.829637416171764, 37.33176063458692), (49.71391819475452, 38.12089442314359), (49.62760359255028, 38.91285261751089), (49.57007860701856, 39.70759549565546), (49.54074870396981, 40.505083900742946), (49.53903900521724, 41.30527919834976), (49.564393486207564, 42.108143234661554), (49.61627418362967, 42.91363829565836), (49.6941604130017, 43.721727067286196), (49.79754799623661, 44.532372596615645), (49.9259484991855, 45.345538253986504), (50.078888479160035, 46.16118769613976), (50.25590874243234, 46.97928483033557), (50.45656361171375, 47.799793779458206), (50.68042020361182, 48.622678848107796), (50.927057716065086, 49.44790448967799), (51.19606672575703, 50.27543527442127), (51.48704849550746, 51.105235858499945), (51.79961429164274, 51.93727095402441), (52.133384711344256, 52.77150530007783), (52.48798901997471, 53.60790363472718), (52.86306449838355, 54.44643066802156), (53.2582558001899, 55.287051055976484), (53.67321431904412, 56.12972937554511), (54.10759756586795, 56.9744301005763), (54.56106855607217, 57.82111757875864), (55.033295206753586, 58.669756009552025), (55.52394974386934, 59.52030942310506), (56.03270811939015, 60.37274166015945), (56.559249438431706, 61.22701635294119), (57.10325539636408, 62.08309690703786), (57.6644097258999, 62.940946484263215), (58.242397654160435, 63.80052798650782), (58.83690536972014, 64.66180404057661), (59.44761949962963, 65.52473698401327), (60.07422659641647, 66.38928885191054), (60.716412635065, 67.25542136470811), (61.3738625199738, 68.12309591697638), (62.046259601891705, 68.9922735671872), (62.73328520483235, 69.86291502847126), (63.43461816296636, 70.73498066036174), (64.14993436749278, 71.60843046152536), (64.87890632348784, 72.4832240634791), (65.6212027167327, 73.35932072529425), (66.37648799051928, 74.23667932928701), (67.1444219324341, 75.11525837769523), (67.92465927112097, 75.99501599034244), (68.71684928302152, 76.87590990328809), (69.52063540909424, 77.75789746846452), (70.33565488151189, 78.64093565430073), (71.16153836033668, 79.52498104733229), (71.9979095801748, 80.40998985479868), (72.84438500680801, 81.29591790822643), (73.7005735038044, 82.18272066799943), (74.56607600910728, 83.07035322891582), (75.44048522160192, 83.95877032673108), (76.32338529766118, 84.84792634568836), (77.21435155766915, 85.7377753270351), (78.11295020252308, 86.62827097852619), (79.01873804011358, 87.5193666849141), (79.93126222178338, 88.41101551942535), (80.85005998876399, 89.30317025622367), (81.77465842859095, 90.19578338385993), (82.70457424149731, 91.08880711970855), (83.63931351678532, 91.98219342539062), (84.57837151917653, 92.87589402318353), (85.52123248514017, 93.76986041341758), (86.46736942919975, 94.66404389285859), (87.41624396021797, 95.5583955740779), (88.36730610766007, 96.45286640580845), (89.31999415783525, 97.34740719428756), (90.27373450011669, 98.24196862558664), (91.22794148313942, 99.1365012889273), (92.18201728097704, 100.03095570098405), (93.1353517692962, 100.92528233117372), (94.08732241148982, 101.81943162793158), (95.0372941547884, 102.71335404597403), (95.98461933634945, 103.60700007454776), (96.92863759932568, 104.50032026666582), (97.86867581891103, 105.39326526933019), (98.80404803836527, 106.2857858547409), (99.7340554150168, 107.17783295249193), (100.65798617624384, 108.06935768275368), (101.57511558543361, 108.96031139044202), (102.4847059179203, 109.85064568037404), (103.38600644690095, 110.74031245341043), (104.27825343932982, 111.62926394358448), (105.16067016179088, 112.51745275621765), (106.03246689634881, 113.40483190702187), (106.89284096637816, 114.29135486218846), (107.74097677237083, 115.17697557946349), (108.57604583772199, 116.06164855021024), (109.39720686449391, 116.9453288424576), (110.20360579915858, 117.82797214493579), (110.99437590831835, 118.70953481209824), (111.76863786440477, 119.58997391013034), (112.52549984135617, 120.46924726394477), (113.26405762027281, 121.34731350516336), (113.98339470505121, 122.22413212108566), (114.68258244799601, 123.0996635046443), (115.36068018541053, 123.97386900534659), (116.01673538316562, 124.84671098120323), (116.64978379224657, 125.71815285164318), (117.25884961427865, 126.58815915141564), (117.84294567703064, 127.45669558547816), (118.40107361989683, 128.32372908487176), (118.9322240893573, 129.1892278635826), (119.4353769444165, 130.05316147639022), (119.90950147201994, 130.9155008777023), (120.35355661244964, 131.77621848137628), (120.76649119469721, 132.63528822152762), (121.14724418181589, 133.49268561432433), (121.49474492625052, 134.34838782076872), (121.80791343514578, 135.20237371046503), (122.08566064563294, 136.05462392637452), (122.3268887100947, 136.90512095055652), (122.5304912914086, 137.75384917089642), (122.6953538681683, 138.6007949488204), (122.82035404988358, 139.44594668799647), (122.9043619021585, 140.28929490402223), (122.94624028184765, 141.13083229509962), (122.94484518219107, 141.97055381369577), (122.89902608792713, 142.80845673919092), (122.80762634038382, 143.64454075151258), (122.6694835125486, 144.4788080057567), (122.483429794116, 145.31126320779524), (122.24829238651411, 146.1419136908704), (121.96289390790888, 146.97076949317562), (121.62605280818701, 147.7978434364229), (121.23658379391705, 148.62315120539714), (120.79329826328886, 149.44671142849683), (120.2950047510312, 150.2685457592616), (119.7405093833078, 151.08867895888605), (119.12861634259157, 151.90713897972063), (118.45812834251737, 152.72395704975884), (117.72784711271268, 153.5391677581112), (116.93657389360695, 154.35280914146588), (116.08310994121899, 155.16492277153586), (115.1662570419228, 155.97555384349272), (114.18481803719166, 156.78475126538729), (113.13759735832045, 157.59256774855643), (112.02340157112643, 158.39905989901717), (110.84103993062804, 159.2042883098468), (109.58932494570236, 160.00831765454984), (108.26707295372056, 160.81121678141199), (106.87310470516181, 161.61305880883995), (105.40624595820546, 162.41392122168864), (103.86532808330142, 163.21388596857466), (102.24918867771902, 164.0130395601763), (100.55667219007398, 164.8114731685206), (98.78663055483388, 165.60928272725639), (96.93792383680164, 166.4065690329147), (95.00942088557773, 167.2034378471553), (93.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.9_mutpb-0.7\9-RUN_POP-25_cxpb-0.9_mutpb-0.7_27052022-040008/sim_test_7945_27052022-040008,27052022-045303
"[[110.7560201223677, 17, 127, 42, 88, 129, 137], [5.0, 28, 56, 84, 112, 140, 168]]","[(110.7560201223677, 5.0), (108.00537872223227, 5.695348586589357), (105.40311844835871, 6.394409486632874), (102.94341348744841, 7.097108271086306), (100.62059896707784, 7.803371635744042), (98.42916826864715, 8.51312738984853), (96.36377036069499, 9.226304444757629), (94.41920715258051, 9.942832802669944), (92.59043086853227, 10.662643545408132), (90.87254144206389, 11.385668823260175), (89.26078393075714, 12.11184184387861), (87.7505459514114, 12.841096861237734), (86.33735513556017, 13.573369164648785), (85.01687660535497, 14.308595067833089), (83.78491046981519, 15.046711898053116), (82.6373893414461, 15.78765798530163), (81.57037587322274, 16.531372651548672), (80.58006031594142, 17.277796200046602), (79.6627580959377, 18.026869904693072), (78.81490741317141, 18.77853599945192), (78.03306685967884, 19.53273766783217), (77.31391305839172, 20.289419032424842), (76.65423832232288, 21.048525144497845), (76.05094833411916, 21.81000197364873), (75.50105984598099, 22.57379639751554), (75.00169839994932, 23.339856191545493), (74.55009606855886, 24.10813001882178), (74.14358921585884, 24.878567419948148), (73.7796162788003, 25.651118802991668), (73.45571556899027, 26.425735433483204), (73.16952309481346, 27.202369424476156), (72.91877040392, 27.980973726662906), (72.70128244608101, 28.76150211854939), (72.51497545641026, 29.543909196687586), (72.35785485895333, 30.32815036596588), (72.22801319064354, 31.114181829957655), (72.12362804562466, 31.90196058132752), (72.04296003994084, 32.69144439229578), (71.98435079659313, 33.482591805160716), (71.94622095096302, 34.275362122878825), (71.92706817660343, 35.06971539970322), (71.92546523139542, 35.8656124318797), (71.94005802407325, 36.66301474840105), (71.9695637011155, 37.461884601819186), (72.01276875400295, 38.26218495911522), (72.06852714684437, 39.06387949262768), (72.135758464368, 39.866932571038404), (72.21344608028097, 40.67130925041677), (72.30063534599525, 41.47697526532155), (72.39643179972003, 42.28389701996089), (72.49999939592225, 43.09204157941034), (72.61055875515268, 43.901376660888666), (72.72738543423996, 44.71187062509173), (72.84980821685102, 45.52349246758435), (72.97720742441844, 46.33621181025009), (73.10901324743541, 47.14999889279914), (73.24470409711628, 47.96482456433373), (73.38380497742553, 48.780660274972306), (73.52588587747269, 49.59747806753081), (73.67056018427432, 50.415250569262454), (73.81748311588349, 51.23395098365552), (73.96635017488525, 52.05355308228851), (74.11689562225999, 52.87403119674414), (74.26889097161299, 53.69536021058056), (74.42214350377124, 54.5175155513609), (74.57649480174736, 55.34047318274089), (74.73181930606967, 56.164209596613865), (74.88802289048037, 56.988701805314655), (75.04504145799963, 57.81392733388056), (75.20283955735692, 58.639864212370725), (75.36140901978973, 59.4664909682437), (75.52076761620825, 60.29378661879221), (75.68095773472803, 61.12173066363684), (75.84204507856886, 61.95030307727692), (76.00411738432071, 62.77948430169977), (76.16728316057707, 63.60925523904795), (76.33167044693411, 64.43959724434401), (76.49742559335827, 65.27049211827398), (76.66471205991948, 66.10192210002802), (76.83370923689198, 66.9338698601996), (77.00461128522197, 67.76631849374253), (77.17762599736173, 68.59925151298555), (77.3529736784717, 69.43265284070563), (77.53088604798835, 70.26650680325858), (77.7116051615595, 71.10079812376792), (77.89538235334683, 71.93551191537182), (78.08247719869456, 72.77063367452752), (78.273156497166, 73.60614927437447), (78.46769327594616, 74.44204495815478), (78.66636581361182, 75.27830733269184), (78.86945668426851, 76.11492336192728), (79.07725182205385, 76.95188036051505), (79.2900396060088, 77.7891659874745), (79.50810996531477, 78.62676823990061), (79.73175350489849, 79.46467544673251), (79.96126065140355, 80.30287626258021), (80.19692081952822, 81.14135966160852), (80.43902159873154, 81.98011493148007), (80.68784796030512, 82.81913166735524), (80.9436814848123, 83.6583997659506), (81.20679960989455, 84.4979094196554), (81.47747489844414, 85.33765111070556), (81.7559743271443, 86.17761560541611), (82.04255859537615, 87.01779394847136), (82.3374814544923, 87.85817745727299), (82.6409890574578, 88.6987577163463), (82.95331932885763, 89.53952657180423), (83.27470135527138, 90.38047612586959), (83.60535479601477, 91.22159873145488), (83.94548931424796, 92.06288698680048), (84.29530402845113, 92.90433373017059), (84.65498698426656, 93.74593203460708), (85.02471464670795, 94.58767520274165), (85.40465141273654, 95.42955676166534), (85.79494914420421, 96.27157045785673), (86.19574672116339, 97.11371025216756), (86.6071696155441, 97.95597031486658), (87.02932948519768, 98.79834502074132), (87.4623237883076, 99.64082894425776), (87.90623541816728, 100.48341685477804), (88.36113235832445, 101.32610371183605), (88.82706735809299, 102.16888466047125), (89.30407762843119, 103.01175502662005), (89.79218455818729, 103.85471031256542), (90.29139345071171, 104.69774619244443), (90.80169328083636, 105.54085850781382), (91.32305647222088, 106.38404326327334), (91.85543869506557, 107.22729662214721), (92.39877868419168, 108.07061490222358), (92.95299807748805, 108.91399457155177), (93.5180012747253, 109.7574322442977), (94.09367531673644, 110.60092467665714), (94.67988978496476, 111.44446876282706), (95.27649672137835, 112.28806153103469), (95.88333056875175, 113.13170013962484), (96.50020813131452, 113.97538187320507), (97.12692855576657, 114.81910413884877), (97.76327333266072, 115.66286446235637), (98.40900631815173, 116.50666048457418), (99.06387377611273, 117.35048995777166), (99.72760444061826, 118.19435074207634), (100.39990959879444, 119.03824080196674), (101.08048319403588, 119.8821582028234), (101.76900194958964, 120.72610110753773), (102.46512551250606, 121.57006777317883), (103.16849661795662, 122.41405654771849), (103.87874127391848, 123.25806586681378), (104.59546896622629, 124.10209425064805), (105.31827288399067, 124.9461403008295), (106.04673016538366, 125.790202697348), (106.7804021637912, 126.63428019558971), (107.51883473433236, 127.47837162340969), (108.2615585407457, 128.32247587826262), (109.00808938264247, 129.16659192439133), (109.75792854312662, 130.01071879007327), (110.51056315678191, 130.85485556492517), (111.26546659802588, 131.69900139726536), (112.02209888983069, 132.54315549153435), (112.77990713281102, 133.3873171057732), (113.53832595467873, 134.23148554915994), (114.29677798006459, 135.0756601796038), (115.05467432070682, 135.91984040139766), (115.81141508600666, 136.7640256629283), (116.56638991395087, 137.60821545444466), (117.31897852240093, 138.45240930588403), (118.0685512807495, 139.2966067847562), (118.81446980194363, 140.14080749408575), (119.55608755487482, 140.98501107041204), (120.29275049713623, 141.82921718184744), (121.02379772814652, 142.6734255261932), (121.74856216264098, 143.51763582911366), (122.46637122452921, 144.3618478423681), (123.17654756112, 145.20606134210078), (123.87840977771306, 146.05027612718897), (124.57127319255757, 146.8944920176486), (125.25445061217778, 147.7387088530982), (125.92725312706551, 148.58292649128094), (126.58899092773959, 149.42714480664415), (127.23897414117218, 150.27136368897732), (127.87651368758196, 151.11558304210763), (128.5009221575945, 151.95980278265375), (129.1115147097691, 152.8040228388375), (129.70760998849318, 153.6482431493535), (130.28853106224304, 154.4924636622968), (130.8536063822117, 155.3366843341483), (131.4021707613039, 156.18090512881844), (131.93356637349774, 157.02512601674863), (132.4471437735734, 157.86934697407085), (132.94226293720874, 158.71356798182492), (133.41829432144178, 159.55778902523394), (133.8746199455002, 160.40201009303775), (134.31063449199775, 161.2462311768842), (134.72574642849742, 162.09045227077848), (135.11937914944187, 162.93467337059047), (135.49097213845045, 163.77889447361977), (135.83998215098333, 164.62311557821923), (136.16588441737247, 165.4673366834758), (136.46817386621967, 166.31155778894987), (136.7463663681612, 167.15577889447243), (137.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.9_mutpb-0.7\9-RUN_POP-25_cxpb-0.9_mutpb-0.7_27052022-040008/sim_test_8016_27052022-040008,27052022-050311
