individual,road_points,test_outcome,description,timestamp
"[[84.4423091846656, 126, 193, 24, 192, 89, 159], [5.0, 28, 56, 84, 112, 140, 168]]","[(84.4423091846656, 5.0), (85.70428631653579, 5.695348586589357), (86.98166696640575, 6.394409486632874), (88.2707516344629, 7.097108271086306), (89.56802317986416, 7.803371635744042), (90.87014229403738, 8.51312738984853), (92.17394302323682, 9.226304444757629), (93.47642834035281, 9.942832802669944), (94.77476576597589, 10.662643545408132), (96.0662830387148, 11.385668823260175), (97.34846383476945, 12.11184184387861), (98.61894353675729, 12.841096861237734), (99.87550505179462, 13.573369164648785), (101.1160746788318, 14.308595067833089), (102.33871802524256, 15.046711898053116), (103.5416359726683, 15.78765798530163), (104.72316069211571, 16.531372651548672), (105.88175170830934, 17.277796200046602), (107.01599201329809, 18.026869904693072), (108.12458422931587, 18.77853599945192), (109.20634682089697, 19.53273766783217), (110.26021035624541, 20.289419032424842), (111.28521381785815, 21.048525144497845), (112.2805009624035, 21.81000197364873), (113.24531672985253, 22.57379639751554), (114.17900370186618, 23.339856191545493), (115.08099860943543, 24.10813001882178), (115.9508288897762, 24.878567419948148), (116.78810929247882, 25.651118802991668), (117.59253853491073, 26.425735433483204), (118.36389600687492, 27.202369424476156), (119.10203852452139, 27.980973726662906), (119.80689713351332, 28.76150211854939), (120.47847396144762, 29.543909196687586), (121.11683911952942, 30.32815036596588), (121.72212765350125, 31.114181829957655), (122.29453654382594, 31.90196058132752), (122.83432175512432, 32.69144439229578), (123.34179533486677, 33.482591805160716), (123.81732256131892, 34.275362122878825), (124.26131914074254, 35.06971539970322), (124.6742484538493, 35.8656124318797), (125.05661885150973, 36.66301474840105), (125.40898099971655, 37.461884601819186), (125.73192527380107, 38.26218495911522), (126.0260792019058, 39.06387949262768), (126.29210495770893, 39.866932571038404), (126.53069690240548, 40.67130925041677), (126.74257917594088, 41.47697526532155), (126.92850333749932, 42.28389701996089), (127.08924605524744, 43.09204157941034), (127.22560684533022, 43.901376660888666), (127.3384058601231, 44.71187062509173), (127.42848172573702, 45.52349246758435), (127.49668942877835, 46.33621181025009), (127.54389825236332, 47.14999889279914), (127.57098976138545, 47.96482456433373), (127.57885583703904, 48.780660274972306), (127.56839676059538, 49.59747806753081), (127.54051934643388, 50.415250569262454), (127.49613512432805, 51.23395098365552), (127.43615857098379, 52.05355308228851), (127.36150539083458, 52.87403119674414), (127.27309084608878, 53.69536021058056), (127.171828136032, 54.5175155513609), (127.05862682558444, 55.34047318274089), (126.93439132311039, 56.164209596613865), (126.80001940748478, 56.988701805314655), (126.65640080441177, 57.81392733388056), (126.5044158119983, 58.639864212370725), (126.34493397558263, 59.4664909682437), (126.17881281181555, 60.29378661879221), (126.0068965819977, 61.12173066363684), (125.83001511466965, 61.95030307727692), (125.64898267745683, 62.77948430169977), (125.46459689816918, 63.60925523904795), (125.2776377351537, 64.43959724434401), (125.08886649690317, 65.27049211827398), (124.89902491091722, 66.10192210002802), (124.70883424181896, 66.9338698601996), (124.51899445872549, 67.76631849374253), (124.33018345187193, 68.59925151298555), (124.14305629849143, 69.43265284070563), (123.95824457794754, 70.26650680325858), (123.77635573612199, 71.10079812376792), (123.59797249905654, 71.93551191537182), (123.42365233584854, 72.77063367452752), (123.25392697080167, 73.60614927437447), (123.08930194483008, 74.44204495815478), (122.93025622611727, 75.27830733269184), (122.77724187002929, 76.11492336192728), (122.63068372828134, 76.95188036051505), (122.49097920736014, 77.7891659874745), (122.35849807619913, 78.62676823990061), (122.23358232310866, 79.46467544673251), (122.11654606196052, 80.30287626258021), (122.00767548762568, 81.14135966160852), (121.90722888066828, 81.98011493148007), (121.81543666129168, 82.81913166735524), (121.73250149254021, 83.6583997659506), (121.6585984327548, 84.4979094196554), (121.59387513728238, 85.33765111070556), (121.53845210944046, 86.17761560541611), (121.49242300073526, 87.01779394847136), (121.45585496033408, 87.85817745727299), (121.42878903379248, 88.6987577163463), (121.41124061103525, 89.53952657180423), (121.4031999235917, 90.38047612586959), (121.40463259108537, 91.22159873145488), (121.41548021697783, 92.06288698680048), (121.4356610335668, 92.90433373017059), (121.46507059623865, 93.74593203460708), (121.50358252697487, 94.58767520274165), (121.55104930711306, 95.42955676166534), (121.60730311936206, 96.27157045785673), (121.67215673907135, 97.11371025216756), (121.74540447475471, 97.95597031486658), (121.82682315786809, 98.79834502074132), (121.9161731818419, 99.64082894425776), (122.01319959036734, 100.48341685477804), (122.11763321493706, 101.32610371183605), (122.22919186164025, 102.16888466047125), (122.3475815472116, 103.01175502662005), (122.472497784335, 103.85471031256542), (122.60362691620105, 104.69774619244443), (122.74064750031918, 105.54085850781382), (122.88323174158377, 106.38404326327334), (123.0310469745946, 107.22729662214721), (123.18375719523172, 108.07061490222358), (123.34102464148425, 108.91399457155177), (123.50251142353387, 109.7574322442977), (123.66788120309201, 110.60092467665714), (123.83680092199187, 111.44446876282706), (124.0089425800343, 112.28806153103469), (124.1839850620881, 113.13170013962484), (124.36161601444459, 113.97538187320507), (124.54153377042626, 114.81910413884877), (124.72344932524996, 115.66286446235637), (124.90708836014406, 116.50666048457418), (125.09219331572008, 117.35048995777166), (125.27852551459848, 118.19435074207634), (125.46586733328871, 119.03824080196674), (125.65402442332353, 119.8821582028234), (125.84282798164753, 120.72610110753773), (126.03213707026006, 121.57006777317883), (126.22184098511224, 122.41405654771849), (126.4118616742583, 123.25806586681378), (126.60215620526124, 124.10209425064805), (126.7927192818525, 124.9461403008295), (126.9835858098464, 125.790202697348), (127.17483351230814, 126.63428019558971), (127.36658559397668, 127.47837162340969), (127.55901345494144, 128.32247587826262), (127.75233945357358, 129.16659192439133), (127.9468397187113, 130.01071879007327), (128.1428470110995, 130.85485556492517), (128.34075363408357, 131.69900139726536), (128.54101439355787, 132.54315549153435), (128.74414960716774, 133.3873171057732), (128.95074816276647, 134.23148554915994), (129.16147062612603, 135.0756601796038), (129.37705239790236, 135.91984040139766), (129.59830691985476, 136.7640256629283), (129.82612893031958, 137.60821545444466), (130.06149776893827, 138.45240930588403), (130.30548073063932, 139.2966067847562), (130.55923646887507, 140.14080749408575), (130.82401844811216, 140.98501107041204), (131.10117844557652, 141.82921718184744), (131.3921701022528, 142.6734255261932), (131.69855252313764, 143.51763582911366), (132.02199392674754, 144.3618478423681), (132.3642753438807, 145.20606134210078), (132.72729436563347, 146.05027612718897), (133.11306894067076, 146.8944920176486), (133.5237412217507, 147.7387088530982), (133.9615814615039, 148.58292649128094), (134.42899195746648, 149.42714480664415), (134.92851104636776, 150.27136368897732), (135.46281714767196, 151.11558304210763), (136.03473285637438, 151.95980278265375), (136.64722908505138, 152.8040228388375), (137.30342925516538, 153.6482431493535), (138.00661353762334, 154.4924636622968), (138.76022314258992, 155.3366843341483), (139.56786465855487, 156.18090512881844), (140.43331444065444, 157.02512601674863), (141.36052304824744, 157.86934697407085), (142.35361973174523, 158.71356798182492), (143.4169169686959, 159.55778902523394), (144.55491504912317, 160.40201009303775), (145.77230671011907, 161.2462311768842), (147.07398181969103, 162.09045227077848), (148.46503210986344, 162.93467337059047), (149.950755959033, 163.77889447361977), (151.53666322357887, 164.62311557821923), (153.22848011872657, 165.4673366834758), (155.03215414866662, 166.31155778894987), (156.95385908592692, 167.15577889447243), (159.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-75_cxpb-0.7_mutpb-0.95\8-RUN_POP-75_cxpb-0.7_mutpb-0.95_30052022-004405/sim_test_33884_30052022-004405,30052022-005851
"[[116.27407001416498, 38, 113, 69, 125, 93, 152], [5.0, 28, 56, 84, 112, 140, 168]]","[(116.27407001416498, 5.0), (113.97141837976872, 5.695348586589357), (111.78079981160279, 6.394409486632874), (109.6982349061853, 7.097108271086306), (107.71985293252952, 7.803371635744042), (105.8418898082016, 8.51312738984853), (104.06068609476507, 9.226304444757629), (102.37268501261325, 9.942832802669944), (100.77443047518888, 10.662643545408132), (99.26256514259124, 11.385668823260175), (97.83382849457124, 12.11184184387861), (96.4850549229133, 12.841096861237734), (95.21317184320522, 13.573369164648785), (94.01519782599527, 14.308595067833089), (92.88824074733672, 15.046711898053116), (91.82949595872032, 15.78765798530163), (90.83624447639372, 16.531372651548672), (89.90585119006855, 17.277796200046602), (89.0357630910153, 18.026869904693072), (88.22350751954488, 18.77853599945192), (87.46669043187873, 19.53273766783217), (86.76299468640579, 20.289419032424842), (86.1101783493267, 21.048525144497845), (85.5060730196863, 21.81000197364873), (84.94858217379272, 22.57379639751554), (84.43567952902477, 23.339856191545493), (83.96540742702616, 24.10813001882178), (83.53587523628767, 24.878567419948148), (83.14525777411647, 25.651118802991668), (82.79179374799308, 26.425735433483204), (82.4737842163159, 27.202369424476156), (82.18959106853306, 27.980973726662906), (81.93763552466193, 28.76150211854939), (81.71639665419586, 29.543909196687586), (81.52440991439859, 30.32815036596588), (81.3602657079863, 31.114181829957655), (81.22260796019667, 31.90196058132752), (81.11013271524594, 32.69144439229578), (81.02158675217328, 33.482591805160716), (80.95576622007215, 34.275362122878825), (80.91151529271036, 35.06971539970322), (80.88772484253604, 35.8656124318797), (80.88333113407249, 36.66301474840105), (80.89731453669972, 37.461884601819186), (80.92869825682352, 38.26218495911522), (80.97654708943264, 39.06387949262768), (81.03996618904242, 39.866932571038404), (81.118099860027, 40.67130925041677), (81.2101303663382, 41.47697526532155), (81.31527676061222, 42.28389701996089), (81.432793732664, 43.09204157941034), (81.56197047736856, 43.901376660888666), (81.70212958193027, 44.71187062509173), (81.85262593253961, 45.52349246758435), (82.01284564041687, 46.33621181025009), (82.18220498724429, 47.14999889279914), (82.36014938998447, 47.96482456433373), (82.54615238508758, 48.780660274972306), (82.73971463208498, 49.59747806753081), (82.94036293657065, 50.415250569262454), (83.14764929257085, 51.23395098365552), (83.3611499442997, 52.05355308228851), (83.58046446730398, 52.87403119674414), (83.80521486899414, 53.69536021058056), (84.03504470856325, 54.5175155513609), (84.26961823629392, 55.34047318274089), (84.5086195522514, 56.164209596613865), (84.75175178436582, 56.988701805314655), (84.99873628590063, 57.81392733388056), (85.24931185230895, 58.639864212370725), (85.50323395747789, 59.4664909682437), (85.76027400935921, 60.29378661879221), (86.02021862498883, 61.12173066363684), (86.28286892489278, 61.95030307727692), (86.54803984688101, 62.77948430169977), (86.81555947922902, 63.60925523904795), (87.08526841324613, 64.43959724434401), (87.35701911523222, 65.27049211827398), (87.63067531782124, 66.10192210002802), (87.90611143071247, 66.9338698601996), (88.18321197078949, 67.76631849374253), (88.46187101162577, 68.59925151298555), (88.74199165237926, 69.43265284070563), (89.02348550607284, 70.26650680325858), (89.30627220726326, 71.10079812376792), (89.59027893909753, 71.93551191537182), (89.87543997975598, 72.77063367452752), (90.16169626828405, 73.60614927437447), (90.44899498981043, 74.44204495815478), (90.73728918015334, 75.27830733269184), (91.02653734981429, 76.11492336192728), (91.3167031273586, 76.95188036051505), (91.6077549221847, 77.7891659874745), (91.89966560667955, 78.62676823990061), (92.19241221776254, 79.46467544673251), (92.48597567781647, 80.30287626258021), (92.78034053500566, 81.14135966160852), (93.07549472298261, 81.98011493148007), (93.37142933998089, 82.81913166735524), (93.66813844729634, 83.6583997659506), (93.96561888715564, 84.4979094196554), (94.26387011997191, 85.33765111070556), (94.56289408098839, 86.17761560541611), (94.86269505630932, 87.01779394847136), (95.16327957831821, 87.85817745727299), (95.46465634048377, 88.6987577163463), (95.76683613155336, 89.53952657180423), (96.06983178913367, 90.38047612586959), (96.3736581726592, 91.22159873145488), (96.67833215574798, 92.06288698680048), (96.98387263794494, 92.90433373017059), (97.2903005758526, 93.74593203460708), (97.59763903364953, 94.58767520274165), (97.90591325299592, 95.42955676166534), (98.21515074232691, 96.27157045785673), (98.52538138553334, 97.11371025216756), (98.83663757002991, 97.95597031486658), (99.148954334211, 98.79834502074132), (99.4623695342937, 99.64082894425776), (99.77692403054859, 100.48341685477804), (100.09266189291786, 101.32610371183605), (100.40963062602106, 102.16888466047125), (100.72788141354808, 103.01175502662005), (101.04746938203985, 103.85471031256542), (101.36845388405642, 104.69774619244443), (101.69089880073265, 105.54085850781382), (102.01487286372112, 106.38404326327334), (102.34044999652284, 107.22729662214721), (102.66770967520516, 108.07061490222358), (102.99673730850748, 108.91399457155177), (103.32762463733413, 109.7574322442977), (103.66047015363485, 110.60092467665714), (103.99537953867299, 111.44446876282706), (104.33246612068078, 112.28806153103469), (104.6718513519023, 113.13170013962484), (105.01366530502416, 113.97538187320507), (105.35804718899308, 114.81910413884877), (105.70514588422166, 115.66286446235637), (106.05512049718104, 116.50666048457418), (106.4081409343814, 117.35048995777166), (106.76438849573984, 118.19435074207634), (107.12405648733566, 119.03824080196674), (107.48735085355344, 119.8821582028234), (107.85449082861305, 120.72610110753773), (108.22570960748767, 121.57006777317883), (108.60125503620912, 122.41405654771849), (108.98139032156058, 123.25806586681378), (109.36639476015687, 124.10209425064805), (109.7565644869122, 124.9461403008295), (110.15221324289557, 125.790202697348), (110.55367316257329, 126.63428019558971), (110.96129558043933, 127.47837162340969), (111.37545185703303, 128.32247587826262), (111.79653422434426, 129.16659192439133), (112.22495665060612, 130.01071879007327), (112.66115572447508, 130.85485556492517), (113.10559155859869, 131.69900139726536), (113.5587487125706, 132.54315549153435), (114.02113713527339, 133.3873171057732), (114.49329312660846, 134.23148554915994), (114.97578031861374, 135.0756601796038), (115.46919067596875, 135.91984040139766), (115.97414551588719, 136.7640256629283), (116.49129654739694, 137.60821545444466), (117.02132693000772, 138.45240930588403), (117.5649523517659, 139.2966067847562), (118.12292212669725, 140.14080749408575), (118.69602031163672, 140.98501107041204), (119.28506684244616, 141.82921718184744), (119.89091868961904, 142.6734255261932), (120.51447103327308, 143.51763582911366), (121.15665845753014, 144.3618478423681), (121.81845616428357, 145.20606134210078), (122.50088120635331, 146.05027612718897), (123.20499374002804, 146.8944920176486), (123.93189829699527, 147.7387088530982), (124.6827450756586, 148.58292649128094), (125.45873125184262, 149.42714480664415), (126.26110230888523, 150.27136368897732), (127.09115338711749, 151.11558304210763), (127.95023065273091, 151.95980278265375), (128.83973268603222, 152.8040228388375), (129.7611118890857, 153.6482431493535), (130.715875912743, 154.4924636622968), (131.70558910306033, 155.3366843341483), (132.73187396710313, 156.18090512881844), (133.79641265813842, 157.02512601674863), (134.90094848021445, 157.86934697407085), (136.04728741212801, 158.71356798182492), (137.2372996507789, 159.55778902523394), (138.47292117391234, 160.40201009303775), (139.75615532224842, 161.2462311768842), (141.08907440099935, 162.09045227077848), (142.47382130077418, 162.93467337059047), (143.91261113787067, 163.77889447361977), (145.40773291395513, 164.62311557821923), (146.96155119512932, 165.4673366834758), (148.57650781038524, 166.31155778894987), (150.25512356944682, 167.15577889447243), (152.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-75_cxpb-0.7_mutpb-0.95\8-RUN_POP-75_cxpb-0.7_mutpb-0.95_30052022-004405/sim_test_34095_30052022-004405,30052022-013944
"[[117.7327199679102, 53, 105, 163, 77, 40, 135], [5.0, 28, 56, 84, 112, 140, 168]]","[(117.7327199679102, 5.0), (115.82491409579009, 5.695348586589357), (114.00384867384923, 6.394409486632874), (112.26782511922801, 7.097108271086306), (110.61513757787394, 7.803371635744042), (109.04407378226328, 8.51312738984853), (107.55291589943819, 9.226304444757629), (106.13994136936057, 9.942832802669944), (104.8034237335823, 10.662643545408132), (103.54163345423133, 11.385668823260175), (102.35283872331497, 12.11184184387861), (101.23530626233882, 12.841096861237734), (100.18730211224221, 13.573369164648785), (99.20709241365017, 14.308595067833089), (98.29294417744133, 15.046711898053116), (97.4431260456328, 15.78765798530163), (96.65590904258075, 16.531372651548672), (95.92956731649772, 17.277796200046602), (95.26237887128619, 18.026869904693072), (94.65262628868815, 18.77853599945192), (94.09859744075182, 19.53273766783217), (93.59858619261374, 20.289419032424842), (93.15089309559802, 21.048525144497845), (92.7538260706313, 21.81000197364873), (92.40570108197441, 22.57379639751554), (92.10484280127041, 23.339856191545493), (91.84958526190866, 24.10813001882178), (91.63827250370561, 24.878567419948148), (91.4692592079016, 25.651118802991668), (91.34091132247404, 26.425735433483204), (91.25160667776741, 27.202369424476156), (91.19973559243873, 27.980973726662906), (91.18370146972028, 28.76150211854939), (91.20192138399807, 29.543909196687586), (91.25282665770658, 30.32815036596588), (91.33486342854061, 31.114181829957655), (91.44649320698248, 31.90196058132752), (91.5861934241463, 32.69144439229578), (91.75245796993819, 33.482591805160716), (91.9437977215328, 34.275362122878825), (92.15874106216694, 35.06971539970322), (92.39583439024813, 35.8656124318797), (92.65364261878089, 36.66301474840105), (92.9307496651087, 37.461884601819186), (93.22575893097202, 38.26218495911522), (93.5372937728836, 39.06387949262768), (93.86399796281896, 39.866932571038404), (94.20453613922432, 40.67130925041677), (94.55759424833994, 41.47697526532155), (94.92187997584034, 42.28389701996089), (95.29612316879108, 43.09204157941034), (95.67907624792082, 43.901376660888666), (96.06951461021106, 44.71187062509173), (96.46623702180135, 45.52349246758435), (96.86806600121089, 46.33621181025009), (97.27384819287731, 47.14999889279914), (97.68245473101021, 47.96482456433373), (98.09278159376278, 48.780660274972306), (98.50374994771853, 49.59747806753081), (98.91430648269487, 50.415250569262454), (99.32342373686323, 51.23395098365552), (99.73010041218448, 52.05355308228851), (100.13336168016247, 52.87403119674414), (100.53225947791209, 53.69536021058056), (100.92587279454466, 54.5175155513609), (101.31330794786996, 55.34047318274089), (101.69369885141317, 56.164209596613865), (102.06620727175009, 56.988701805314655), (102.43002307615698, 57.81392733388056), (102.78436447057769, 58.639864212370725), (103.12847822790721, 59.4664909682437), (103.4616399065906, 60.29378661879221), (103.78315405953954, 61.12173066363684), (104.09235443336432, 61.95030307727692), (104.38860415792225, 62.77948430169977), (104.6712959261832, 63.60925523904795), (104.9398521644101, 64.43959724434401), (105.19372519265721, 65.27049211827398), (105.4323973755838, 66.10192210002802), (105.65538126358445, 66.9338698601996), (105.86221972423591, 67.76631849374253), (106.05248606405962, 68.59925151298555), (106.22578414060168, 69.43265284070563), (106.38174846482802, 70.26650680325858), (106.52004429383653, 71.10079812376792), (106.64036771388572, 71.93551191537182), (106.74244571373873, 72.77063367452752), (106.82603624832518, 73.60614927437447), (106.89092829271789, 74.44204495815478), (106.93694188642691, 75.27830733269184), (106.96392816800973, 76.11492336192728), (106.971769399997, 76.95188036051505), (106.96037898413611, 77.7891659874745), (106.92970146694972, 78.62676823990061), (106.8797125356113, 79.46467544673251), (106.81041900413715, 80.30287626258021), (106.72185878989377, 81.14135966160852), (106.61410088042334, 81.98011493148007), (106.48724529058357, 82.81913166735524), (106.34142301000539, 83.6583997659506), (106.1767959408662, 84.4979094196554), (105.99355682597951, 85.33765111070556), (105.79192916720147, 86.17761560541611), (105.57216713415305, 87.01779394847136), (105.33455546325891, 87.85817745727299), (105.07940934710268, 88.6987577163463), (104.80707431409832, 89.53952657180423), (104.51792609847801, 90.38047612586959), (104.21237050059645, 91.22159873145488), (103.89084323755117, 92.06288698680048), (103.55380978411958, 92.90433373017059), (103.20176520401206, 93.74593203460708), (102.83523397144158, 94.58767520274165), (102.45476978300952, 95.42955676166534), (102.060955359908, 96.27157045785673), (101.6544022404383, 97.11371025216756), (101.23575056284591, 97.95597031486658), (100.80566883847166, 98.79834502074132), (100.36485371521944, 99.64082894425776), (99.91402973134, 100.48341685477804), (99.45394905953128, 101.32610371183605), (98.98539124135509, 102.16888466047125), (98.50916291196987, 103.01175502662005), (98.0260975151802, 103.85471031256542), (97.53705500880228, 104.69774619244443), (97.04292156034603, 105.54085850781382), (96.54460923301328, 106.38404326327334), (96.04305566201242, 107.22729662214721), (95.53922372118959, 108.07061490222358), (95.03410117997572, 108.91399457155177), (94.52870035065055, 109.7574322442977), (94.02405772592232, 110.60092467665714), (93.52123360682427, 111.44446876282706), (93.02131172092741, 112.28806153103469), (92.52539883086942, 113.13170013962484), (92.03462433320017, 113.97538187320507), (91.5501398475433, 114.81910413884877), (91.07311879607437, 115.66286446235637), (90.6047559733152, 116.50666048457418), (90.1462671062447, 117.35048995777166), (89.69888840472584, 118.19435074207634), (89.26387610224921, 119.03824080196674), (88.84250598699262, 119.8821582028234), (88.43607292319734, 120.72610110753773), (88.04589036286048, 121.57006777317883), (87.67328984774375, 122.41405654771849), (87.31962050169871, 123.25806586681378), (86.98624851330806, 124.10209425064805), (86.67455660884355, 124.9461403008295), (86.38594351554015, 125.790202697348), (86.12182341518651, 126.63428019558971), (85.8836253880317, 127.47837162340969), (85.67279284700851, 128.32247587826262), (85.4907829622729, 129.16659192439133), (85.33906607605985, 130.01071879007327), (85.21912510785558, 130.85485556492517), (85.132454949886, 131.69900139726536), (85.0805618529217, 132.54315549153435), (85.06496280239907, 133.3873171057732), (85.08718488485788, 134.23148554915994), (85.1487646446952, 135.0756601796038), (85.25124743123558, 135.91984040139766), (85.39618673611768, 136.7640256629283), (85.58514352099716, 137.60821545444466), (85.81968553556594, 138.45240930588403), (86.10138662588776, 139.2966067847562), (86.43182603305017, 140.14080749408575), (86.8125876821328, 140.98501107041204), (87.24525946149194, 141.82921718184744), (87.73143249236153, 142.6734255261932), (88.27270038877049, 143.51763582911366), (88.87065850777627, 144.3618478423681), (89.52690319001488, 145.20606134210078), (90.24303099056726, 146.05027612718897), (91.02063790014188, 146.8944920176486), (91.8613185565737, 147.7387088530982), (92.76666544663965, 148.58292649128094), (93.73826809819015, 149.42714480664415), (94.7777122625973, 150.27136368897732), (95.88657908751912, 151.11558304210763), (97.06644427998027, 151.95980278265375), (98.31887725976915, 152.8040228388375), (99.6454403031512, 153.6482431493535), (101.04768767689882, 154.4924636622968), (102.52716476263714, 155.3366843341483), (104.08540717150667, 156.18090512881844), (105.72393984914196, 157.02512601674863), (107.44427617096663, 157.86934697407085), (109.247917027805, 158.71356798182492), (111.13634990180957, 159.55778902523394), (113.11104793270539, 160.40201009303775), (115.17346897435034, 161.2462311768842), (117.32505464161197, 162.09045227077848), (119.56722934756078, 162.93467337059047), (121.90139933097943, 163.77889447361977), (124.32895167418872, 164.62311557821923), (126.85125331118971, 165.4673366834758), (129.4696500261222, 166.31155778894987), (132.18546544203954, 167.15577889447243), (135.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-75_cxpb-0.7_mutpb-0.95\8-RUN_POP-75_cxpb-0.7_mutpb-0.95_30052022-004405/sim_test_34284_30052022-004405,30052022-015845
