individual,road_points,test_outcome,description,timestamp
"[[104.1921159395093, 53.183199645741254, 98, 138.535119221466, 121.29804826345722, 64.15260411165728, 27], [5.0, 24.771958641736372, 56, 80.93341671268745, 107.62165533331228, 143.65584639862215, 168]]","[(104.1921159395093, 5.0), (102.69020175366107, 5.600433969365339), (101.25936286886184, 6.209279715025677), (99.89809104555432, 6.826275750345957), (98.60488885819156, 7.451166390082319), (97.37826975074238, 8.08370168974575), (96.21675809156957, 8.72363738494352), (95.11888922768186, 9.370734830698542), (94.08320953835891, 10.024760940746518), (93.10827648814968, 10.68548812681097), (92.1926586792443, 11.352694237856147), (91.33493590321916, 12.026162499317731), (90.53369919215513, 12.70568145231144), (89.78755086912945, 13.39104489281947), (89.09510459808048, 14.082051810854749), (88.45498543304652, 14.778506329603136), (87.86582986677692, 15.48021764454338), (87.32628587871766, 16.186999962544988), (86.83501298236914, 16.898672440943923), (86.39068227201808, 17.615059126596126), (85.99197646884248, 18.335988894908994), (85.63758996638988, 19.061295388850564), (85.32622887542892, 19.79081695793668), (85.05661106817426, 20.52439659719593), (84.82746622188486, 21.261881886112445), (84.63753586183554, 22.003124927546637), (84.48557340366187, 22.747982286633643), (84.37034419507835, 23.496314929659743), (84.29062555697004, 24.247988162916606), (84.24520682385719, 25.002871571533273), (84.23288938373364, 25.76083895828623), (84.25248671727823, 26.521768282387093), (84.30282443643962, 27.285541598248262), (84.38274032239447, 28.052044994226474), (84.49108436287868, 28.82116853134401), (84.6267187888925, 29.592806181988074), (84.78851811077845, 30.366855768587662), (84.97536915367273, 31.14321890226859), (85.18617109233007, 31.921800921486213), (85.41983548532153, 32.70251083063593), (85.67528630860645, 33.485261238641876), (85.95145998847636, 34.26996829752294), (86.24730543387378, 35.056551640937144), (86.56178406808317, 35.84493432270364), (86.89386985979544, 36.63504275530241), (87.2425493535466, 37.42680664835223), (87.6068216995282, 38.22015894706603), (87.9856986827727, 39.01503577068444), (88.37820475171115, 39.81137635088707), (88.78337704610426, 40.609122970181524), (89.20026542434748, 41.408220900270585), (89.62793249014847, 42.208618340396846), (90.06545361857859, 43.01026635566551), (90.5119169814974, 43.813118815344936), (90.96642357235051, 44.61713233114496), (91.42808723034103, 45.4222661954733), (91.8960346639736, 46.22848231966934), (92.36940547397275, 47.035745172216515), (92.84735217557395, 47.84402171693174), (93.32904022018768, 48.65328135113322), (93.81364801643812, 49.463495843786085), (94.30036695057318, 50.27463927362541), (94.78840140624999, 51.08668796725783), (95.27696878369206, 51.899620437240316), (95.76529951822043, 52.71341732013717), (96.25263709815857, 53.52806131455497), (96.73823808210936, 54.34353711915484), (97.2213721156069, 55.159831370643325), (97.70132194714044, 55.97693258174041), (98.1773834435521, 56.794831079125835), (98.64886560480834, 57.613518941363225), (99.11509057814365, 58.43298993680172), (99.57539367157874, 59.25323946145596), (100.02912336681143, 60.07426447686359), (100.47564133148066, 60.8960634479206), (100.91432243080476, 61.71863628069491), (101.34455473859155, 62.54198426021709), (101.76573954762345, 63.36610998824982), (102.17729137941463, 64.19101732103441), (102.57863799334189, 65.01671130701565), (102.96922039514936, 65.84319812454446), (103.34849284482529, 66.67048501955797), (103.71592286385386, 67.49858024323822), (104.07099124183871, 68.32749298964795), (104.4131920425006, 69.15723333334475), (104.74203260904869, 69.98781216697283), (105.05703356892396, 70.81924113883258), (105.35772883791745, 71.65153259042837), (105.64366562366061, 72.48469949399363), (105.91440442848956, 73.31875538999428), (106.16951905168283, 74.15371432460982), (106.40859659107147, 74.98959078719207), (106.63123744402388, 75.82639964770223), (106.83705530780284, 76.66415609412532), (107.02567717929625, 77.50287556986272), (107.19674335412162, 78.34257371110274), (107.34990742510254, 79.18326628416833), (107.48483628012059, 80.02496912284369), (107.60121009933836, 80.8676980656778), (107.69872235179734, 81.71146889326633), (107.77707979138857, 82.55629726551128), (107.83600245219633, 83.40219865885827), (107.87522364321568, 84.24918830351204), (107.89448994244323, 85.0972811206296), (107.89356119034086, 85.94649165949113), (107.87221048267303, 86.79683403464898), (107.83022416271746, 87.64832186305433), (107.76740181284909, 88.50096820116183), (107.6835562454973, 89.35478548201193), (107.57851349347631, 90.20978545229124), (107.45211279968937, 91.06597910937073), (107.3042066062057, 91.92337663832151), (107.1346605427112, 92.78198734890896), (106.94335341433217, 93.64181961256418), (106.73017718883263, 94.50288079933361), (106.4950369831847, 95.36517721480658), (106.23785104951249, 96.22871403702024), (105.95855076040915, 97.09349525334308), (105.65708059362747, 97.9595235973355), (105.33339811614351, 98.82680048558889), (104.98747396759381, 99.69532595454211), (104.61929184308582, 100.56509859727613), (104.22884847538151, 101.4361155002864), (103.81615361645464, 102.308372180233), (103.38123001842101, 103.18186252066867), (102.92411341384216, 104.05657870874492), (102.44485249540261, 104.93251117189563), (101.94350889495985, 105.80964851449873), (101.42015716196839, 106.68797745451582), (100.87488474127649, 107.56748276010924), (100.30779195029663, 108.44814718623749), (99.71899195554911, 109.32995141122815), (99.10861074857894, 110.21287397332884), (98.47678712124625, 111.09689120723598), (97.82367264038979, 111.98197718060125), (97.1494316218639, 112.86810363051623), (96.4542411039488, 113.75523989997451), (95.73829082013404, 114.64335287431211), (95.00178317127553, 115.5324069176252), (94.24493319712563, 116.42236380916611), (93.46796854723677, 117.31318267971709), (92.67112945123827, 118.2048199479417), (91.85466868848653, 119.09722925671454), (91.01885155708842, 119.99036140942813), (90.16395584229838, 120.88416430627834), (89.29027178428821, 121.77858288052721), (88.39810204529081, 122.67355903474385), (87.48776167611678, 123.56903157702313), (86.55957808204458, 124.4649361571821), (85.6138909880841, 125.36120520293456), (84.65105240361314, 126.25776785604317), (83.6714265863877, 127.15454990844955), (82.6753900059253, 128.0514737383823), (81.66333130626161, 128.94845824644273), (80.63565126808062, 129.84541879166852), (79.59276277021796, 130.74226712757525), (78.53509075053745, 131.6389113381757), (77.46307216618135, 132.53525577397713), (76.37715595319332, 133.43120098795637), (75.27780298551546, 134.32664367151258), (74.16548603335801, 135.22147659039814), (73.04068972094268, 136.11558852062723), (71.90391048361933, 137.0088641843623), (70.75565652435579, 137.90118418577842), (69.59644776960123, 138.7924249469055), (68.42681582452263, 139.68245864344811), (67.24730392761471, 140.57115314058362), (66.05846690468317, 141.45837192873776), (64.86087112220113, 142.34397405933834), (63.65509444003911, 143.22781408054652), (62.44172616356811, 144.10974197296625), (61.2213669951362, 144.9896030853314), (59.99462898491824, 145.86723807017066), (58.762135481139055, 146.74248281945046), (57.52452107966993, 147.61516840019567), (56.282431572998384, 148.48512099008815), (55.036523898571275, 149.3521618130431), (53.7874660865112, 150.2161070747634), (52.53593720670625, 151.07676789827178), (51.28262731527311, 151.93395025942058), (50.02823740039344, 152.78745492237974), (48.773479327523575, 153.63707737510234), (47.51907578397758, 154.48260776476826), (46.26576022288353, 155.32383083320553), (45.01427680651334, 156.16052585228948), (43.76538034898561, 156.99246655931978), (42.51983625834204, 157.81942109237556), (41.27842047799705, 158.64115192564802), (40.041919427560686, 159.4574158047512), (38.811129943034985, 160.26796368201036), (37.586859216383566, 161.07254065172833), (36.369924734474516, 161.8708858854298), (35.1611542173967, 162.66273256708325), (33.96138555614921, 163.44780782830102), (32.77146674970443, 164.22583268351684), (31.592255841444146, 164.9965219651416), (30.424620854969078, 165.75958425869678), (29.269439729281757, 166.5147218379256), (28.127600253342745, 167.26163059988255), (27.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-25_cxpb-0.95_mutpb-0.95\2-RUN_POP-25_cxpb-0.95_mutpb-0.95_06062022-165906/sim_test_15431_06062022-165906,06062022-171033
"[[82.65895881762404, 138, 100, 89, 34, 114, 90], [5.0, 28, 56, 84, 112, 140, 168]]","[(82.65895881762404, 5.0), (84.29248095066364, 5.695348586589357), (85.8570990560676, 6.394409486632874), (87.35458097689668, 7.097108271086306), (88.78665264114429, 7.803371635744042), (90.15499904780353, 8.51312738984853), (91.4612652400727, 9.226304444757629), (92.70705726569963, 9.942832802669944), (93.89394312446522, 10.662643545408132), (95.0234537028054, 11.385668823260175), (96.09708369557232, 12.11184184387861), (97.1162925149345, 12.841096861237734), (98.08250518641526, 13.573369164648785), (98.99711323207073, 14.308595067833089), (99.86147554080608, 15.046711898053116), (100.67691922583131, 15.78765798530163), (101.44474046925527, 16.531372651548672), (102.16620535381898, 17.277796200046602), (102.84255068176768, 18.026869904693072), (103.4749847808614, 18.77853599945192), (104.06468829752524, 19.53273766783217), (104.61281497713769, 20.289419032424842), (105.12049243145826, 21.048525144497845), (105.5888228931939, 21.81000197364873), (106.01888395770399, 22.57379639751554), (106.41172931184488, 23.339856191545493), (106.7683894499526, 24.10813001882178), (107.08987237696476, 24.878567419948148), (107.37716429868154, 25.651118802991668), (107.63123029916478, 26.425735433483204), (107.85301500527704, 27.202369424476156), (108.04344323835855, 27.980973726662906), (108.20342065304364, 28.76150211854939), (108.33383436321579, 29.543909196687586), (108.43555355510132, 30.32815036596588), (108.50943008750275, 31.114181829957655), (108.55629907916999, 31.90196058132752), (108.57697948331125, 32.69144439229578), (108.57227464924242, 33.482591805160716), (108.54297287117495, 34.275362122878825), (108.48984792414402, 35.06971539970322), (108.41365958707327, 35.8656124318797), (108.31515415298098, 36.66301474840105), (108.19506492632314, 37.461884601819186), (108.05411270747598, 38.26218495911522), (107.89300626435842, 39.06387949262768), (107.71244279119121, 39.866932571038404), (107.51310835439727, 40.67130925041677), (107.29567832563934, 41.47697526532155), (107.06081780199682, 42.28389701996089), (106.80918201328232, 43.09204157941034), (106.54141671649563, 43.901376660888666), (106.25815857741797, 44.71187062509173), (105.96003553934406, 45.52349246758435), (105.64766717895364, 46.33621181025009), (105.32166504932201, 47.14999889279914), (104.9826330100684, 47.96482456433373), (104.63116754464475, 48.780660274972306), (104.26785806476214, 49.59747806753081), (103.89328720195628, 50.415250569262454), (103.50803108629296, 51.23395098365552), (103.11265961221025, 52.05355308228851), (102.70773669150205, 52.87403119674414), (102.2938204934385, 53.69536021058056), (101.87146367202624, 54.5175155513609), (101.44121358040779, 55.34047318274089), (101.00361247239842, 56.164209596613865), (100.55919769116379, 56.988701805314655), (100.10850184503502, 57.81392733388056), (99.65205297046296, 58.639864212370725), (99.19037468211215, 59.4664909682437), (98.723986310092, 60.29378661879221), (98.25340302432885, 61.12173066363684), (97.77913594607509, 61.95030307727692), (97.30169224655815, 62.77948430169977), (96.82157523276861, 63.60925523904795), (96.33928442038587, 64.43959724434401), (95.8553155938442, 65.27049211827398), (95.37016085353679, 66.10192210002802), (94.88430865015872, 66.9338698601996), (94.39824380618933, 67.76631849374253), (93.91244752451242, 68.59925151298555), (93.42739738417683, 69.43265284070563), (92.9435673232944, 70.26650680325858), (92.46142760907766, 71.10079812376792), (91.98144479501636, 71.93551191537182), (91.50408166519217, 72.77063367452752), (91.0297971657334, 73.60614927437447), (90.55904632340753, 74.44204495815478), (90.09228015135311, 75.27830733269184), (89.6299455419507, 76.11492336192728), (89.17248514683192, 76.95188036051505), (88.72033724402849, 77.7891659874745), (88.27393559225911, 78.62676823990061), (87.83370927235585, 79.46467544673251), (87.40008251582918, 80.30287626258021), (86.97347452057154, 81.14135966160852), (86.55429925370082, 81.98011493148007), (86.14296524154142, 82.81913166735524), (85.7398753467449, 83.6583997659506), (85.3454265325497, 84.4979094196554), (84.96000961417894, 85.33765111070556), (84.58400899737792, 86.17761560541611), (84.21780240408997, 87.01779394847136), (83.86176058527131, 87.85817745727299), (83.51624702084492, 88.6987577163463), (83.18161760679305, 89.53952657180423), (82.85822032938876, 90.38047612586959), (82.54639492656628, 91.22159873145488), (82.24647253643022, 92.06288698680048), (81.9587753329037, 92.90433373017059), (81.6836161485153, 93.74593203460708), (81.42129808432489, 94.58767520274165), (81.17211410698839, 95.42955676166534), (80.93634663296132, 96.27157045785673), (80.71426709984127, 97.11371025216756), (80.50613552484916, 97.95597031486658), (80.31220005044956, 98.79834502074132), (80.13269647710963, 99.64082894425776), (79.96784778319714, 100.48341685477804), (79.8178636320172, 101.32610371183605), (79.68293986598799, 102.16888466047125), (79.5632579879553, 103.01175502662005), (79.45898462964593, 103.85471031256542), (79.37027100725996, 104.69774619244443), (79.29725236420197, 105.54085850781382), (79.24004740095098, 106.38404326327334), (79.19875769206944, 107.22729662214721), (79.17346709035087, 108.07061490222358), (79.16424111810667, 108.91399457155177), (79.17112634559145, 109.7574322442977), (79.19414975656753, 110.60092467665714), (79.23331810100815, 111.44446876282706), (79.28861723493957, 112.28806153103469), (79.36001144742207, 113.13170013962484), (79.44744277466984, 113.97538187320507), (79.55083030130966, 114.81910413884877), (79.67006944877853, 115.66286446235637), (79.80503125086015, 116.50666048457418), (79.9555616163602, 117.35048995777166), (80.12148057892064, 118.19435074207634), (80.30258153397268, 119.03824080196674), (80.49863046282893, 119.8821582028234), (80.7093651439139, 120.72610110753773), (80.93449435113403, 121.57006777317883), (81.173697039386, 122.41405654771849), (81.42662151720432, 123.25806586681378), (81.69288460654758, 124.10209425064805), (81.97207078972353, 124.9461403008295), (82.26373134345333, 125.790202697348), (82.56738346007427, 126.63428019558971), (82.88250935588164, 127.47837162340969), (83.20855536660935, 128.32247587826262), (83.5449310300495, 129.16659192439133), (83.8910081558108, 130.01071879007327), (84.24611988221567, 130.85485556492517), (84.60955972033656, 131.69900139726536), (84.98058058517086, 132.54315549153435), (85.35839381395485, 133.3873171057732), (85.7421681716163, 134.23148554915994), (86.13102884336628, 135.0756601796038), (86.52405641442948, 135.91984040139766), (86.92028583691368, 136.7640256629283), (87.31870538381789, 137.60821545444466), (87.7182555901795, 138.45240930588403), (88.11782818136028, 139.2966067847562), (88.51626498847112, 140.14080749408575), (88.9123568509358, 140.98501107041204), (89.30484250619358, 141.82921718184744), (89.69240746654063, 142.6734255261932), (90.07368288311034, 143.51763582911366), (90.44724439699249, 144.3618478423681), (90.8116109774914, 145.20606134210078), (91.16524374752274, 146.05027612718897), (91.50654479614944, 146.8944920176486), (91.83385597825622, 147.7387088530982), (92.14545770136333, 148.58292649128094), (92.43956769957876, 149.42714480664415), (92.71433979468966, 150.27136368897732), (92.96786264439244, 151.11558304210763), (93.19815847766176, 151.95980278265375), (93.40318181725848, 152.8040228388375), (93.58081818937642, 153.6482431493535), (93.72888282042791, 154.4924636622968), (93.84511932096842, 155.3366843341483), (93.92719835675985, 156.18090512881844), (93.97271630697273, 157.02512601674863), (93.97919390952751, 157.86934697407085), (93.94407489357434, 158.71356798182492), (93.86472459911204, 159.55778902523394), (93.73842858374579, 160.40201009303775), (93.56239121658375, 161.2462311768842), (93.3337342592725, 162.09045227077848), (93.0494954341714, 162.93467337059047), (92.70662697966574, 163.77889447361977), (92.30199419261892, 164.62311557821923), (91.83237395796326, 165.4673366834758), (91.29445326542994, 166.31155778894987), (90.68482771341762, 167.15577889447243), (90.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-25_cxpb-0.95_mutpb-0.95\2-RUN_POP-25_cxpb-0.95_mutpb-0.95_06062022-165906/sim_test_15451_06062022-165906,06062022-171646
"[[108.9030754258183, 22, 107.2270525848058, 37, 194, 170.67623965861355, 52], [5.0, 28, 53.69249997523537, 84, 112, 141.71895167818258, 168]]","[(108.9030754258183, 5.0), (106.34725675244388, 5.694491992133206), (103.91694243275631, 6.391051806851653), (101.60738451989339, 7.089705729672006), (99.41399125956244, 7.7904781060113155), (97.33232370890676, 8.493391385696539), (95.35809238763889, 9.198466167011114), (93.48715396144178, 9.905721240278703), (91.7155079576376, 10.615173630984021), (90.03929351312382, 11.326838642430792), (88.45478615457739, 12.04072989793681), (86.95839461092608, 12.756859382566143), (85.5466576580875, 13.475237484398424), (84.2162409959759, 14.195873035335278), (82.96393415777608, 14.918773351443818), (81.78664745148569, 15.643944272837357), (80.68140893372428, 16.371390203093128), (79.6453614158104, 17.10111414820719), (78.67575950210626, 17.833117755086416), (77.76996666062963, 18.567401349577587), (76.92545232593397, 19.303963974033664), (76.13978903425553, 20.04280342441711), (75.4106495909283, 20.783916286940368), (74.73580427006665, 21.52729797424341), (74.1131180465151, 22.272942761108457), (73.5405478600665, 23.02084381971176), (73.01613991194685, 23.770993254412602), (72.53802699356845, 24.52338213607922), (72.10442584755016, 25.27800053595211), (71.71363456100552, 26.034837559044128), (71.36402999109833, 26.793881377078048), (71.05406522286592, 27.555119260960964), (70.78226705930982, 28.318537612795957), (70.54723354375426, 29.08412199743084), (70.34763151447193, 29.851857173543937), (70.18219419157785, 30.621727124267174), (70.04971879619016, 31.39371508734605), (69.94906420185906, 32.16780358483694), (69.8791486182631, 32.94397445234136), (69.83894730717279, 33.722208867777354), (69.82749033068261, 34.502487379688205), (69.84386033170954, 35.284789935087886), (69.88719034675997, 36.06909590684403), (69.95666165096402, 36.855384120597755), (70.05150163537697, 37.64363288122062), (70.17098171654932, 38.433819998808886), (70.314415278363, 39.22592281421463), (70.48115564613661, 40.01991822411421), (70.67059409299726, 40.81578270561373), (70.88215787852029, 41.61349234039152), (71.11530831963684, 42.41302283837806), (71.36953889380851, 43.21434956097259), (71.64437337447013, 44.017447543797196), (71.93936399873961, 44.82229151898782), (72.25408966739569, 45.628855937022394), (72.58815417712349, 46.437114988086314), (72.9411844850268, 47.2470426229745), (73.31282900540914, 48.05861257353133), (73.70275593882133, 48.87179837262697), (74.11065163337722, 49.68657337367123), (74.53621897833725, 50.50291076966462), (74.97917582995846, 51.320783611785885), (75.43925346961372, 52.14016482751762), (75.91619509417707, 52.961027238308155), (76.40975433867749, 53.78334357677101), (76.91969383122027, 54.60708650342142), (77.44578378017509, 55.43222862294962), (77.98780059363307, 56.258742500031936), (78.54552553113015, 57.086600674678266), (79.11874338763862, 57.91577567711708), (79.7072412098265, 58.746240042217615), (80.31080704458378, 59.57796632344869), (80.92922871981695, 60.410927106375354), (81.56229265751065, 61.24509502169198), (82.20978271905709, 62.080442757792824), (82.87147908285331, 62.91694307287984), (83.54715715416519, 63.75456880660702), (84.23658650726021, 64.59329289126265), (84.93952985980691, 65.433088362488), (85.65574207954212, 66.27392836953345), (86.38496922320633, 67.11578618505186), (87.12694760774544, 67.95863521442853), (87.88140291378173, 68.802449004649), (88.64804932135091, 69.64720125270335), (89.4265886779076, 70.49286581352791), (90.21670969859834, 71.33941670748418), (91.0180871988016, 72.18682812737435), (91.8303813589363, 73.0350744449948), (92.65323702153708, 73.88413021722583), (93.48628302059765, 74.73397019165903), (94.32913154318165, 75.58456931176175), (95.18137752330061, 76.43590272157824), (96.0425980680605, 77.28794576996873), (96.91235191607483, 78.14067401438467), (97.79017892814592, 78.99406322418172), (98.67559961021384, 79.84808938346988), (99.56811466857202, 80.70272869350006), (100.46720459735212, 81.55795757458885), (101.37232929827468, 82.4137526675793), (102.28292773266848, 83.2700908348395), (103.1984176057575, 84.12694916079829), (104.11819508321445, 84.98430495201748), (105.04163453998318, 85.84213573680194), (105.96808834136797, 86.70041926434631), (106.89688665639027, 87.55913350341906), (107.82733730341346, 88.41825664058341), (108.75872562803517, 89.27776707795582), (109.69031441324664, 90.13764343050102), (110.62134382186039, 90.9978645228647), (111.551031371205, 91.85840938574287), (112.47857194008762, 92.71925725178872), (113.40313780802403, 93.58038755105613), (114.32387872673651, 94.44177990598104), (115.23992202391884, 95.30341412589894), (116.15037273926932, 96.16527020110041), (117.05431379279115, 97.02732829642314), (117.95080618536045, 97.88956874438139), (118.83888923156198, 98.75197203783256), (119.71758082479212, 99.61451882218061), (120.58587773462985, 100.47718988711695), (121.442755936475, 101.33996615789806), (122.2871709734543, 102.20282868616074), (123.11805835059484, 103.06575864027394), (123.93433396126521, 103.92873729522798), (124.73489454588426, 104.79174602206095), (125.51861818289736, 105.65476627682203), (126.28436481202027, 106.51777958907206), (127.03097678975065, 107.3807675499212), (127.75727947714716, 108.24371179960363), (128.46208185987595, 109.10659401458949), (129.14417720052504, 109.96939589423381), (129.80234372318606, 110.83209914696273), (130.43534533030368, 111.69468547599669), (131.04193235179264, 112.55713656461066), (131.6208423264222, 113.4194340609317), (132.17080081546845, 114.2815595622736), (132.69052224863393, 115.14349459900833), (133.17871080223506, 116.00522061797525), (133.634061309657, 116.86671896542657), (134.0552602040761, 117.72797086951073), (134.44098649345025, 118.58895742229237), (134.78991276777614, 119.44965956130972), (135.100706238615, 120.31005805066894), (135.372029810885, 121.17013346167559), (135.602543186922, 122.0298661530033), (135.79090400280742, 122.88923625039948), (135.9357689969639, 123.74822362592812), (136.03579521101852, 124.60680787674993), (136.08964122293352, 125.46496830343918), (136.09596841240466, 126.32268388783815), (136.0534422585273, 127.17993327044826), (135.9607336697298, 128.03669472735854), (135.8165203459746, 128.89294614671124), (135.61948817322715, 129.7486650047045), (135.36833265019203, 130.603828341132), (135.06176034731698, 131.45841273445998), (134.69849039806405, 132.31239427644124), (134.2772560224491, 133.1657485462662), (133.79680608284815, 134.01845058425124), (133.2559066720716, 134.87047486506398), (132.6533427337063, 135.72179527048576), (131.98791971472454, 136.57238506171132), (131.25846525036155, 137.42221685118534), (130.46383088125958, 138.27126257397654), (129.60289380288035, 139.11949345868825), (128.6745586471847, 139.96687999790686), (127.67775929658004, 140.8133919181866), (126.61146073013504, 141.6589981495722), (125.4746609020623, 142.50366679465802), (124.26639265246841, 143.34736509718473), (122.98572565037168, 144.19005941017284), (121.63176836898725, 145.03171516359356), (120.20367009328011, 145.87229683157653), (118.70062295978536, 146.711767899155), (117.12186402869642, 147.55009082854775), (115.46667738822045, 148.38722702497836), (113.7343962912017, 149.22313680203152), (111.92440532401233, 150.05777934654662), (110.03614260771033, 150.89111268304816), (108.06910203146617, 151.72309363771348), (106.02283551825582, 152.55367780187754), (103.89695532282202, 153.3828194950749), (101.69113636190309, 154.21047172761862), (99.40511857672897, 155.03658616271662), (97.03870932778544, 155.86111307812467), (94.59178582184535, 156.68400132733703), (92.06429757126773, 157.50519830031365), (89.45626888556453, 158.3246498837451), (86.76780139523459, 159.14230042085413), (83.99907660786576, 159.95809267073443), (81.15035849650414, 160.7719677672268), (78.22199612029105, 161.583865177332), (75.21442627736775, 162.39372265916109), (72.12817619004724, 163.20147621942274), (68.9638662222545, 164.0070600704475), (65.72221262923344, 164.81040658674954), (62.40403033952201, 165.61144626112517), (59.010235769194594, 166.41010766028856), (55.54184966837224, 167.20631738004488), (52.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-25_cxpb-0.95_mutpb-0.95\2-RUN_POP-25_cxpb-0.95_mutpb-0.95_06062022-165906/sim_test_15477_06062022-165906,06062022-172428
