individual,road_points,test_outcome,description,timestamp
"[[114.3615968076121, 42, 36, 27, 70, 137, 13], [5.0, 28, 56, 84, 112, 140, 168]]","[(114.3615968076121, 5.0), (112.20480160791348, 5.695348586589357), (110.09723942152571, 6.394409486632874), (108.037896285735, 7.097108271086306), (106.02578583166661, 7.803371635744042), (104.05994880887643, 8.51312738984853), (102.13945261114013, 9.226304444757629), (100.26339080344104, 9.942832802669944), (98.43088265015606, 10.662643545408132), (96.64107264444006, 11.385668823260175), (94.8931300388087, 12.11184184387861), (93.1862483769195, 12.841096861237734), (91.51964502655089, 13.573369164648785), (89.8925607137803, 14.308595067833089), (88.3042590583596, 15.046711898053116), (86.75402611029, 15.78765798530163), (85.24116988759425, 16.531372651548672), (83.76501991528791, 17.277796200046602), (82.32492676554827, 18.026869904693072), (80.92026159908227, 18.77853599945192), (79.55041570769215, 19.53273766783217), (78.21480005803996, 20.289419032424842), (76.91284483660989, 21.048525144497845), (75.64399899586937, 21.81000197364873), (74.40772980162782, 22.57379639751554), (73.20352238159481, 23.339856191545493), (72.03087927513542, 24.10813001882178), (70.88931998422464, 24.878567419948148), (69.7783805255997, 25.651118802991668), (68.697612984111, 26.425735433483204), (67.64658506727113, 27.202369424476156), (66.62487966100248, 27.980973726662906), (65.63209438658286, 28.76150211854939), (64.66784115878968, 29.543909196687586), (63.731745745242215, 30.32815036596588), (62.82344732694254, 31.114181829957655), (61.942598060014475, 31.90196058132752), (61.08886263864099, 32.69144439229578), (60.26191785919991, 33.482591805160716), (59.46145218559776, 34.275362122878825), (58.68716531580254, 35.06971539970322), (57.938767749573834, 35.8656124318797), (57.21598035739221, 36.66301474840105), (56.5185339505864, 37.461884601819186), (55.8461688526587, 38.26218495911522), (55.19863447180944, 39.06387949262768), (54.575688874658624, 39.866932571038404), (53.977098361167, 40.67130925041677), (53.40263704075478, 41.47697526532155), (52.852086409618735, 42.28389701996089), (52.32523492924812, 43.09204157941034), (51.82187760613814, 43.901376660888666), (51.341815572702416, 44.71187062509173), (50.8848556693834, 45.52349246758435), (50.450810027961126, 46.33621181025009), (50.039495656060694, 47.14999889279914), (49.65073402285725, 47.96482456433373), (49.284350645980226, 48.780660274972306), (48.94017467961529, 49.59747806753081), (48.61803850380462, 50.415250569262454), (48.31777731494614, 51.23395098365552), (48.03922871749, 52.05355308228851), (47.78223231683445, 52.87403119674414), (47.546629313419395, 53.69536021058056), (47.33226209801835, 54.5175155513609), (47.13897384822912, 55.34047318274089), (46.96660812616202, 56.164209596613865), (46.815008477327375, 56.988701805314655), (46.68401803072054, 57.81392733388056), (46.57347910010555, 58.639864212370725), (46.48323278649745, 59.4664909682437), (46.41311858184202, 60.29378661879221), (46.36297397389496, 61.12173066363684), (46.33263405229846, 61.95030307727692), (46.32193111585653, 62.77948430169977), (46.3306942810088, 63.60925523904795), (46.3587490915021, 64.43959724434401), (46.4059171292609, 65.27049211827398), (46.47201562645579, 66.10192210002802), (46.556857078770335, 66.9338698601996), (46.660248859866364, 67.76631849374253), (46.78199283704721, 68.59925151298555), (46.92188498811995, 69.43265284070563), (47.07971501945517, 70.26650680325858), (47.25526598524567, 71.10079812376792), (47.44831390796323, 71.93551191537182), (47.65862740001356, 72.77063367452752), (47.885967286589995, 73.60614927437447), (48.13008622972503, 74.44204495815478), (48.390728353540545, 75.27830733269184), (48.66762887069617, 76.11492336192728), (48.960513710035876, 76.95188036051505), (49.26909914543325, 77.7891659874745), (49.593091425834686, 78.62676823990061), (49.93218640650109, 79.46467544673251), (50.28606918144805, 80.30287626258021), (50.65441371708382, 81.14135966160852), (51.03688248704639, 81.98011493148007), (51.433126108238135, 82.81913166735524), (51.842782978059226, 83.6583997659506), (52.265478912839306, 84.4979094196554), (52.70082678746727, 85.33765111070556), (53.14842617621963, 86.17761560541611), (53.6078629947871, 87.01779394847136), (54.07870914349942, 87.85817745727299), (54.56052215174861, 88.6987577163463), (55.05284482361056, 89.53952657180423), (55.55520488466482, 90.38047612586959), (56.067114630012775, 91.22159873145488), (56.58807057349423, 92.06288698680048), (57.11755309810217, 92.90433373017059), (57.655026107595866, 93.74593203460708), (58.19993667931251, 94.58767520274165), (58.7517147181768, 95.42955676166534), (59.309772611909175, 96.27157045785673), (59.873504887432205, 97.11371025216756), (60.44228786847534, 97.95597031486658), (61.015479334378014, 98.79834502074132), (61.592418180091, 99.64082894425776), (62.172424077376185, 100.48341685477804), (62.7547971372045, 101.32610371183605), (63.33881757335237, 102.16888466047125), (63.923745367196396, 103.01175502662005), (64.5088199337063, 103.85471031256542), (65.0932597886363, 104.69774619244443), (65.67626221691468, 105.54085850781382), (66.25700294223184, 106.38404326327334), (66.83463579782652, 107.22729662214721), (67.40829239847045, 108.07061490222358), (67.97708181365125, 108.91399457155177), (68.54009024195369, 109.7574322442977), (69.09638068663922, 110.60092467665714), (69.64499263242398, 111.44446876282706), (70.18494172345483, 112.28806153103469), (70.71521944248404, 113.13170013962484), (71.2347927912421, 113.97538187320507), (71.74260397200885, 114.81910413884877), (72.23757007038306, 115.66286446235637), (72.71858273925018, 116.50666048457418), (73.18450788394844, 117.35048995777166), (73.6341853486335, 118.19435074207634), (74.06642860384096, 119.03824080196674), (74.48002443524778, 119.8821582028234), (74.87373263363139, 120.72610110753773), (75.24628568602762, 121.57006777317883), (75.59638846808677, 122.41405654771849), (75.9227179376279, 123.25806586681378), (76.22392282939167, 124.10209425064805), (76.49862335099118, 124.9461403008295), (76.74541088006157, 125.790202697348), (76.96284766260749, 126.63428019558971), (77.14946651254917, 127.47837162340969), (77.30377051246671, 128.32247587826262), (77.42423271554283, 129.16659192439133), (77.50929584870364, 130.01071879007327), (77.5573720169581, 130.85485556492517), (77.56684240893546, 131.69900139726536), (77.53605700362128, 132.54315549153435), (77.46333427829173, 133.3873171057732), (77.34696091764599, 134.23148554915994), (77.18519152413724, 135.0756601796038), (76.97624832950186, 135.91984040139766), (76.71832090748697, 136.7640256629283), (76.40956588777622, 137.60821545444466), (76.04810667111401, 138.45240930588403), (75.63203314562799, 139.2966067847562), (75.15940140434981, 140.14080749408575), (74.62823346393435, 140.98501107041204), (74.03651698457706, 141.82921718184744), (73.38220499112983, 142.6734255261932), (72.66321559541504, 143.51763582911366), (71.87743171973806, 144.3618478423681), (71.02270082159787, 145.20606134210078), (70.0968346195961, 146.05027612718897), (69.09760882054461, 146.8944920176486), (68.02276284777102, 147.7387088530982), (66.8699995706228, 148.58292649128094), (65.63698503516962, 149.42714480664415), (64.32134819610391, 150.27136368897732), (62.92068064984004, 151.11558304210763), (61.43253636881148, 151.95980278265375), (59.85443143696651, 152.8040228388375), (58.18384378646214, 153.6482431493535), (56.4182129355563, 154.4924636622968), (54.55493972769863, 155.3366843341483), (52.59138607181924, 156.18090512881844), (50.52487468381597, 157.02512601674863), (48.35268882924008, 157.86934697407085), (46.07207206717985, 158.71356798182492), (43.68022799534305, 159.55778902523394), (41.174319996337374, 160.40201009303775), (38.55147098514924, 161.2462311768842), (35.808763157821055, 162.09045227077848), (32.94323774132647, 162.93467337059047), (29.951894744644505, 163.77889447361977), (26.831692711031472, 164.62311557821923), (23.579548471491464, 165.4673366834758), (20.192336899445152, 166.31155778894987), (16.66689066659692, 167.15577889447243), (13.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-75_cxpb-0.9_mutpb-0.9\5-RUN_POP-75_cxpb-0.9_mutpb-0.9_03062022-075151/sim_test_9534_03062022-075151,03062022-075240
"[[117.31109028250305, 146, 144, 99, 107, 12, 169], [5.0, 28, 56, 84, 112, 140, 168]]","[(117.31109028250305, 5.0), (118.16442802684544, 5.695348586589357), (118.99434401700258, 6.394409486632874), (119.80068705468973, 7.097108271086306), (120.5833291708377, 7.803371635744042), (121.34216482687604, 8.51312738984853), (122.07711012903849, 9.226304444757629), (122.78810205569175, 9.942832802669944), (123.4750976976878, 10.662643545408132), (124.13807351173845, 11.385668823260175), (124.77702458681392, 12.11184184387861), (125.3919639235639, 12.841096861237734), (125.98292172676183, 13.573369164648785), (126.54994471077246, 14.308595067833089), (127.09309541804198, 15.046711898053116), (127.61245155061215, 15.78765798530163), (128.10810531465654, 16.531372651548672), (128.58016277804066, 17.277796200046602), (129.02874324090448, 18.026869904693072), (129.45397861926855, 18.77853599945192), (129.85601284166316, 19.53273766783217), (130.23500125878036, 20.289419032424842), (130.59111006614916, 21.048525144497845), (130.924515739834, 21.81000197364873), (131.23540448515593, 22.57379639751554), (131.5239716984373, 23.339856191545493), (131.79042144176944, 24.10813001882178), (132.03496593080308, 24.878567419948148), (132.25782503556243, 25.651118802991668), (132.45922579428165, 26.425735433483204), (132.6394019402653, 27.202369424476156), (132.79859344177098, 27.980973726662906), (132.9370460549158, 28.76150211854939), (133.05501088960554, 29.543909196687586), (133.1527439884865, 30.32815036596588), (133.23050591892175, 31.114181829957655), (133.28856137798905, 31.90196058132752), (133.32717881050252, 32.69144439229578), (133.34663004005787, 33.482591805160716), (133.34718991309893, 34.275362122878825), (133.32913595601033, 35.06971539970322), (133.29274804522962, 35.8656124318797), (133.23830809038571, 36.66301474840105), (133.16609973045843, 37.461884601819186), (133.07640804296145, 38.26218495911522), (132.96951926614966, 39.06387949262768), (132.8457205342473, 39.866932571038404), (132.70529962570157, 40.67130925041677), (132.5485447244576, 41.47697526532155), (132.37574419425712, 42.28389701996089), (132.18718636596097, 43.09204157941034), (131.98315933789289, 43.901376660888666), (131.76395078920842, 44.71187062509173), (131.52984780628552, 45.52349246758435), (131.28113672213868, 46.33621181025009), (131.01810296885674, 47.14999889279914), (130.74103094306204, 47.96482456433373), (130.45020388439534, 48.780660274972306), (130.14590376702117, 49.59747806753081), (129.82841120415776, 50.415250569262454), (129.4980053656304, 51.23395098365552), (129.15496390844598, 52.05355308228851), (128.7995629203931, 52.87403119674414), (128.43207687666327, 53.69536021058056), (128.05277860949607, 54.5175155513609), (127.66193929084807, 55.34047318274089), (127.2598284280826, 56.164209596613865), (126.84671387268567, 56.988701805314655), (126.4228618420024, 57.81392733388056), (125.98853695399772, 58.639864212370725), (125.54400227504054, 59.4664909682437), (125.08951938070936, 60.29378661879221), (124.62534842962326, 61.12173066363684), (124.15174825029413, 61.95030307727692), (123.66897644100246, 62.77948430169977), (123.17728948269729, 63.60925523904795), (122.6769428649172, 64.43959724434401), (122.16819122473655, 65.27049211827398), (121.65128849873331, 66.10192210002802), (121.12648808798063, 66.9338698601996), (120.59404303606148, 67.76631849374253), (120.05420622010585, 68.59925151298555), (119.50723055485211, 69.43265284070563), (118.95336920973025, 70.26650680325858), (118.39287583896905, 71.10079812376792), (117.82600482472608, 71.93551191537182), (117.25301153324041, 72.77063367452752), (116.6741525840094, 73.60614927437447), (116.08968613198743, 74.44204495815478), (115.49987216280842, 75.27830733269184), (114.90497280103153, 76.11492336192728), (114.30525263140896, 76.95188036051505), (113.7009790331786, 77.7891659874745), (113.09242252737785, 78.62676823990061), (112.47985713718182, 79.46467544673251), (111.8635607612645, 80.30287626258021), (111.24381556018184, 81.14135966160852), (110.62090835577999, 81.98011493148007), (109.99513104362461, 82.81913166735524), (109.36678101845446, 83.6583997659506), (108.73616161265782, 84.4979094196554), (108.10358254777167, 85.33765111070556), (107.46936039900447, 86.17761560541611), (106.83381907278176, 87.01779394847136), (106.19729029731472, 87.85817745727299), (105.5601141261921, 88.6987577163463), (104.92263945499515, 89.53952657180423), (104.28522455093548, 90.38047612586959), (103.64823759551632, 91.22159873145488), (103.01205724021652, 92.06288698680048), (102.37707317519796, 92.90433373017059), (101.74368671103579, 93.74593203460708), (101.11231137347191, 94.58767520274165), (100.48337351119162, 95.42955676166534), (99.85731291662306, 96.27157045785673), (99.23458345976009, 97.11371025216756), (98.61565373500805, 97.95597031486658), (98.00100772105262, 98.79834502074132), (97.39114545375185, 99.64082894425776), (96.78658371205134, 100.48341685477804), (96.18785671692223, 101.32610371183605), (95.59551684332263, 102.16888466047125), (95.01013534518185, 103.01175502662005), (94.43230309340805, 103.85471031256542), (93.86263132691853, 104.69774619244443), (93.30175241669357, 105.54085850781382), (92.7503206428531, 106.38404326327334), (92.20901298475634, 107.22729662214721), (91.67852992412507, 108.07061490222358), (91.15959626118928, 108.91399457155177), (90.6529619438565, 109.7574322442977), (90.1594029099038, 110.60092467665714), (89.67972194219323, 111.44446876282706), (89.21474953691006, 112.28806153103469), (88.76534478482428, 113.13170013962484), (88.33239626557523, 113.97538187320507), (87.91682295497903, 114.81910413884877), (87.51957514535955, 115.66286446235637), (87.14163537890208, 116.50666048457418), (86.78401939403027, 117.35048995777166), (86.44777708480616, 118.19435074207634), (86.1339934733533, 119.03824080196674), (85.84378969530286, 119.8821582028234), (85.57832399826295, 120.72610110753773), (85.33879275331103, 121.57006777317883), (85.12643147950922, 122.41405654771849), (84.94251588144313, 123.25806586681378), (84.78836289978318, 124.10209425064805), (84.66533177486956, 124.9461403008295), (84.57482512331995, 125.790202697348), (84.51829002766054, 126.63428019558971), (84.49721913897989, 127.47837162340969), (84.51315179260612, 128.32247587826262), (84.56767513680711, 129.16659192439133), (84.66242527451375, 130.01071879007327), (84.79908841806635, 130.85485556492517), (84.97940205698403, 131.69900139726536), (85.20515613875733, 132.54315549153435), (85.47819426266395, 133.3873171057732), (85.8004148866072, 134.23148554915994), (86.17377254697821, 135.0756601796038), (86.60027909154053, 135.91984040139766), (87.08200492533831, 136.7640256629283), (87.62108026962741, 137.60821545444466), (88.21969643382951, 138.45240930588403), (88.88010710050943, 139.2966067847562), (89.60462962337554, 140.14080749408575), (90.39564633830315, 140.98501107041204), (91.2556058873812, 141.82921718184744), (92.18702455598176, 142.6734255261932), (93.19248762285292, 143.51763582911366), (94.27465072323446, 144.3618478423681), (95.43624122499693, 145.20606134210078), (96.68005961780361, 146.05027612718897), (98.00898091529557, 146.8944920176486), (99.4259560702999, 147.7387088530982), (100.93401340306109, 148.58292649128094), (102.53626004249514, 149.42714480664415), (104.23588338046748, 150.27136368897732), (106.03615253909311, 151.11558304210763), (107.94041985106047, 151.95980278265375), (109.95212235297808, 152.8040228388375), (112.07478329174445, 153.6482431493535), (114.31201364394114, 154.4924636622968), (116.66751364824846, 155.3366843341483), (119.14507435088481, 156.18090512881844), (121.74857916406884, 157.02512601674863), (124.48200543750468, 157.86934697407085), (127.34942604289056, 158.71356798182492), (130.35501097144987, 159.55778902523394), (133.50302894448618, 160.40201009303775), (136.79784903696043, 161.2462311768842), (140.2439423140921, 162.09045227077848), (143.84588348098302, 162.93467337059047), (147.60835254526387, 163.77889447361977), (151.53613649276474, 164.62311557821923), (155.63413097620787, 165.4673366834758), (159.90734201692405, 166.31155778894987), (164.36088771959177, 167.15577889447243), (169.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-75_cxpb-0.9_mutpb-0.9\5-RUN_POP-75_cxpb-0.9_mutpb-0.9_03062022-075151/sim_test_9542_03062022-075151,03062022-075508
"[[102.5274797071082, 14.204871149454117, 66.94244470537839, 71.69369822397039, 153.37173342192094, 50.79494176254087, 193], [5.0, 25.027745662378464, 57.86441429509832, 85.82076635347892, 113.59744646690703, 139.78655146927952, 168]]","[(102.5274797071082, 5.0), (99.91744023473713, 5.608658690728658), (97.41142481600785, 6.2267544889259545), (95.00666089292372, 6.854025663569202), (92.70044479348057, 7.490215492883975), (90.49014016805488, 8.13507219974383), (88.37317644638563, 8.788348887529382), (86.34704731515089, 9.449803476446867), (84.40930921613842, 10.119198640306017), (82.55757986501054, 10.796301743757459), (80.7895367906637, 11.480884779989433), (79.10291589518177, 12.172724308883993), (77.49551003438411, 12.871601395632577), (75.9651676189676, 13.57730154981101), (74.50979123624299, 14.289614664913872), (73.12733629246581, 15.008334958348408), (71.81580967576123, 15.733260911887673), (70.57326843964351, 16.46419521258323), (69.3978185071295, 17.20094469413721), (68.28761339544643, 17.94332027873373), (67.24085296133427, 18.691136919329857), (66.25578216694203, 19.444213542405855), (65.3306898663187, 20.202372991174933), (64.46390761249806, 20.965441969252332), (63.6538084851781, 21.73325098478385), (62.898805938994684, 22.505634295033865), (62.19735267238947, 23.282429851432624), (61.54793951707199, 24.063479245083045), (60.94909434807626, 24.84862765272693), (60.39938101441139, 25.637723783170504), (59.8973982903069, 26.43061982416949), (59.4417788470518, 27.2271713897735), (59.03118824542844, 28.027237468129883), (58.66432394874038, 28.830680369747007), (58.33991435643447, 29.637365676216834), (58.05671785831761, 30.44716218939712), (57.81352190936735, 31.259941881052786), (57.60914212513708, 32.07557984295694), (57.44242139775543, 32.8939542374511), (57.312229032519724, 33.71494624846489), (57.217459905084354, 34.53844003299538), (57.15703363924251, 35.36432267304536), (57.129893805303126, 36.19248412802153), (57.13500713906161, 37.02281718759182), (57.171362781364685, 37.85521742500206), (57.23797153827033, 38.689583150852414), (57.33386516180086, 39.52581536733274), (57.458095651291366, 40.363817722917865), (57.609734575331835, 41.20349646752185), (57.787872414303585, 42.04476040811189), (57.99161792351039, 42.88752086478167), (58.220097516903344, 43.73169162728392), (58.472454671400484, 44.577188912022606), (58.7478493518004, 45.42393131950436), (59.045457456290215, 46.271839792249445), (59.36447028254814, 47.120837573162156), (59.7040940144396, 47.970850164360336), (60.06354922930861, 48.821805286464866), (60.44207042586261, 49.67363283834792), (60.838905572651925, 50.52626485734111), (61.25331567714385, 51.379635479903), (61.68457437539014, 52.23368090274552), (62.13196754228984, 53.08833934442068), (62.59479292244559, 53.94355100736583), (63.07235978161459, 54.799258040408844), (63.563988578753985, 55.65540450173274), (64.06901065865993, 56.51193632229909), (64.58676796520186, 57.36880126973194), (65.11661277515013, 58.22594891265996), (65.65790745259856, 59.08333058551881), (66.21002422398118, 59.94089935381275), (66.7723449736828, 60.798609979835256), (67.34426106024465, 61.65641888884971), (67.92517315316357, 62.51428413572898), (68.51449109028589, 63.37216537205459), (69.11163375579575, 64.23002381367547), (69.71602897879697, 65.08782220872567), (70.32711345249022, 65.94552480610209), (70.94433267394375, 66.80309732440107), (71.5671409044585, 67.66050692131472), (72.19500115052801, 68.51772216348672), (72.82738516539172, 69.37471299682693), (73.4637734711836, 70.23145071728646), (74.1036554016742, 71.08790794209112), (74.74652916560748, 71.94405858143489), (75.39190193063186, 72.79987781063272), (76.03928992782511, 73.65534204273233), (76.6882185768145, 74.51042890158627), (77.33822263149018, 75.3651171953823), (77.98884634631341, 76.21938689063423), (78.63964366321926, 77.0732190866315), (79.29017841911276, 77.9265959903482), (79.94002457396059, 78.77950089181206), (80.58876645947583, 79.6319181399322), (81.23599904839777, 80.48383311878646), (81.88132824436592, 81.33523222436878), (82.52437119238762, 82.18610284179462), (83.16475660990133, 83.03643332296743), (83.8021251384326, 83.88621296470323), (84.43612971584551, 84.73543198731531), (85.06643596918796, 85.58408151365816), (85.69272262813107, 86.43215354863061), (86.31468195900328, 87.27964095913869), (86.93202021941853, 88.12653745451782), (87.54445813349855, 88.97283756741425), (88.15173138768984, 89.81853663512614), (88.75359114717466, 90.66363078140384), (89.34980459287623, 91.50811689870979), (89.9401554790586, 92.35199263093763), (90.52444471152039, 93.1952563565909), (91.10249094638307, 94.03790717242103), (91.67413120947344, 94.87994487752474), (92.23922153630052, 95.72136995790115), (92.79763763262645, 96.56218357146761), (93.34927555563198, 97.40238753353583), (93.89405241567611, 98.24198430274674), (94.43190709865004, 99.08097696746499), (94.9628010089254, 99.91936923263299), (95.48671883289671, 100.75716540708422), (96.00366932311837, 101.59437039131585), (96.51368610303555, 102.43098966572106), (97.01682849230974, 103.26702927928056), (97.5131823527384, 104.10249583871362), (98.00286095476883, 104.93739649808832), (98.48600586460665, 105.77173894889154), (98.96278785191805, 106.60553141055804), (99.43340781812698, 107.43878262145932), (99.89809774530596, 108.27150183035137), (100.35712166566175, 109.1036987882824), (100.8107766516148, 109.93538374095952), (101.2593938264736, 110.76656742157517), (101.70333939570257, 111.59726104409272), (102.14301569878498, 112.42747629699173), (102.5788622816796, 113.25722533747226), (103.01135698987193, 114.08652078611904), (103.44101708201961, 114.91537572202466), (103.86840036419228, 115.74380367837237), (104.29410634470543, 116.57181863847838), (104.7187774095488, 117.39943503229324), (105.143100018409, 118.22666773336303), (105.56780592128639, 119.05353205624967), (105.9936733957062, 119.88004375441082), (106.42152850452405, 120.70621901853909), (106.85224637432579, 121.53207447536067), (107.28675249442139, 122.35762718689347), (107.72602403643336, 123.18289465016449), (108.17109119447942, 124.0078947973868), (108.62303854594933, 124.83264599659587), (109.08300643287618, 125.65716705274522), (109.5521923639018, 126.4814772092616), (110.03185243683663, 127.30559615005946), (110.52330278181373, 128.12954400201502), (111.02792102503717, 128.9533413378995), (111.54714777312473, 129.77700917977216), (112.08248811804475, 130.60056900283212), (112.63551316264741, 131.42404273973034), (113.20786156679026, 132.2474527853403), (113.801241114058, 133.07082200198877), (114.41743029907671, 133.89417372514544), (115.05827993542194, 134.71753176957222), (115.72571478412175, 135.54092043593192), (116.42173520275341, 136.3643645178564), (117.14841881513479, 137.1878893094739), (117.90792220160989, 138.01152061339621), (118.70248260992864, 138.83528474916477), (119.53441968672107, 139.65920856215646), (120.40613722956562, 140.48331943294886), (121.32012495965198, 141.30764528714457), (122.2789603150381, 142.13221460565555), (123.28531026450128, 142.95705643544616), (124.34193314198394, 143.78220040073612), (125.45168050163336, 144.60767671466272), (126.6174989934359, 145.43351619140242), (127.84243225944543, 146.2597502587519), (129.12962285060604, 147.08641097116856), (130.48231416416905, 147.9135310232702), (131.90385240170434, 148.74114376379458), (133.39768854770588, 149.5692832100179), (134.96738036879185, 150.39798406263287), (136.6165944334985, 151.2272817210865), (138.34910815266886, 152.05721229937677), (140.16881184043524, 152.88781264230897), (142.0797107957966, 153.71912034221157), (144.08592740478963, 154.55117375611144), (146.1917032632545, 155.38401202336826), (148.40140132019474, 156.2176750837686), (150.71950804173136, 157.05220369607923), (153.15063559565144, 157.88763945706017), (155.69952405655098, 158.7240248209367), (158.3710436315718, 159.5614031193311), (161.170196906733, 160.39981858165362), (164.1021211138565, 161.23931635595304), (167.17209041808707, 162.07994253022653), (170.3855182260068, 162.92174415418899), (173.7479595143431, 163.76476926150156), (177.26511317927185, 164.60906689246005), (180.9428244063144, 165.45468711714216), (184.787087060829, 166.30168105901458), (188.80404609909638, 167.1501009189995), (193.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_b\POP-75_cxpb-0.9_mutpb-0.9\5-RUN_POP-75_cxpb-0.9_mutpb-0.9_03062022-075151/sim_test_9716_03062022-075151,03062022-090528
