individual,road_points,test_outcome,description,timestamp
"[[90.71783069861785, 122, 181.10341202546826, 43, 48, 37, 97], [5.0, 28, 51.07573766931709, 84, 112, 140, 168]]","[(90.71783069861785, 5.0), (91.67098405911338, 5.6935205926869745), (92.64186211462145, 6.387244112399715), (93.62722991327767, 7.081311047079426), (94.6239774129652, 7.775856452478281), (95.62911707729036, 8.471010052235838), (96.63978149254498, 9.166896337157041), (97.65322100565612, 9.86363466369185), (98.66680138312327, 10.561339351616526), (99.67800149094278, 11.260119780916519), (100.6844109955198, 11.960080487870984), (101.68372808556731, 12.661321260338935), (102.67375721499262, 13.363937232247032), (103.65240686677116, 14.06801897727897), (104.61768733780745, 14.773652601766488), (105.56770854478374, 15.480919836782073), (106.50067785099576, 16.189898129433207), (107.41489791417571, 16.900660733358293), (108.30876455530287, 17.613276798424206), (109.180764648401, 18.32781145962538), (110.02947403132389, 19.04432592518472), (110.85355543752745, 19.762877563855927), (111.65175644882962, 20.483519991427592), (112.42290746915738, 21.20630315642884), (113.16591971928095, 21.931273425036633), (113.87978325253594, 22.658473665184697), (114.56356499153212, 23.387943329874116), (115.21640678584978, 24.11971853968541), (115.8375234907237, 24.8538321644925), (116.42620106671367, 25.59031390437794), (116.98179470036364, 26.32919036975016), (117.5037269458466, 27.07048516066206), (117.99148588759817, 27.814218945331334), (118.44462332393691, 28.560409537862455), (118.86275297167141, 29.309071975170145), (119.24554869169621, 30.060218593104704), (119.59274273557338, 30.813859101778707), (119.90412401310265, 31.57000066009555), (120.17953638087823, 32.32864794947947), (120.41887695183287, 33.08980324680722), (120.6220944257703, 33.85346649654155), (120.78918744088305, 34.619635382065916), (120.92020294625992, 35.38830539622131), (121.01523459537896, 36.15946991104436), (121.07442116058823, 36.93312024670706), (121.09794496857506, 37.70924573965851), (121.08603035682033, 38.487833809967704), (121.0389421510427, 39.26887002786846), (120.95698416362806, 40.0523381795057), (120.84049771304731, 40.838220331883356), (120.6898601642616, 41.62649689701411), (120.50548349011422, 42.41714669527046), (120.28781285371032, 43.21014701793773), (120.03732521178394, 44.005473688968394), (119.75452793905191, 44.80310112593831), (119.43995747355623, 45.60300240020447), (119.09417798299171, 46.4051492962641), (118.71778005202339, 47.209512370316084), (118.31137939058952, 48.016061008023186), (117.87561556319228, 48.82476348147646), (117.41115073917685, 49.63558700536122), (116.91866846399564, 50.44849779232422), (116.39887245146242, 51.26346110754318), (115.85248539699182, 52.080441322497194), (115.28024781182681, 52.89940196793931), (114.68291687825435, 53.72030578607049), (114.06126532580623, 54.543114781915115), (113.41608032845, 55.36779027389846), (112.74816242276484, 56.19429294362541), (112.05832444710605, 57.02258288486101), (111.34739050175685, 57.85261965171271), (110.61619493006641, 58.68436230601388), (109.86558132057692, 59.51776946390953), (109.09640153013663, 60.352799341643056), (108.30951472800031, 61.18940980054498), (107.50578646091834, 62.027558391223366), (106.68608773921105, 62.8672023969554), (105.85129414383243, 63.70829887628124), (105.00228495441984, 64.55080470479898), (104.13994229833132, 65.39467661616146), (103.26515032067098, 66.23987124227484), (102.37879437530012, 67.08634515269827), (101.48176023683773, 67.93405489324591), (100.57493333364664, 68.78295702379009), (99.65919800180758, 69.63300815526614), (98.73543676008109, 70.48416498587912), (97.8045296058555, 71.33638433651173), (96.86735333208392, 72.18962318533443), (95.9247808652069, 73.04383870161652), (94.97768062406345, 73.89898827873944), (94.02691589978936, 74.75502956641145), (93.07334425670193, 75.61192050208362), (92.11781695417342, 76.46961934156823), (91.16117838949063, 77.32808468885797), (90.20426556170243, 78.1872755251472), (89.24790755645456, 79.047151237055), (88.29292505181131, 79.90767164404909), (87.34012984506536, 80.76879702507253), (86.3903244005341, 81.63048814437094), (85.44430141834388, 82.492706276522), (84.50284342420123, 83.35541323066641), (83.56672238015145, 84.21857137394045), (82.63669931632481, 85.08214365411003), (81.71352398366987, 85.94609362140682), (80.79793452767395, 86.81038544956542), (79.89065718307124, 87.67498395606258), (78.99240598953817, 88.53985462155791), (78.10388252837588, 89.40496360853612), (77.22577568018045, 90.27027777915116), (76.35876140349991, 91.13576471227155), (75.5035025344791, 92.00139271972786), (74.6606486074915, 92.86713086176135), (73.8308356967585, 93.73294896167465), (73.01468627895613, 94.59881761968362), (72.21280911680894, 95.46470822597117), (71.42579916367121, 96.33059297294271), (70.65423748909566, 97.196444866683), (69.89869122538921, 98.0622377376148), (69.15971353515647, 98.92794625035911), (68.43784359983013, 99.79354591279703), (67.73360662918888, 100.65901308433314), (67.04751389186285, 101.52432498336084), (66.38006276682586, 102.3894596939289), (65.73173681587559, 103.25439617160986), (65.10300587710066, 104.11911424857), (64.49432617933523, 104.98359463784111), (63.90614047760091, 105.84781893679356), (63.33887820953582, 106.71176962981127), (62.79295567281135, 107.57543009016818), (62.26877622353584, 108.43878458110638), (61.76673049564589, 109.30181825611582), (61.2871966412848, 110.16451715841579), (60.830540592168454, 111.02686821963795), (60.397116341938506, 111.8888592577107), (59.98726624950288, 112.75047897394582), (59.601321363363624, 113.61171694932608), (59.239601766932005, 114.4725636399948), (58.902416944831074, 115.33301037194727), (58.590066170185466, 116.19304933492299), (58.30283891289848, 117.05267357550059), (58.04101526891671, 117.91187698939353), (57.80486641048165, 118.7706543129479), (57.594655057369, 119.62900111384167), (57.41063596911502, 120.4869137809855), (57.25305645823036, 121.34438951362546), (57.12215692440118, 122.20142630964699), (57.01817140967755, 123.05802295308078), (56.94132817464929, 123.91417900081028), (56.89185029560903, 124.76989476848048), (56.86995628270263, 125.62517131560885), (56.875860719067006, 126.48001042989752), (56.9097749209551, 127.3344146107471), (56.971907618848405, 128.18838705197243), (57.06246565955666, 129.04193162371956), (57.18165472930491, 129.89505285358473), (57.32968009780793, 130.74775590693466), (57.50674738333195, 131.60004656642863), (57.713063338743666, 132.4519312107422), (57.94883665854673, 133.3034167924926), (58.21427880690533, 134.15451081536543), (58.50960486665532, 135.00522131044343), (58.83503440930256, 135.85555681173662), (59.19079238600861, 136.70552633091404), (59.57711003956378, 137.55513933123734), (59.99422583734744, 138.4044057006957), (60.44238642527576, 139.2533357243426), (60.921847602736634, 140.10194005583418), (61.4328753185121, 140.95022968816903), (61.97574668768801, 141.79821592363007), (62.55075102955092, 142.64591034292744), (63.15819092647254, 143.4933247735435), (63.79838330378132, 144.34047125727923), (64.47166053062139, 145.18736201700239), (65.17837154179901, 146.03400942259714), (65.91888298061603, 146.88042595611552), (66.69358036269097, 147.7266241761301), (67.50286926076728, 148.57261668128902), (68.34717651050893, 149.41841607307185), (69.22695143728345, 150.26403491774772), (70.14266710393208, 151.10948570753445), (71.0948215795275, 151.95478082096002), (72.08393922911864, 152.799932482425), (73.11057202446305, 153.64495272096707), (74.17530087574646, 154.48985332822707), (75.27873698428965, 155.33464581561634), (76.42152321624275, 156.1793413706863), (77.60433549726676, 157.02395081269896), (78.82788422820254, 157.86848454739965), (80.092915721727, 158.71295252099114), (81.40021365999658, 159.55736417330928), (82.7506005732783, 160.40172839020036), (84.1449393395678, 161.2460534551002), (85.58413470519497, 162.09034699981467), (87.06913482641693, 162.93461595450214), (88.60093283199801, 163.7788664968571), (90.18056840677744, 164.62310400049583), (91.80912939622415, 165.46733298254347), (93.48775343197896, 166.3115570504228), (95.21762957838406, 167.15577884784472), (97.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-75_cxpb-0.9_mutpb-0.9\9-RUN_POP-75_cxpb-0.9_mutpb-0.9_28052022-080344/sim_test_24926_28052022-080344,28052022-085744
"[[95.36261716736084, 97, 94, 149, 25, 18, 152], [5.0, 28, 56, 84, 112, 140, 168]]","[(95.36261716736084, 5.0), (95.41038506995898, 5.695348586589357), (95.45555404345436, 6.394409486632874), (95.49897709539862, 7.097108271086306), (95.54144225036463, 7.803371635744042), (95.58367442346281, 8.51312738984853), (95.6263372748709, 9.226304444757629), (95.67003504537824, 9.942832802669944), (95.71531437294375, 10.662643545408132), (95.7626660902683, 11.385668823260175), (95.81252700338118, 12.11184184387861), (95.86528165124034, 12.841096861237734), (95.92126404634689, 13.573369164648785), (95.98075939637384, 14.308595067833089), (96.04400580680836, 15.046711898053116), (96.11119596460891, 15.78765798530163), (96.18247880287569, 16.531372651548672), (96.25796114653576, 17.277796200046602), (96.33770933904188, 18.026869904693072), (96.4217508500852, 18.77853599945192), (96.51007586432284, 19.53273766783217), (96.60263885111885, 20.289419032424842), (96.6993601152993, 21.048525144497845), (96.80012732892173, 21.81000197364873), (96.90479704405838, 22.57379639751554), (97.01319618659385, 23.339856191545493), (97.12512353103646, 24.10813001882178), (97.2403511563439, 24.878567419948148), (97.35862588276298, 25.651118802991668), (97.47967068968305, 26.425735433483204), (97.60318611450433, 27.202369424476156), (97.72885163251927, 27.980973726662906), (97.85632701780906, 28.76150211854939), (97.98525368515322, 29.543909196687586), (98.11525601295385, 30.32815036596588), (98.24594264717398, 31.114181829957655), (98.37690778628952, 31.90196058132752), (98.507732447256, 32.69144439229578), (98.63798571248874, 33.482591805160716), (98.767225957857, 34.275362122878825), (98.89500206169349, 35.06971539970322), (99.02085459481592, 35.8656124318797), (99.14431699156441, 36.66301474840105), (99.2649167018522, 37.461884601819186), (99.38217632422993, 38.26218495911522), (99.49561471996557, 39.06387949262768), (99.60474810813639, 39.866932571038404), (99.70909114173678, 40.67130925041677), (99.80815796479915, 41.47697526532155), (99.90146325052883, 42.28389701996089), (99.98852322045418, 43.09204157941034), (100.06885664458902, 43.901376660888666), (100.14198582261074, 44.71187062509173), (100.20743754605164, 45.52349246758435), (100.26474404150423, 46.33621181025009), (100.31344389484165, 47.14999889279914), (100.35308295645041, 47.96482456433373), (100.38321522747908, 48.780660274972306), (100.4034037270998, 49.59747806753081), (100.41322134078398, 50.415250569262454), (100.41225164959317, 51.23395098365552), (100.40008974048214, 52.05355308228851), (100.3763429976179, 52.87403119674414), (100.34063187471156, 53.69536021058056), (100.29259064836457, 54.5175155513609), (100.23186815242977, 55.34047318274089), (100.15812849338488, 56.164209596613865), (100.07105174672202, 56.988701805314655), (99.97033463434977, 57.81392733388056), (99.85569118300981, 58.639864212370725), (99.72685336370853, 59.4664909682437), (99.5835717121606, 60.29378661879221), (99.425615930249, 61.12173066363684), (99.25277546849756, 61.95030307727692), (99.06486008955787, 62.77948430169977), (98.86170041271107, 63.60925523904795), (98.64314843938219, 64.43959724434401), (98.40907805967024, 65.27049211827398), (98.15938553989119, 66.10192210002802), (97.89398999113541, 66.9338698601996), (97.61283381883953, 67.76631849374253), (97.31588315337136, 68.59925151298555), (97.0031282616304, 69.43265284070563), (96.67458393966105, 70.26650680325858), (96.33028988628037, 71.10079812376792), (95.97031105772058, 71.93551191537182), (95.5947380032841, 72.77063367452752), (95.20368718201452, 73.60614927437447), (94.79730126038002, 74.44204495815478), (94.375749390972, 75.27830733269184), (93.9392274722173, 76.11492336192728), (93.487958389104, 76.95188036051505), (93.0221922349227, 77.7891659874745), (92.54220651402032, 78.62676823990061), (92.04830632556896, 79.46467544673251), (91.54082452834865, 80.30287626258021), (91.02012188654349, 81.14135966160852), (90.48658719655324, 81.98011493148007), (89.94063739481756, 82.81913166735524), (89.38271764665518, 83.6583997659506), (88.81330141611701, 84.4979094196554), (88.23289051685286, 85.33765111070556), (87.64201514399295, 86.17761560541611), (87.04123388704305, 87.01779394847136), (86.43113372379366, 87.85817745727299), (85.81232999524353, 88.6987577163463), (85.18546636153702, 89.53952657180423), (84.55121473891565, 90.38047612586959), (83.91027521768368, 91.22159873145488), (83.26337596118788, 92.06288698680048), (82.61127308581112, 92.90433373017059), (81.95475052198037, 93.74593203460708), (81.29461985618839, 94.58767520274165), (80.63172015402984, 95.42955676166534), (79.96691776425136, 96.27157045785673), (79.3011061038155, 97.11371025216756), (78.63520542397917, 97.95597031486658), (77.9701625573856, 98.79834502074132), (77.30695064617102, 99.64082894425776), (76.64656885108472, 100.48341685477804), (75.9900420416239, 101.32610371183605), (75.33842046718189, 102.16888466047125), (74.692779409211, 103.01175502662005), (74.0542188143992, 103.85471031256542), (73.4238629088609, 104.69774619244443), (72.80285979334167, 105.54085850781382), (72.19238101943743, 106.38404326327334), (71.59362114682719, 107.22729662214721), (71.00779728152037, 108.07061490222358), (70.43614859511776, 108.91399457155177), (69.87993582508686, 109.7574322442977), (69.34044075605115, 110.60092467665714), (68.81896568209348, 111.44446876282706), (68.31683285007347, 112.28806153103469), (67.83538388395911, 113.13170013962484), (67.37597919017234, 113.97538187320507), (66.93999734394869, 114.81910413884877), (66.52883445671102, 115.66286446235637), (66.14390352445741, 116.50666048457418), (65.78663375716302, 117.35048995777166), (65.45846988919598, 118.19435074207634), (65.16087147074758, 119.03824080196674), (64.8953121402763, 119.8821582028234), (64.66327887796602, 120.72610110753773), (64.46627124019825, 121.57006777317883), (64.30580057503855, 122.41405654771849), (64.18338921873686, 123.25806586681378), (64.10056967324205, 124.10209425064805), (64.05888376473045, 124.9461403008295), (64.05988178314851, 125.790202697348), (64.10512160276951, 126.63428019558971), (64.19616778376428, 127.47837162340969), (64.33459065478615, 128.32247587826262), (64.52196537656985, 129.16659192439133), (64.75987098654448, 130.01071879007327), (65.04988942446066, 130.85485556492517), (65.39360453903163, 131.69900139726536), (65.79260107558848, 132.54315549153435), (66.24846364474953, 133.3873171057732), (66.76277567210357, 134.23148554915994), (67.33711832890747, 135.0756601796038), (67.97306944379758, 135.91984040139766), (68.67220239551534, 136.7640256629283), (69.43608498664713, 137.60821545444466), (70.26627829837773, 138.45240930588403), (71.16433552625838, 139.2966067847562), (72.13180079698856, 140.14080749408575), (73.17020796621196, 140.98501107041204), (74.28107939732664, 141.82921718184744), (75.46592472130897, 142.6734255261932), (76.72623957755195, 143.51763582911366), (78.06350433571748, 144.3618478423681), (79.47918279860261, 145.20606134210078), (80.97472088602005, 146.05027612718897), (82.5515452996926, 146.8944920176486), (84.21106216916172, 147.7387088530982), (85.9546556787102, 148.58292649128094), (87.78368667529878, 149.42714480664415), (89.69949125751717, 150.27136368897732), (91.7033793455486, 151.11558304210763), (93.79663323214896, 151.95980278265375), (95.98050611463972, 152.8040228388375), (98.256220607915, 153.6482431493535), (100.62496723846292, 154.4924636622968), (103.08790291940053, 155.3366843341483), (105.64614940652334, 156.18090512881844), (108.30079173536855, 157.02512601674863), (111.05287663929255, 157.86934697407085), (113.90341094856267, 158.71356798182492), (116.85335997046238, 159.55778902523394), (119.90364585041121, 160.40201009303775), (123.0551459140985, 161.2462311768842), (126.30869099063105, 162.09045227077848), (129.66506371669539, 162.93467337059047), (133.12499682173328, 163.77889447361977), (136.68917139413205, 164.62311557821923), (140.35821512842867, 165.4673366834758), (144.13270055352794, 166.31155778894987), (148.01314324193456, 167.15577889447243), (152.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-75_cxpb-0.9_mutpb-0.9\9-RUN_POP-75_cxpb-0.9_mutpb-0.9_28052022-080344/sim_test_25116_28052022-080344,28052022-091500
"[[98.50954711372815, 46, 127, 16, 138, 158, 35], [5.0, 28, 56, 84, 112, 140, 168]]","[(98.50954711372815, 5.0), (96.97609625526232, 5.695348586589357), (95.5389294483022, 6.394409486632874), (94.19334416449283, 7.097108271086306), (92.93480325467635, 7.803371635744042), (91.75893153831919, 8.51312738984853), (90.66151242267044, 9.226304444757629), (89.63848455165169, 9.942832802669944), (88.68593848447905, 10.662643545408132), (87.80011340401606, 11.385668823260175), (86.97739385485889, 12.11184184387861), (86.21430651115273, 12.841096861237734), (85.50751697413983, 13.573369164648785), (84.85382659943929, 14.308595067833089), (84.25016935405809, 15.046711898053116), (83.69360870313449, 15.78765798530163), (83.18133452641217, 16.531372651548672), (82.71066006444646, 17.277796200046602), (82.27901889454213, 18.026869904693072), (81.88396193642251, 18.77853599945192), (81.52315448763068, 19.53273766783217), (81.19437328866194, 20.289419032424842), (80.89550361782787, 21.048525144497845), (80.62453641585223, 21.81000197364873), (80.37956544019806, 22.57379639751554), (80.15878444912697, 23.339856191545493), (79.96048441548946, 24.10813001882178), (79.78305077024727, 24.878567419948148), (79.62496067572707, 25.651118802991668), (79.48478032860568, 26.425735433483204), (79.36116229262747, 27.202369424476156), (79.25284286105256, 27.980973726662906), (79.15863944883725, 28.76150211854939), (79.07744801454578, 29.543909196687586), (79.00824051199362, 30.32815036596588), (78.95006237162264, 31.114181829957655), (78.90203001160765, 31.90196058132752), (78.86332837869466, 32.69144439229578), (78.83320851877079, 33.482591805160716), (78.81098517716539, 34.275362122878825), (78.79603442868361, 35.06971539970322), (78.78779133737048, 35.8656124318797), (78.78574764600761, 36.66301474840105), (78.78944949534085, 37.461884601819186), (78.79849517303958, 38.26218495911522), (78.81253289238838, 39.06387949262768), (78.83125860070886, 39.866932571038404), (78.85441381751463, 40.67130925041677), (78.88178350239693, 41.47697526532155), (78.91319395264196, 42.28389701996089), (78.94851073058037, 43.09204157941034), (78.98763662066757, 43.901376660888666), (79.03050961629617, 44.71187062509173), (79.0771009363401, 45.52349246758435), (79.12741307142967, 46.33621181025009), (79.1814778599593, 47.14999889279914), (79.23935459382558, 47.96482456433373), (79.30112815389819, 48.780660274972306), (79.36690717522146, 49.59747806753081), (79.43682224194794, 50.415250569262454), (79.51102411200395, 51.23395098365552), (79.58968197148567, 52.05355308228851), (79.67298171878808, 52.87403119674414), (79.76112427846465, 53.69536021058056), (79.85432394481882, 54.5175155513609), (79.95280675522763, 55.34047318274089), (80.05680889319574, 56.164209596613865), (80.16657512114267, 56.988701805314655), (80.2823572429202, 57.81392733388056), (80.40441259606197, 58.639864212370725), (80.53300257376527, 59.4664909682437), (80.66839117660294, 60.29378661879221), (80.81084359396863, 61.12173066363684), (80.96062481525237, 61.95030307727692), (81.11799827074809, 62.77948430169977), (81.28322450229336, 63.60925523904795), (81.45655986363957, 64.43959724434401), (81.63825525055488, 65.27049211827398), (81.82855486065806, 66.10192210002802), (82.02769498298407, 66.9338698601996), (82.23590281728161, 67.76631849374253), (82.45339532304138, 68.59925151298555), (82.6803780982573, 69.43265284070563), (82.91704428791803, 70.26650680325858), (83.1635735222308, 71.10079812376792), (83.42013088457695, 71.93551191537182), (83.68686590919818, 72.77063367452752), (83.96391160861576, 73.60614927437447), (84.25138353078016, 74.44204495815478), (84.54937884595292, 75.27830733269184), (84.85797546331999, 76.11492336192728), (85.17723117733642, 76.95188036051505), (85.50718284380324, 77.7891659874745), (85.84784558567517, 78.62676823990061), (86.1992120286007, 79.46467544673251), (86.56125156619335, 80.30287626258021), (86.93390965503418, 81.14135966160852), (87.3171071394071, 81.98011493148007), (87.71073960576439, 82.81913166735524), (88.11467676692463, 83.6583997659506), (88.52876187600229, 84.4979094196554), (88.9528111700683, 85.33765111070556), (89.38661334354288, 86.17761560541611), (89.82992905131972, 87.01779394847136), (90.2824904416216, 87.85817745727299), (90.74400071858793, 88.6987577163463), (91.21413373459364, 89.53952657180423), (91.69253361229984, 90.38047612586959), (92.17881439643597, 91.22159873145488), (92.67255973531363, 92.06288698680048), (93.17332259207203, 92.90433373017059), (93.68062498565483, 93.74593203460708), (94.19395776151914, 94.58767520274165), (94.71278039207529, 95.42955676166534), (95.23652080685892, 96.27157045785673), (95.76457525243444, 97.11371025216756), (96.29630818202996, 97.95597031486658), (96.83105217490402, 98.79834502074132), (97.3681078854437, 99.64082894425776), (97.9067440219948, 100.48341685477804), (98.44619735542281, 101.32610371183605), (98.98567275740646, 102.16888466047125), (99.52434326846219, 103.01175502662005), (100.06135019570033, 103.85471031256542), (100.59580324031307, 104.69774619244443), (101.12678065479413, 105.54085850781382), (101.65332942988958, 106.38404326327334), (102.17446551128057, 107.22729662214721), (102.68917404599796, 108.07061490222358), (103.19640965856772, 108.91399457155177), (103.69509675688892, 109.7574322442977), (104.18412986784249, 110.60092467665714), (104.6623740026322, 111.44446876282706), (105.12866505185694, 112.28806153103469), (105.58181021031446, 113.13170013962484), (106.02058843153719, 113.97538187320507), (106.44375091205922, 114.81910413884877), (106.85002160541514, 115.66286446235637), (107.23809776587026, 116.50666048457418), (107.60665052188277, 117.35048995777166), (107.95432547929713, 118.19435074207634), (108.27974335426937, 119.03824080196674), (108.58150063592387, 119.8821582028234), (108.85817027874154, 120.72610110753773), (109.1083024246801, 121.57006777317883), (109.33042515502555, 122.41405654771849), (109.52304527197522, 123.25806586681378), (109.6846491099529, 124.10209425064805), (109.8137033766549, 124.9461403008295), (109.90865602382837, 125.790202697348), (109.96793714778075, 126.63428019558971), (109.98995991962093, 127.47837162340969), (109.97312154523235, 128.32247587826262), (109.91580425497715, 129.16659192439133), (109.81637632313237, 130.01071879007327), (109.6731931170576, 130.85485556492517), (109.48459817609417, 131.69900139726536), (109.24892432019598, 132.54315549153435), (108.96449478829213, 133.3873171057732), (108.62962440638076, 134.23148554915994), (108.24262078535492, 135.0756601796038), (107.80178554855972, 135.91984040139766), (107.30541558908135, 136.7640256629283), (106.75180435676738, 137.60821545444466), (106.139243174979, 138.45240930588403), (105.46602258707472, 139.2966067847562), (104.73043373262557, 140.14080749408575), (103.93076975336214, 140.98501107041204), (103.06532722885298, 141.82921718184744), (102.13240764191478, 142.6734255261932), (101.13031887375413, 143.51763582911366), (100.05737672884082, 144.3618478423681), (98.91190648951275, 145.20606134210078), (97.69224450031244, 146.05027612718897), (96.39673978205529, 146.8944920176486), (95.02375567562927, 147.7387088530982), (93.57167151552628, 148.58292649128094), (92.03888433310517, 149.42714480664415), (90.42381058958611, 150.27136368897732), (88.72488793877703, 151.11558304210763), (86.94057701953125, 151.95980278265375), (85.06936327793689, 152.8040228388375), (83.10975881923792, 153.6482431493535), (81.06030428948655, 154.4924636622968), (78.9195707869277, 155.3366843341483), (76.68616180311469, 156.18090512881844), (74.35871519375655, 157.02512601674863), (71.93590517929731, 157.86934697407085), (69.4164443752262, 158.71356798182492), (66.7990858521203, 159.55778902523394), (64.08262522541813, 160.40201009303775), (61.26590277492516, 161.2462311768842), (58.34780559405091, 162.09045227077848), (55.327269768777334, 162.93467337059047), (52.20328258635945, 163.77889447361977), (48.97488477375697, 164.62311557821923), (45.64117276579779, 165.4673366834758), (42.2013010030731, 166.31155778894987), (38.65448425956411, 167.15577889447243), (35.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-75_cxpb-0.9_mutpb-0.9\9-RUN_POP-75_cxpb-0.9_mutpb-0.9_28052022-080344/sim_test_25276_28052022-080344,28052022-092403
