Test Run,Tests,Passed,Invalid,Failed,P(fail),Frechet,Spars.,TTF
1,188,131,51,6,0.0319,112.72,27.78,25
2,137,103,31,3,0.0219,112.81,21.135,1
3,165,104,49,12,0.0727,94.34,25.734,26
4,202,106,72,24,0.1188,82.93,31.794,1
5,126,88,24,14,0.1111,84.68,26.42,9
6,140,103,30,7,0.05,95.25,18.805,16
7,167,107,55,5,0.0299,87.19,22.46,29
8,122,83,31,8,0.0656,83.38,24.779,9
9,122,99,16,7,0.0574,78.33,20.18,38
10,164,107,47,10,0.061,63.3,25.05,35
