individual,road_points,test_outcome,description,timestamp
"[[85.84955127316306, 10, 62, 65, 182, 163, 63], [5.0, 28, 56, 84, 112, 140, 168]]","[(85.84955127316306, 5.0), (83.61061118023807, 5.695348586589357), (81.46587650237959, 6.394409486632874), (79.41276916775088, 7.097108271086306), (77.44878568243918, 7.803371635744042), (75.57149543618449, 8.51312738984853), (73.7785390251606, 9.226304444757629), (72.06762659180819, 9.942832802669944), (70.43653618172056, 10.662643545408132), (68.88311211758106, 11.385668823260175), (67.40526339015362, 12.11184184387861), (66.00096206632483, 12.841096861237734), (64.66824171419857, 13.573369164648785), (63.40519584524299, 14.308595067833089), (62.20997637348954, 15.046711898053116), (61.08079209178456, 15.78765798530163), (60.01590716509291, 16.531372651548672), (59.01363964085398, 17.277796200046602), (58.07235997638998, 18.026869904693072), (57.19048958336632, 18.77853599945192), (56.36649938930462, 19.53273766783217), (55.5989084161477, 20.289419032424842), (54.8862823758769, 21.048525144497845), (54.22723228318181, 21.81000197364873), (53.620413085181966, 22.57379639751554), (53.06452230820132, 23.339856191545493), (52.55829872159444, 24.10813001882178), (52.10052101862533, 24.878567419948148), (51.69000651439847, 25.651118802991668), (51.325609860841915, 26.425735433483204), (51.006221778743054, 27.202369424476156), (50.73076780683629, 27.980973726662906), (50.49820706794315, 28.76150211854939), (50.30753105216474, 29.543909196687586), (50.157762417126136, 30.32815036596588), (50.047953805273615, 31.114181829957655), (49.97718667822358, 31.90196058132752), (49.9445701681642, 32.69144439229578), (49.949239946309014, 33.482591805160716), (49.990357108402925, 34.275362122878825), (50.06710707728068, 35.06971539970322), (50.17869852247709, 35.8656124318797), (50.32436229689016, 36.66301474840105), (50.50335039049607, 37.461884601819186), (50.714934901116365, 38.26218495911522), (50.95840702223806, 39.06387949262768), (51.233076047885, 39.866932571038404), (51.53826839454248, 40.67130925041677), (51.87332664013354, 41.47697526532155), (52.23760858004759, 42.28389701996089), (52.63048630022176, 43.09204157941034), (53.051345267273824, 43.901376660888666), (53.49958343568793, 44.71187062509173), (53.974610372052474, 45.52349246758435), (54.475846396350036, 46.33621181025009), (55.00272174030007, 47.14999889279914), (55.5546757227531, 47.96482456433373), (56.13115594213813, 48.780660274972306), (56.7316174859615, 49.59747806753081), (57.35552215735845, 50.415250569262454), (58.00233771869712, 51.23395098365552), (58.671537152233995, 52.05355308228851), (59.36259793782288, 52.87403119674414), (60.07500134767496, 53.69536021058056), (60.808231758171836, 54.5175155513609), (61.56177597873078, 55.34047318274089), (62.33512259772172, 56.164209596613865), (63.12776134543738, 56.988701805314655), (63.93918247411489, 57.81392733388056), (64.76887615501005, 58.639864212370725), (65.61633189252404, 59.4664909682437), (66.48103795538172, 60.29378661879221), (67.3624808248632, 61.12173066363684), (68.26014466008675, 61.95030307727692), (69.17351078034447, 62.77948430169977), (70.10205716449032, 63.60925523904795), (71.04525796737992, 64.43959724434401), (72.00258305336325, 65.27049211827398), (72.9734975468292, 66.10192210002802), (73.9574613998024, 66.9338698601996), (74.95392897659278, 67.76631849374253), (75.9623486554965, 68.59925151298555), (76.9821624475504, 69.43265284070563), (78.01280563233746, 70.26650680325858), (79.05370641084535, 71.10079812376792), (80.1042855753772, 71.93551191537182), (81.16395619651395, 72.77063367452752), (82.23212332713014, 73.60614927437447), (83.30818372346073, 74.44204495815478), (84.39152558322107, 75.27830733269184), (85.48152830077896, 76.11492336192728), (86.57756223937847, 76.95188036051505), (87.67898852041695, 77.7891659874745), (88.78515882977338, 78.62676823990061), (89.8954152411896, 79.46467544673251), (91.0090900567038, 80.30287626258021), (92.1255056641356, 81.14135966160852), (93.24397441162459, 81.98011493148007), (94.36379849921995, 82.81913166735524), (95.48426988752301, 83.6583997659506), (96.60467022338221, 84.4979094196554), (97.72427078263954, 85.33765111070556), (98.84233242993021, 86.17761560541611), (99.95810559553406, 87.01779394847136), (101.0708302692792, 87.85817745727299), (102.17973601149814, 88.6987577163463), (103.28404198103631, 89.53952657180423), (104.38295698031233, 90.38047612586959), (105.47567951743113, 91.22159873145488), (106.561397885349, 92.06288698680048), (107.63929025809105, 92.90433373017059), (108.70852480402085, 93.74593203460708), (109.76825981616257, 94.58767520274165), (110.81764385957494, 95.42955676166534), (111.85581593577807, 96.27157045785673), (112.88190566423198, 97.11371025216756), (113.89503348086788, 97.95597031486658), (114.89431085367137, 98.79834502074132), (115.87884051531807, 99.64082894425776), (116.84771671286165, 100.48341685477804), (117.80002547447373, 101.32610371183605), (118.7348448932365, 102.16888466047125), (119.65124542798745, 103.01175502662005), (120.5482902212162, 103.85471031256542), (121.42503543401384, 104.69774619244443), (122.28053059807448, 105.54085850781382), (123.11381898474903, 106.38404326327334), (123.92393799115122, 107.22729662214721), (124.70991954331606, 108.07061490222358), (125.47079051641033, 108.91399457155177), (126.20557317199557, 109.7574322442977), (126.91328561234317, 110.60092467665714), (127.59294225180193, 111.44446876282706), (128.24355430521769, 112.28806153103469), (128.86413029340528, 113.13170013962484), (129.45367656567285, 113.97538187320507), (130.01119783939842, 114.81910413884877), (130.5356977566587, 115.66286446235637), (131.02617945790996, 116.50666048457418), (131.48164617272175, 117.35048995777166), (131.90110182756223, 118.19435074207634), (132.28355167063617, 119.03824080196674), (132.62800291377528, 119.8821582028234), (132.93346539138034, 120.72610110753773), (133.19895223641618, 121.57006777317883), (133.4234805734586, 122.41405654771849), (133.60607222879364, 123.25806586681378), (133.74575445756912, 124.10209425064805), (133.84156068799842, 124.9461403008295), (133.89253128261672, 125.790202697348), (133.89771431658917, 126.63428019558971), (133.85616637307166, 127.47837162340969), (133.7669533556236, 128.32247587826262), (133.6291513176733, 129.16659192439133), (133.44184730903532, 130.01071879007327), (133.20414023948018, 130.85485556492517), (132.91514175935632, 131.69900139726536), (132.57397715726458, 132.54315549153435), (132.1797862747846, 133.3873171057732), (131.7317244382536, 134.23148554915994), (131.22896340759755, 135.0756601796038), (130.67069234221464, 135.91984040139766), (130.05611878391085, 136.7640256629283), (129.38446965688766, 137.60821545444466), (128.65499228478265, 138.45240930588403), (127.8669554247617, 139.2966067847562), (127.01965031866374, 140.14080749408575), (126.11239176119781, 140.98501107041204), (125.14451918519242, 141.82921718184744), (124.115397763897, 142.6734255261932), (123.02441953033576, 143.51763582911366), (121.87100451371391, 144.3618478423681), (120.6546018928759, 145.20606134210078), (119.37469116681606, 146.05027612718897), (118.03078334224165, 146.8944920176486), (116.62242213818803, 147.7387088530982), (115.14918520768613, 148.58292649128094), (113.61068537648218, 149.42714480664415), (112.00657189880967, 150.27136368897732), (110.33653173021375, 151.11558304210763), (108.60029081742786, 151.95980278265375), (106.7976154053024, 152.8040228388375), (104.92831336078595, 153.6482431493535), (102.9922355139586, 154.4924636622968), (100.98927701611774, 155.3366843341483), (98.91937871491584, 156.18090512881844), (96.7825285465508, 157.02512601674863), (94.57876294500836, 157.86934697407085), (92.30816826835684, 158.71356798182492), (89.9708822420942, 159.55778902523394), (87.56709541954743, 160.40201009303775), (85.09705265932396, 161.2462311768842), (82.56105461981574, 162.09045227077848), (79.95945927075498, 162.93467337059047), (77.29268342182304, 163.77889447361977), (74.56120426831079, 164.62311557821923), (71.7655609538316, 165.4673366834758), (68.90635615008664, 166.31155778894987), (65.98425765368233, 167.15577889447243), (63.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.7_mutpb-0.8\3-RUN_POP-25_cxpb-0.7_mutpb-0.8_29052022-032239/sim_test_13005_29052022-032239,29052022-032508
"[[103.22775412163391, 50, 109, 91, 28, 14.120028184110529, 188], [5.0, 28, 56, 84, 112, 141.77102396714133, 168]]","[(103.22775412163391, 5.0), (101.66492852887323, 5.695348586623235), (100.18426992569673, 6.394409487711506), (98.78297260910237, 7.097108279235592), (97.45828092982559, 7.803371669909858), (96.20748892936311, 8.51312749357963), (95.02793997863661, 9.226304701543302), (93.91702641829731, 9.942833354809242), (92.87218920067129, 10.662644616287455), (91.89091753334453, 11.385670742916034), (90.97074852438995, 12.111845077722377), (90.1092668292336, 12.841102041819175), (89.30410429916228, 13.573377126335183), (88.55293963147145, 14.308606884280763), (87.85349802125346, 15.046728922348157), (87.203550814827, 15.787681892646628), (86.60091516480654, 16.531405484372275), (86.04345368681243, 17.277840415412705), (85.52907411782182, 18.026928423886392), (85.05572897615976, 18.778612259616867), (84.62141522313134, 19.532835675541705), (84.22417392629399, 20.2895434190562), (83.86208992437057, 21.04868122329193), (83.53329149380289, 21.810195798329936), (83.23595001694586, 22.57403482234885), (82.96827965190224, 23.34014693270765), (82.728537003998, 24.10848171696333), (82.515020798898, 24.87898970382317), (82.3260715573626, 25.651622354031982), (82.16007127164434, 26.426332051193878), (82.0154430835259, 27.20307209252912), (81.89065096399789, 27.98179667956546), (81.78419939457767, 28.762460908764428), (81.6946330502686, 29.545020762082338), (81.6205364841597, 30.32943309746597), (81.56053381366631, 31.115655639283307), (81.51328840841073, 31.903646968688683), (81.47750257974401, 32.693366513923), (81.45191727190782, 33.48477454054855), (81.43531175483706, 34.2778321416186), (81.42650331860351, 35.072501227782), (81.42434696949883, 35.86874451732215), (81.42773512775966, 36.66652552613111), (81.43559732693222, 37.46580855761831), (81.44689991487749, 38.26655869255402), (81.46064575641797, 39.06874177884773), (81.47587393762345, 39.87232442126104), (81.49165947173883, 40.6772739710557), (81.50711300675161, 41.48355851557611), (81.52138053460001, 42.29114686776662), (81.53364310202234, 43.10000855562388), (81.5431165230459, 43.91011381158359), (81.54905109311731, 44.721433561842275), (81.55073130487304, 45.533939415613766), (81.54747556555031, 46.34760365432039), (81.53863591603933, 47.162399220719145), (81.52359775157475, 47.978299707962165), (81.50177954406944, 48.795279348592736), (81.47263256608706, 49.61331300347526), (81.43564061645652, 50.43237615066049), (81.39031974752655, 51.252444874185606), (81.33621799406026, 52.07349585280846), (81.27291510377148, 52.895506348677465), (81.2000222695006, 53.71845419593547), (81.11718186303129, 54.54231778925887), (81.02406717054843, 55.36707607233149), (80.92038212973517, 56.19270852625273), (80.80586106851223, 57.019195157881335), (80.68026844541652, 57.84651648811313), (80.54339859162081, 58.67465354009395), (80.39507545459423, 59.50358782736747), (80.23515234340249, 60.33330134195716), (80.06351167564974, 61.16377654238393), (79.88006472606021, 61.99499634161775), (79.68475137670055, 62.82694409496445), (79.4775398688433, 63.659603587887375), (79.25842655646989, 64.49295902376326), (79.02743566141524, 65.32699501157371), (78.78461903015244, 66.16169655353067), (78.53005589221772, 66.99704903263721), (78.26385262027685, 67.83303820018283), (77.98614249183082, 68.6696501631734), (77.69708545256371, 69.50687137169639), (77.39686788132948, 70.34468860622032), (77.08570235678054, 71.18308896482921), (76.7638274256364, 72.02205985039205), (76.43150737259253, 72.86158895766633), (76.08903199187083, 73.70166426033728), (75.73671636040946, 74.54227399799115), (75.374900612694, 75.38340666302352), (75.00394971722922, 76.22505098748267), (74.62425325465051, 77.06719592984692), (74.23622519747731, 77.90983066173783), (73.84030369150577, 78.75294455456724), (73.43695083884272, 79.59652716611949), (73.02665248258022, 80.4405682270687), (72.60991799310995, 81.28505762742988), (72.18728005607933, 82.12998540294615), (71.75929446198711, 82.97534172140946), (71.32653989742015, 83.82111686891685), (70.88961773793068, 84.66730123606139), (70.4491518425538, 85.51388530405754), (70.00578834996608, 86.36085963080161), (69.56019547628429, 87.20821483686706), (69.11306331450484, 88.0559415914341), (68.66510363558382, 88.90403059815469), (68.21704969115758, 89.75247258095179), (67.76965601790391, 90.60125826975374), (67.3236982435437, 91.45037838616314), (66.87997289448319, 92.29982362906075), (66.43929720509689, 93.14958466014394), (66.002508928651, 93.99965208940009), (65.57046614986723, 94.85001646051475), (65.14404709912755, 95.7006682362143), (64.72414996831915, 96.55159778354383), (64.31169272832024, 97.40279535907948), (63.907612948126115, 98.25425109407553), (63.51286761561608, 99.10595497954662), (63.12843295996089, 99.95789685128425), (62.75530427567052, 100.81006637480839), (62.39449574828281, 101.66245303025374), (62.04704028169244, 102.51504609719089), (61.71398932712063, 103.3678346393821), (61.39641271372531, 104.22080748947178), (61.09539848085192, 105.07395323361207), (60.812052711924736, 105.92726019602294), (60.547499369978745, 106.78071642348705), (60.302880134832115, 107.63430966977951), (60.07935424189935, 108.48802738003238), (59.87809832264464, 109.34185667503385), (59.70030624667632, 110.1957843354623), (59.547188965481375, 111.04979678605508), (59.419974357800854, 111.9038800797122), (59.31990707664572, 112.75801988153444), (59.24824839795323, 113.6122014527967), (59.20627607088403, 114.46640963485572), (59.195284169759645, 115.32062883299284), (59.2165829476406, 116.17484300019146), (59.271498691545176, 117.0290356208491), (59.36137357930863, 117.88318969442454), (59.48756553808303, 118.73728771901953), (59.65144810447767, 119.59131167489531), (59.85441028634001, 120.44524300792395), (60.097856426177216, 121.2990626129743), (60.38320606621825, 122.15275081723301), (60.71189381511651, 123.00628736346009), (61.0853692162931, 123.85965139317923), (61.5050966179206, 124.71282142980313), (61.97255504454739, 125.56577536169321), (62.48923807036266, 126.41849042515469), (63.05665369410181, 127.27094318736566), (63.67632421559254, 128.12310952924165), (64.34978611394149, 128.9749646282345), (65.07858992736146, 129.82648294106633), (65.86430013463908, 130.67763818639793), (66.70849503824317, 131.52840332743233), (67.61276664907365, 132.3787505544527), (68.57872057285098, 133.22865126729542), (69.60797589814621, 134.07807605775776), (70.7021650860515, 134.92699469194028), (71.86293386149129, 135.77537609252397), (73.09194110617412, 136.62318832098242), (74.39085875318469, 137.47039855972847), (75.76137168321704, 138.31697309419587), (77.20517762244765, 139.16287729485543), (78.72398704204963, 140.00807559916626), (80.31952305934713, 140.85253149346156), (81.99352134061056, 141.69620749476928), (83.74773000549227, 142.53906513256754), (85.58390953310271, 143.38106493047482), (87.50383266972733, 144.2221663878749), (89.50928433818393, 145.06232796147657), (91.60206154882056, 145.90150704680818), (93.78397331215417, 146.73965995964693), (96.05684055314957, 147.5767419173829), (98.42249602713905, 148.41270702031778), (100.8827842373827, 149.24750823289867), (103.43956135426907, 150.0810973648863), (106.09469513615679, 150.9134250524582), (108.85006485185602, 151.74444073924664), (111.70756120475131, 152.57409265731138), (114.66908625856446, 153.40232780804698), (117.73655336475817, 154.2290919430252), (120.91188709158038, 155.05432954477197), (124.19702315474866, 155.8779838074791), (127.59390834977582, 156.69999661765092), (131.10450048593563, 157.52030853468554), (134.7307683218693, 158.3388587713911), (138.47469150283266, 159.15558517443648), (142.33826049958336, 159.97042420473707), (146.32347654890933, 160.7833109177751), (150.4323515957973, 161.5941789438549), (154.6669082372421, 162.40296046829292), (159.02917966769687, 163.2095862115424), (163.52120962616272, 164.01398540925285), (168.14505234492034, 164.8160857922645), (172.90277249990118, 165.61581356653724), (177.79644516269985, 166.4130933930144), (182.82815575422634, 167.20784836742166), (188.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.7_mutpb-0.8\3-RUN_POP-25_cxpb-0.7_mutpb-0.8_29052022-032239/sim_test_13126_29052022-032239,29052022-035924
"[[85.93254423548261, 133, 105, 192, 83, 81, 186], [5.0, 28, 56, 84, 112, 140, 168]]","[(85.93254423548261, 5.0), (87.32370717726226, 5.695348586589357), (88.66083002278769, 6.394409486632874), (89.94663764319097, 7.097108271086306), (91.18374498026202, 7.803371635744042), (92.37465956012845, 8.51312738984853), (93.52178398337581, 9.226304444757629), (94.62741839160965, 9.942832802669944), (95.69376291045874, 10.662643545408132), (96.72292006901918, 11.385668823260175), (97.71689719574037, 12.11184184387861), (98.67760879075178, 12.841096861237734), (99.60687887463111, 13.573369164648785), (100.50644331361374, 14.308595067833089), (101.37795212124331, 15.046711898053116), (102.22297173646388, 15.78765798530163), (103.0429872781528, 16.531372651548672), (103.83940477609536, 17.277796200046602), (104.61355337840061, 18.026869904693072), (105.36668753535777, 18.77853599945192), (106.099989159735, 19.53273766783217), (106.81456976351869, 20.289419032424842), (107.51147257109402, 21.048525144497845), (108.19167460886709, 21.81000197364873), (108.85608877132792, 22.57379639751554), (109.50556586355528, 23.339856191545493), (110.14089662016211, 24.10813001882178), (110.76281370068266, 24.878567419948148), (111.37199366140068, 25.651118802991668), (111.96905890361879, 26.425735433483204), (112.5545795983695, 27.202369424476156), (113.12907558756702, 27.980973726662906), (113.69301826160049, 28.76150211854939), (114.24683241336872, 29.543909196687586), (114.79089806875555, 30.32815036596588), (115.32555229354733, 31.114181829957655), (115.85109097679086, 31.90196058132752), (116.36777059059304, 32.69144439229578), (116.87580992636182, 33.482591805160716), (117.37539180748774, 34.275362122878825), (117.86666477846795, 35.06971539970322), (118.34974477047, 35.8656124318797), (118.8247167433382, 36.66301474840105), (119.29163630404055, 37.461884601819186), (119.75053130155663, 38.26218495911522), (120.20140339820816, 39.06387949262768), (120.64422961742841, 39.866932571038404), (121.0789638679756, 40.67130925041677), (121.50553844458553, 41.47697526532155), (121.92386550506612, 42.28389701996089), (122.33383852383379, 43.09204157941034), (122.7353337218899, 43.901376660888666), (123.12821147323955, 44.71187062509173), (123.51231768775101, 45.52349246758435), (123.88748517045649, 46.33621181025009), (124.25353495729472, 47.14999889279914), (124.61027762729341, 47.96482456433373), (124.95751459119494, 48.780660274972306), (125.29503935652149, 49.59747806753081), (125.6226387690822, 50.415250569262454), (125.94009423092245, 51.23395098365552), (126.24718289471186, 52.05355308228851), (126.54367883457688, 52.87403119674414), (126.82935419337188, 53.69536021058056), (127.10398030639277, 54.5175155513609), (127.36732880153221, 55.34047318274089), (127.61917267587441, 56.164209596613865), (127.85928734873345, 56.988701805314655), (128.08745169113115, 57.81392733388056), (128.3034490317165, 58.639864212370725), (128.50706813912737, 59.4664909682437), (128.6981041807917, 60.29378661879221), (128.87635965817188, 61.12173066363684), (129.04164531844896, 61.95030307727692), (129.19378104264828, 62.77948430169977), (129.33259671020778, 63.60925523904795), (129.45793303998502, 64.43959724434401), (129.56964240770802, 65.27049211827398), (129.66758963986584, 66.10192210002802), (129.75165278404054, 66.9338698601996), (129.82172385568128, 67.76631849374253), (129.87770956131814, 68.59925151298555), (129.9195319982192, 69.43265284070563), (129.94712933048697, 70.26650680325858), (129.96045644159702, 71.10079812376792), (129.9594855633783, 71.93551191537182), (129.9442068814331, 72.77063367452752), (129.9146291170004, 73.60614927437447), (129.87078008525864, 74.44204495815478), (129.81270723007077, 75.27830733269184), (129.74047813517055, 76.11492336192728), (129.65418101178898, 76.95188036051505), (129.55392516272386, 77.7891659874745), (129.43984142284882, 78.62676823990061), (129.31208257606474, 79.46467544673251), (129.1708237486922, 80.30287626258021), (129.0162627793041, 81.14135966160852), (128.8486205650019, 81.98011493148007), (128.66814138413054, 82.81913166735524), (128.4750931954361, 83.6583997659506), (128.26976791366468, 84.4979094196554), (128.0524816616017, 85.33765111070556), (127.82357499855328, 86.17761560541611), (127.58341312526875, 87.01779394847136), (127.33238606530374, 87.85817745727299), (127.07090882282543, 88.6987577163463), (126.79942151685856, 89.53952657180423), (126.51838949197266, 90.38047612586959), (126.22830340541078, 91.22159873145488), (125.92967929065927, 92.06288698680048), (125.62305859745904, 92.90433373017059), (125.30900820825771, 93.74593203460708), (124.98812043110344, 94.58767520274165), (124.66101296897966, 95.42955676166534), (124.32832886558131, 96.27157045785673), (123.99073642753221, 97.11371025216756), (123.64892912304364, 97.95597031486658), (123.30362545701425, 98.79834502074132), (122.95556882257134, 99.64082894425776), (122.60552732905307, 100.48341685477804), (122.25429360643231, 101.32610371183605), (121.90268458618145, 102.16888466047125), (121.55154125857851, 103.01175502662005), (121.20172840645478, 103.85471031256542), (120.85413431538325, 104.69774619244443), (120.50967046030874, 105.54085850781382), (120.16927116861905, 106.38404326327334), (119.83389325965724, 107.22729662214721), (119.50451566067561, 108.07061490222358), (119.18213899923033, 108.91399457155177), (118.86778517201805, 109.7574322442977), (118.56249689015291, 110.60092467665714), (118.26733720088562, 111.44446876282706), (117.98338898576323, 112.28806153103469), (117.71175443523047, 113.13170013962484), (117.45355449967215, 113.97538187320507), (117.20992831689696, 114.81910413884877), (116.98203261606238, 115.66286446235637), (116.77104109804105, 116.50666048457418), (116.57814379222812, 117.35048995777166), (116.40454638979013, 118.19435074207634), (116.25146955335492, 119.03824080196674), (116.12014820314306, 119.8821582028234), (116.0118307795401, 120.72610110753773), (115.92777848211063, 121.57006777317883), (115.86926448505305, 122.41405654771849), (115.83757312909609, 123.25806586681378), (115.83399908983615, 124.10209425064805), (115.85984652251622, 124.9461403008295), (115.91642818324587, 125.790202697348), (116.00506452666257, 126.63428019558971), (116.1270827800342, 127.47837162340969), (116.28381599380293, 128.32247587826262), (116.47660206857026, 129.16659192439133), (116.70678275852329, 130.01071879007327), (116.9757026513024, 130.85485556492517), (117.28470812430993, 131.69900139726536), (117.63514627746042, 132.54315549153435), (118.02836384237185, 133.3873171057732), (118.46570606799824, 134.23148554915994), (118.94851558270352, 135.0756601796038), (119.47813123277663, 135.91984040139766), (120.05588689738785, 136.7640256629283), (120.68311027998651, 137.60821545444466), (121.3611216761397, 138.45240930588403), (122.09123271781247, 139.2966067847562), (122.87474509408923, 140.14080749408575), (123.71294924833634, 140.98501107041204), (124.60712305180601, 141.82921718184744), (125.55853045368146, 142.6734255261932), (126.5684201075632, 143.51763582911366), (127.63802397439687, 144.3618478423681), (128.76855590184192, 145.20606134210078), (129.9612101800821, 146.05027612718897), (131.2171600740764, 146.8944920176486), (132.53755633225205, 147.7387088530982), (133.92352567163846, 148.58292649128094), (135.3761692394422, 149.42714480664415), (136.8965610510636, 150.27136368897732), (138.48574640455425, 151.11558304210763), (140.14474027151624, 151.95980278265375), (141.8745256644419, 152.8040228388375), (143.67605198049574, 153.6482431493535), (145.5502333217369, 154.4924636622968), (147.49794679178302, 155.3366843341483), (149.52003076891563, 156.18090512881844), (151.61728315562655, 157.02512601674863), (153.79045960460562, 157.86934697407085), (156.04027172116972, 158.71356798182492), (158.36738524213285, 159.55778902523394), (160.77241819111788, 160.40201009303775), (163.25593901030888, 161.2462311768842), (165.8184646686455, 162.09045227077848), (168.46045874645824, 162.93467337059047), (171.18232949654453, 163.77889447361977), (173.98442788168688, 164.62311557821923), (176.86704558861177, 165.4673366834758), (179.83041301838986, 166.31155778894987), (182.8746972532776, 167.15577889447243), (186.0, 168.0)]",FAIL,Car drove out of the lane gabe_meta_parameter_results\gabe_search_variant_c\POP-25_cxpb-0.7_mutpb-0.8\3-RUN_POP-25_cxpb-0.7_mutpb-0.8_29052022-032239/sim_test_13187_29052022-032239,29052022-041350
